dates,obs,ERA5,hurs_1,hurs_2,hurs_3,hurs_4,hurs_5,hurs_6,hurs_7,hurs_8,hurs_9,hurs_10,hurs_11,hurs_12,hurs_13,hurs_14,hurs_15,hurs_16,hurs_17,hurs_18,hurs_19,hurs_20,hurs_21,hurs_22,hurs_23,hurs_24,hurs_25
1993-03-01,NA,77.8822291883707,90.4634932063697,81.5814183482291,52.8261210096358,83.8870143064771,80.1853811887793,74.7965393190872,59.1696520811861,87.940834426889,73.7424490814793,82.4782242875905,80.1413071004547,78.5262790975711,82.1681282111546,81.8196391574501,68.2876350440901,75.8736097566825,79.7729780322588,77.134389846068,87.2346403173436,89.527082894226,88.1386138149043,91.8797332877292,94.1341298969299,93.9989585573506,91.9607675787154
1993-03-02,NA,69.673547257051,95.6457677998852,87.7641240459194,73.7328193623393,87.249701087995,79.5711484935046,72.8634029216259,62.0198173330135,90.4201781960829,81.9642059047997,78.3464934590241,75.1438378869505,75.3169724754293,80.2495402823723,78.5723490995488,71.2346608623823,78.0548692717297,77.1883741084747,74.2390316160393,64.4339110233248,90.3015687356095,78.8367544533994,95.6957144329614,85.0856881352729,85.084183416798,87.3297654321686
1993-03-03,NA,76.9349698404493,92.6889901149725,77.9758725859731,70.5161771812793,85.0362524657699,72.9041247583275,74.452817040805,77.406369495162,84.8286913975315,78.0505994026288,82.7443025348697,76.9171777043829,78.6628304433092,73.3785128938838,88.6592745065971,59.336522298141,76.6842182888898,83.5765632729924,72.5340382830606,76.9819112313801,81.6095192965821,74.8478905898488,89.8959960530883,79.9161772837147,85.6830321566035,82.1336699231663
1993-03-04,NA,82.3380346648087,89.0465597461543,82.6405630474094,68.5932574527723,82.0215361040509,85.5166497746587,75.0401701875917,74.8633402016932,74.8393751097789,66.7218997526036,71.3051763080921,65.0467239180569,72.7304953292326,64.1358459686785,83.4487838215976,78.5265067776094,69.6274490729294,84.9930607753963,81.8525957241535,84.6317914143634,86.7575991284342,81.8787572700328,88.1491015163503,85.47314031648,94.0087912461284,83.086575199407
1993-03-05,NA,89.4311359675076,82.4452505556839,83.0529747343223,62.5138559022991,89.7940649592059,84.9188035389519,82.1302645501274,78.4730451099743,73.2397061087635,65.446886528628,68.6902946239868,72.2837540300336,80.4985621836506,77.2189976619163,84.8169841681129,80.8158706523802,80.6942172166942,75.0944588792197,88.1421708595713,87.8900914101086,78.455170545989,74.2388303580604,80.0911451323381,74.9894978244601,91.6872929596506,89.2636878830224
1993-03-06,NA,97.319035824789,68.3887071097261,91.7427370311332,52.8074087473305,90.5059040274279,87.0699912523021,78.2064967712502,86.9721240626815,75.1586989223172,81.9821919732322,66.6156385229935,84.581471388742,72.235424892529,61.6707838635441,75.5565967384592,75.5855338904683,78.8399544932279,75.3803998095964,84.9865921692467,82.7742752559961,87.6659260917649,72.6909889250388,78.1510084538417,83.7166550654215,91.0576540072723,81.5082226354792
1993-03-07,NA,91.7139427947245,81.6728869782216,90.8944652834983,85.166705750271,88.3016173136048,88.0862878248691,73.095269921896,74.5983112147878,83.7271716609762,85.7973039175525,71.5184171988906,77.4137359665491,77.8448425645639,76.2084528266628,78.4670888288964,91.0785464273674,72.3558187848869,67.5287620207761,76.4418564282309,84.8402665503415,82.2081340353507,66.8867302871221,84.1567036480119,78.2386764616915,86.8833923715512,72.3034502886815
1993-03-08,NA,73.2392395374321,83.2318083877519,70.6991823564324,84.1729249181146,94.0115519441285,89.7456528261722,85.2963047174886,84.465214852612,85.936534466679,80.9938304970677,79.4569290237921,68.4079327036392,82.7930137521528,83.805318921238,75.497554719846,89.1744747100054,89.4913983455021,75.3528497003926,75.9771795713912,81.3837501453667,72.3063138551249,74.9661922009215,88.0021821470863,90.5168404229815,70.4461790870341,84.6109417668934
1993-03-09,NA,62.9041802960607,85.2004431874055,67.7840997318676,89.604830174375,88.9861355497702,83.6287469502539,84.8591616118497,85.6458342039093,72.9566993170665,83.7186110230546,83.8476489100084,75.4443259606494,86.3976977692995,93.1821697577895,78.9538186321076,89.3542887841436,85.2056645961598,75.0696619617202,74.8996592917143,79.5330804192069,80.4099327925779,83.6596659178124,83.5585849911392,68.2830747070138,73.4371004281824,78.8466255777715
1993-03-10,NA,69.1668632506198,68.6140490088706,84.9808836109491,82.9866154792362,86.7049012755258,77.9766195127011,89.2295187223819,70.0350669042456,77.6975300506117,67.6225829224766,82.6915530069819,67.3067461618818,88.2796993903072,90.8726443500747,77.6719902739035,88.8518466461003,83.0345863374941,84.0231946807181,85.2355778409699,80.3232443547784,75.0932666293638,70.8925033453795,89.9333278002212,57.487735513766,71.9731274185393,66.127867383599
