year,rain,colour,TP,chla,wind_speed,cyano,colour_prevSummer,TP_prevSummer,chla_prevSummer
1981,494.7301565279999,,28.833333335,8.33125,3.4885869565217407,,,43.57301587333334,16.080129870272728
1982,458.4747891999999,26.666666666666668,26.988095237142858,5.974999999999999,3.818478260869565,,,28.833333335,8.33125
1983,466.63105234799997,17.625,29.781250000000004,6.05,4.247282608695653,,26.666666666666668,26.988095237142858,5.974999999999999
1984,561.4720653099998,,27.158333333333335,11.61111111111111,3.796739130434784,,17.625,29.781250000000004,6.05
1985,548.3746134810001,34.404761904285714,30.957142858571427,11.895238094714287,3.6440217391304377,,,27.158333333333335,11.61111111111111
1986,429.2712837579999,27.472222223333333,33.78888889,12.677777776666666,4.122282608695657,,34.404761904285714,30.957142858571427,11.895238094714287
1987,708.3290053490002,29.02777777833333,23.433333333333334,8.511111111166667,3.451630434782609,,27.472222223333333,33.78888889,12.677777776666666
1988,649.2830377570002,32.27777777666667,29.533333333333335,14.055555556666668,3.4869565217391325,,29.02777777833333,23.433333333333334,8.511111111166667
1989,390.368071209,23.857142857142858,27.057142857142853,14.271428571428572,3.772826086956523,,32.27777777666667,29.533333333333335,14.055555556666668
1990,403.2231523200001,19.857142857142858,28.900000000000006,12.242857142857142,3.679891304347827,,23.857142857142858,27.057142857142853,14.271428571428572
1991,399.36212001900003,20.625,27.225,9.425,3.6869565217391322,,19.857142857142858,28.900000000000006,12.242857142857142
1992,385.74002780000006,21.285714285714285,31.342857142857145,16.757142857142856,3.7201086956521765,,20.625,27.225,9.425
1993,493.4495718220001,24.428571428571427,27.3,12.614285714285716,3.4353260869565254,,21.285714285714285,31.342857142857145,16.757142857142856
1994,373.293969654,27.714285714285715,30.442857142857147,18.257142857142856,3.6423913043478238,,24.428571428571427,27.3,12.614285714285716
1995,427.3085932229999,25.833333333333332,29.45,21.883333333333336,3.6114130434782603,,27.714285714285715,30.442857142857147,18.257142857142856
1996,449.609512642,17.666666666666668,31.283333333333335,21.3,3.5440217391304363,1.6983368811009338,25.833333333333332,29.45,21.883333333333336
1997,420.42937626300005,19.0,29.416666666666668,23.066666666666666,3.2369565217391307,1.0923843858945121,17.666666666666668,31.283333333333335,21.3
1998,519.2802700179999,,32.36666666666667,21.099999999999998,3.504347826086956,0.8590913034630471,19.0,29.416666666666668,23.066666666666666
1999,630.476421443,50.42307692307692,,,3.5331521739130474,1.954313087724298,,32.36666666666667,21.099999999999998
2000,617.6580098779999,42.56,32.666666666666664,22.166666666666668,3.5771739130434783,1.6662609926961491,50.42307692307692,,
2001,511.777686395,68.70370370370371,38.333333333333336,21.03333333333333,3.634239130434782,-0.5301565543605243,42.56,32.666666666666664,22.166666666666668
2002,549.788892476,54.57692307692308,36.666666666666664,25.5,3.2624999999999984,-0.01814748411974865,68.70370370370371,38.333333333333336,21.03333333333333
2003,415.38032154800004,42.875,33.57142857142857,16.821428571428573,3.51413043478261,0.2587069566190108,54.57692307692308,36.666666666666664,25.5
2004,558.396489496,38.666666666666664,36.833333333333336,25.599999999999998,3.5264705882352962,1.8058857049023747,42.875,33.57142857142857,16.821428571428573
2005,471.9703400909999,46.5,32.01086956521739,20.2,3.4666666666666663,1.184305666727358,38.666666666666664,36.833333333333336,25.599999999999998
2006,535.903365983,48.333333333333336,34.5,29.15416666666667,3.071038251366119,1.6385369312936098,46.5,32.01086956521739,20.2
2007,555.647754243,65.71428571428571,32.16,17.944000000000003,3.3950276243093924,1.3627968822569902,48.333333333333336,34.5,29.15416666666667
2008,591.631903338,69.0,32.75,15.887500000000003,3.0983146067415737,-0.29792910366024683,65.71428571428571,32.16,17.944000000000003
2009,489.80945449599994,58.285714285714285,28.956521739130434,16.343478260869567,3.2211956521739125,0.47201651129618205,69.0,32.75,15.887500000000003
2010,564.4885336280003,61.714285714285715,26.347826086956523,11.695652173913041,3.274863387978141,-1.389570764944003,58.285714285714285,28.956521739130434,16.343478260869567
2011,732.3459662370001,72.23076923076923,26.56,12.188000000000002,3.336956521739135,-2.241768953042097,61.714285714285715,26.347826086956523,11.695652173913041
2012,630.3895457469999,64.0,26.041666666666668,13.52083333333333,3.621428571428571,-1.4408971412231413,72.23076923076923,26.56,12.188000000000002
2013,500.99999929600006,60.22307692307693,22.992307692307694,14.13846153846154,3.567391304347825,-0.608085599179727,64.0,26.041666666666668,13.52083333333333
2014,626.7322040829996,41.86363636363637,20.3,12.6,3.519889502762429,-1.1858864005546046,60.22307692307693,22.992307692307694,14.13846153846154
2015,686.8927072789998,52.833333333333336,24.25,14.924999999999997,3.7711956521739087,-1.3555853217473475,41.86363636363637,20.3,12.6
2016,408.03595516199994,52.0,18.75,9.590909090909092,3.7559782608695653,-1.6437618486245638,52.833333333333336,24.25,14.924999999999997
2017,570.2212947520002,42.0,19.666666666666668,12.866666666666665,3.710326086956518,-1.2670299527728108,52.0,18.75,9.590909090909092
2018,312.8090027700001,36.333333333333336,18.666666666666668,10.741666666666667,3.968478260869565,-0.4760559125166805,42.0,19.666666666666668,12.866666666666665
