year,rain,colour,TP,chla,wind_speed,cyano,colour_prevSummer,TP_prevSummer,chla_prevSummer
1980,546.2345804364265,,43.57301587333334,16.080129870272728,2.302665694602481,,,,
1981,508.55600489083207,,28.833333335,8.33125,2.4714872642633425,,,43.57301587333334,16.080129870272728
1982,557.7706164299219,26.666666666666668,26.988095237142858,5.974999999999999,2.673500006761243,,,28.833333335,8.33125
1983,459.499582127467,17.625,29.781250000000004,6.05,2.7359130586904583,,26.666666666666668,26.988095237142858,5.974999999999999
1984,599.9176314160942,,26.527500000000003,11.09,2.41568217145186,,17.625,29.781250000000004,6.05
1985,533.9175867536284,34.404761904285714,30.957142858571427,11.895238094714287,2.3906167977832276,,,26.527500000000003,11.09
1986,450.4580277276646,27.472222223333333,33.78888889,12.677777776666666,2.7562364447350918,,34.404761904285714,30.957142858571427,11.895238094714287
1987,656.1103780171527,29.02777777833333,23.433333333333334,8.511111111166667,2.617738164031569,,27.472222223333333,33.78888889,12.677777776666666
1988,643.4055734761807,32.27777777666667,29.533333333333335,14.055555556666668,2.405740109817181,,29.02777777833333,23.433333333333334,8.511111111166667
1989,383.8532588984129,23.857142857142858,27.057142857142853,14.271428571428572,2.6312205597533445,,32.27777777666667,29.533333333333335,14.055555556666668
1990,415.93015916189074,19.857142857142858,28.900000000000006,12.242857142857142,2.630839597423409,,23.857142857142858,27.057142857142853,14.271428571428572
1991,378.83034245162685,20.625,27.225,9.425,2.4852844753021417,,19.857142857142858,28.900000000000006,12.242857142857142
1992,364.09977945805736,21.285714285714285,31.342857142857145,16.757142857142856,2.483644208457025,,20.625,27.225,9.425
1993,411.8581219264145,24.428571428571427,27.3,12.614285714285716,2.342468746139625,,21.285714285714285,31.342857142857145,16.757142857142856
1994,407.9094933079005,27.714285714285715,30.442857142857147,18.257142857142856,2.469311086160371,,24.428571428571427,27.3,12.614285714285716
1995,471.86740185035563,25.833333333333332,29.45,21.883333333333336,2.7503218544676913,,27.714285714285715,30.442857142857147,18.257142857142856
1996,462.0696325668921,17.666666666666668,31.283333333333335,21.3,2.6940128913539723,1.6983368811009338,25.833333333333332,29.45,21.883333333333336
1997,434.0852193625812,19.0,29.416666666666668,23.066666666666666,2.2425583430063423,1.0923843858945121,17.666666666666668,31.283333333333335,21.3
1998,530.4147105635001,,32.36666666666667,21.099999999999998,2.380136667531821,0.8590913034630471,19.0,29.416666666666668,23.066666666666666
1999,534.7226148027852,50.42307692307692,,,2.485552957636462,1.954313087724298,,32.36666666666667,21.099999999999998
2000,616.279385401145,42.56,32.666666666666664,22.166666666666668,2.5313387951775566,1.6662609926961491,50.42307692307692,,
2001,474.7441390451874,68.42307692307692,38.333333333333336,21.03333333333333,2.423030052207032,-0.5301565543605243,42.56,32.666666666666664,22.166666666666668
2002,499.78186853484567,54.57692307692308,36.666666666666664,25.5,2.2451856851449534,-0.01814748411974865,68.42307692307692,38.333333333333336,21.03333333333333
2003,486.9480526555603,42.875,33.57142857142857,16.821428571428573,2.3574383645133024,0.2587069566190108,54.57692307692308,36.666666666666664,25.5
2004,529.14000305058,38.666666666666664,36.833333333333336,25.599999999999998,2.482617204158326,1.8058857049023747,42.875,33.57142857142857,16.821428571428573
2005,456.0761093031777,46.5,32.01086956521739,20.2,2.5399223252602288,1.184305666727358,38.666666666666664,36.833333333333336,25.599999999999998
2006,563.487425315257,48.333333333333336,34.5,29.15416666666667,2.3333816110927335,1.6385369312936098,46.5,32.01086956521739,20.2
2007,586.7197632817644,64.66666666666667,32.16,17.944000000000003,2.607558341803156,1.3627968822569902,48.333333333333336,34.5,29.15416666666667
2008,436.43790321245905,69.0,32.75,15.887500000000003,2.3397294345605313,-0.29792910366024683,64.66666666666667,32.16,17.944000000000003
2009,510.48151885430013,58.285714285714285,28.956521739130434,16.343478260869567,2.5830731018112507,0.47201651129618205,69.0,32.75,15.887500000000003
2010,571.2176801050542,61.714285714285715,26.347826086956523,11.695652173913041,2.533714472760789,-1.389570764944003,58.285714285714285,28.956521739130434,16.343478260869567
2011,723.2166944820235,72.88888888888889,26.56,12.188000000000002,2.6126852926487336,-2.241768953042097,61.714285714285715,26.347826086956523,11.695652173913041
2012,642.4037385771738,64.15384615384616,26.391304347826086,13.799999999999999,2.4702793548600015,-1.4408971412231413,72.88888888888889,26.56,12.188000000000002
2013,515.9512987838082,60.22307692307693,22.992307692307694,14.13846153846154,2.473511253095937,-0.608085599179727,64.15384615384616,26.391304347826086,13.799999999999999
2014,590.4880310332317,41.86363636363637,20.3,12.6,2.4458315404151056,-1.1858864005546046,60.22307692307693,22.992307692307694,14.13846153846154
2015,631.2545640910536,52.833333333333336,24.25,14.924999999999997,2.67178928083891,-1.3555853217473475,41.86363636363637,20.3,12.6
2016,408.3086942436196,52.0,18.75,9.590909090909092,2.6844920717053626,-1.6437618486245638,52.833333333333336,24.25,14.924999999999997
2017,563.5581294265962,42.0,19.666666666666668,12.866666666666665,2.569478210990664,-1.2670299527728108,52.0,18.75,9.590909090909092
2018,339.6103322669187,36.333333333333336,18.666666666666668,10.741666666666667,2.6618008767712307,-0.4760559125166805,42.0,19.666666666666668,12.866666666666665
2019,692.2442840474199,47.0,25.8,14.983333333333334,2.499650733094271,-0.510743835364071,36.333333333333336,18.666666666666668,10.741666666666667
