Date,Pptn,Temp,Wind_speed,PET,Q,TP_catch,chl-a_lake,TP_lake,colour_lake,PTI,Biovolume,CyanoBiovol,Rain_day,Pptn_intense,Wind_under_Q0.2,Wind_under_Q0.4,Wind_over_Q0.6,Wind_over_Q0.8,Temp_subzero
1980-01-01,0.0,-6.4783725070000004,2.9,0.0,4.252,,,,,,,,0,0,False,False,False,False,True
1980-01-02,0.0,-10.4101819,3.1,0.0,5.544,,,,,,,,0,0,False,False,False,False,True
1980-01-03,0.0,-15.99735481,1.5,0.0,8.203,,,,,,,,0,0,True,True,False,False,True
1980-01-04,2.693678551,-14.6947984,1.7,0.0,10.460999999999999,,,,,,,,1,0,True,True,False,False,True
1980-01-05,3.016552822,-5.953703769,1.5,0.0,10.238999999999999,,,,,,,,1,0,True,True,False,False,True
1980-01-06,0.10995255300000001,-3.922842437,2.9,0.0,6.827000000000001,,,,,,,,1,0,False,False,False,False,True
1980-01-07,0.18581533,-5.264479672,2.9,0.0,3.497,,,,,,,,1,0,False,False,False,False,True
1980-01-08,0.14792225,-7.376215982000001,2.1,0.0,2.602,,,,,,,,1,0,False,True,False,False,True
1980-01-09,0.062490752999999996,-6.317378627,2.9,0.0,2.439,,,,,,,,1,0,False,False,False,False,True
1980-01-10,0.0,-6.414902516000001,2.9,0.0,2.359,,,,,,,,0,0,False,False,False,False,True
1980-01-11,0.018215576,-8.331207466,1.0,0.0,2.228,,,,,,,,1,0,True,True,False,False,True
1980-01-12,0.0,-10.63540747,1.2,0.0,2.126,,,,,,,,0,0,True,True,False,False,True
1980-01-13,0.0,-2.722516899,5.1,0.0,2.016,,,,,,,,0,0,False,False,True,True,True
1980-01-14,0.0,-2.8618441110000004,3.9,0.0,1.975,,,,,,,,0,0,False,False,True,False,True
1980-01-15,0.0,-5.949268895,1.3,0.0,1.93,,,,,,,,0,0,True,True,False,False,True
1980-01-16,0.015178535,-7.114493089,1.9,0.0,1.781,,,,,,,,1,0,True,True,False,False,True
1980-01-17,0.0,-8.447130922000001,0.8,0.0,2.0669999999999997,,,,,,,,0,0,True,True,False,False,True
