par,terc,roc,sig,Season
psl,lower,-0.049382716,FALSE,Late summer (7-10)
psl,middle,-0.179012346,FALSE,Late summer (7-10)
psl,upper,0.172839506,FALSE,Late summer (7-10)
tcc,lower,0.043209877,FALSE,Late summer (7-10)
tcc,middle,0.481481481,TRUE,Late summer (7-10)
tcc,upper,-0.00617284,FALSE,Late summer (7-10)
uas,lower,-0.425925926,FALSE,Late summer (7-10)
uas,middle,-0.222222222,FALSE,Late summer (7-10)
uas,upper,-0.37654321,FALSE,Late summer (7-10)
vas,lower,-0.055555556,FALSE,Late summer (7-10)
vas,middle,-0.191358025,FALSE,Late summer (7-10)
vas,upper,-0.24691358,FALSE,Late summer (7-10)
tas,lower,-0.166666667,FALSE,Late summer (7-10)
tas,middle,-0.104938272,FALSE,Late summer (7-10)
tas,upper,0.228395062,FALSE,Late summer (7-10)
tdps,lower,-0.061728395,FALSE,Late summer (7-10)
tdps,middle,-0.043209877,FALSE,Late summer (7-10)
tdps,upper,0.117283951,FALSE,Late summer (7-10)
rsds,lower,0.265432099,FALSE,Late summer (7-10)
rsds,middle,0.080246914,FALSE,Late summer (7-10)
rsds,upper,0.111111111,FALSE,Late summer (7-10)
rlds,lower,0.111111111,FALSE,Late summer (7-10)
rlds,middle,0.320987654,FALSE,Late summer (7-10)
rlds,upper,0.012345679,FALSE,Late summer (7-10)
tp,lower,-0.166666667,FALSE,Late summer (7-10)
tp,middle,-0.166666667,FALSE,Late summer (7-10)
tp,upper,-0.37654321,FALSE,Late summer (7-10)
psl,lower,0.030864198,FALSE,Spring (2-4)
psl,middle,0.425925926,FALSE,Spring (2-4)
psl,upper,0.080246914,FALSE,Spring (2-4)
tcc,lower,-0.37654321,FALSE,Spring (2-4)
tcc,middle,-0.481481481,FALSE,Spring (2-4)
tcc,upper,-0.475308642,FALSE,Spring (2-4)
uas,lower,-0.086419753,FALSE,Spring (2-4)
uas,middle,-0.154320988,FALSE,Spring (2-4)
uas,upper,0.012345679,FALSE,Spring (2-4)
vas,lower,0.265432099,FALSE,Spring (2-4)
vas,middle,0.185185185,FALSE,Spring (2-4)
vas,upper,0.12962963,FALSE,Spring (2-4)
tas,lower,0.24691358,FALSE,Spring (2-4)
tas,middle,0.240740741,FALSE,Spring (2-4)
tas,upper,0.413580247,FALSE,Spring (2-4)
tdps,lower,-0.049382716,FALSE,Spring (2-4)
tdps,middle,-0.135802469,FALSE,Spring (2-4)
tdps,upper,-0.061728395,FALSE,Spring (2-4)
rsds,lower,-0.055555556,FALSE,Spring (2-4)
rsds,middle,-0.413580247,FALSE,Spring (2-4)
