"par","terc","roc","sig"
"psl","lower",0.166666666666667,FALSE
"psl","middle",-0.290123456790123,FALSE
"psl","upper",-0.0617283950617284,FALSE
"tcc","lower",-0.407407407407407,FALSE
"tcc","middle",0.32716049382716,FALSE
"tcc","upper",-0.259259259259259,FALSE
"uas","lower",0,FALSE
"uas","middle",0.290123456790123,FALSE
"uas","upper",-0.0617283950617284,FALSE
"vas","lower",0.0987654320987654,FALSE
"vas","middle",0.160493827160494,FALSE
"vas","upper",0.0555555555555556,FALSE
"tas","lower",-0.0555555555555556,FALSE
"tas","middle",0.234567901234568,FALSE
"tas","upper",-0.41358024691358,FALSE
"tdps","lower",-0.401234567901235,FALSE
"tdps","middle",-0.308641975308642,FALSE
"tdps","upper",-0.172839506172839,FALSE
"rsds","lower",-0.197530864197531,FALSE
"rsds","middle",0.216049382716049,FALSE
"rsds","upper",-0.333333333333333,FALSE
"rlds","lower",-0.203703703703704,FALSE
"rlds","middle",-0.191358024691358,FALSE
"rlds","upper",-0.358024691358025,FALSE
"tp","lower",-0.172839506172839,FALSE
"tp","middle",0.185185185185185,FALSE
"tp","upper",-0.154320987654321,FALSE
