"par","terc","roc","sig"
"psl","lower",-0.166666666666667,FALSE
"psl","middle",-0.327160493827161,FALSE
"psl","upper",0.104938271604938,FALSE
"tcc","lower",0.197530864197531,FALSE
"tcc","middle",-0.444444444444444,FALSE
"tcc","upper",-0.0246913580246914,FALSE
"uas","lower",-0.12962962962963,FALSE
"uas","middle",-0.0123456790123457,FALSE
"uas","upper",0.0925925925925926,FALSE
"vas","lower",0.376543209876543,FALSE
"vas","middle",0.17283950617284,FALSE
"vas","upper",-0.203703703703704,FALSE
"tas","lower",-0.141975308641975,FALSE
"tas","middle",0.160493827160494,FALSE
"tas","upper",-0.290123456790123,FALSE
"tdps","lower",0.308641975308642,FALSE
"tdps","middle",0.228395061728395,FALSE
"tdps","upper",-0.185185185185185,FALSE
"rsds","lower",0.0802469135802468,FALSE
"rsds","middle",0.265432098765432,FALSE
"rsds","upper",-0.0987654320987654,FALSE
"rlds","lower",0.358024691358025,FALSE
"rlds","middle",-0.0308641975308642,FALSE
"rlds","upper",0.191358024691358,FALSE
"tp","lower",-0.308641975308642,FALSE
"tp","middle",-0.0740740740740741,FALSE
"tp","upper",-0.358024691358025,FALSE
