dates,psl,tcc,uas,vas,tas,tdps,rsds,rlds,tp
1993-05-01,100315.575561559,0.065449394670348,-1.2847656495045,1.26966086063604,15.4775744169572,5.99116403861882,226.949436042767,317.523062427377,10.5631521023697
1993-05-02,100065.284640824,0.52632407986253,-1.33015289198562,1.18796275353538,15.0871622719983,10.6648637709491,119.945453036775,353.841331662229,16.6223496270958
1993-05-03,100366.757862873,0.896475132733374,-0.0224535314054777,0.943619807038608,12.138201227623,11.0002959373144,88.4415407922481,331.244751264716,3.86312690229706
1993-05-04,101420.923379723,0.896475132733374,-2.01447139483285,-4.58999115646141,8.17708190399253,1.2176592698885,120.149262556673,327.947792215185,6.5092409145881
1993-05-05,102249.130992146,0.908527323066525,-3.88448938882342,-2.97110035341054,7.9910201388199,1.07947074597266,200.620493135481,312.176952255729,0
1993-05-06,102008.547731668,0.805705214303769,-3.13482385016145,-1.75225480745154,9.83160008911553,4.62307761970375,211.912455695223,323.239056215524,0
1993-05-07,101579.361342144,0.285857590952217,-2.73796286451718,-1.04916944683618,13.5810377050006,8.92283853683569,228.998805270741,313.97643867501,0
1993-05-08,101503.566167793,0.411867948020929,-1.90009365605332,0.149573953271035,14.7390567128398,9.29779132882422,194.49727621847,326.329696199585,0
1993-05-09,101597.562047459,0.42895803968829,-0.866508124371945,0.395318927377899,15.5475205929724,9.13966015139417,270.729387698016,297.514527953759,0
1993-05-10,101366.260388908,0.0557512089730118,0.6357303740973,1.00419629123146,15.0181971978341,8.83839482538584,276.578947687894,298.852951588812,0
1993-05-11,100972.752724194,0.105820497382868,0.725859577553327,1.3954837128608,15.1696337882673,8.83839482538584,274.823238598372,294.545683444466,1.7642288620844
1993-05-12,99992.3471147826,0.473488368815885,0.220053287588221,-0.0881203592728017,13.6833417246348,7.61252726717266,139.882064785544,299.807177181835,5.29129900681735
1993-05-13,99874.8582694151,0.849618277544729,-3.79206781195692,-3.05338443507972,6.93357579393571,-1.58399315406148,253.953656976137,255.225353960848,0
1993-05-14,100283.591897621,0.602206790565732,-1.63972619555331,-1.54225974649229,5.1679520529678,-4.52597948185864,196.872188348635,280.410034443075,4.52539730543246
1993-05-15,100453.393375763,0.922808777932518,-0.367563453989258,1.3167081340309,4.4738389947709,-0.552864536305774,220.729077152292,278.801658336434,1.00584832403317
