dates,psl,tcc,uas,vas,tas,tdps,rsds,rlds,tp
2017-11-01,99920.999073125,0.867619459152222,2.72220235839843,1.72018647827148,6.04313982421876,4.97684756103517,41.1432597101601,266.637738713853,0.00312736511230468
2017-11-02,100577.3969375,0.430857012176514,-0.561151392822263,-2.28731784301758,3.59461294433596,0.423205424804707,38.7459300651315,271.798943704516,0.0827991485595701
2017-11-03,100516.258286875,0.522215735702514,2.00810396972656,3.13489591308593,4.34388092041017,1.87264949462892,31.4071875224439,285.712537592114,0.683262176513669
2017-11-04,100145.660235625,0.563209237365723,2.12945910034179,2.99808475585937,5.52800191162111,4.2654916333008,12.6306477614178,314.161124496727,5.72497573852539
2017-11-05,100656.05553,0.998861991043091,-0.613412530517576,-1.39345305908203,3.73982010009767,3.29897976562501,14.6241086300897,287.586508902847,6.13637413024902
2017-11-06,100194.92923625,0.644153312988281,1.63697649658203,-1.27599662475586,1.16149548095705,0.490402387695327,22.6809581792629,283.901018585325,0.921654205322265
2017-11-07,100907.94134125,0.887556678161621,-2.43397866333008,0.478407233886717,2.41164307617189,1.44210476074221,7.55342904489574,309.132803481511,13.1420202636719
2017-11-08,100548.421195,0.867302344665528,-0.50918428466797,1.3480269140625,3.32718728759767,2.49238321777346,28.7807367728808,285.630665265378,1.15612091064453
2017-11-09,101506.90989,0.741136754531861,-2.21493210327148,-1.24983845947265,2.30713842529299,1.04445120605471,16.2937400423793,293.993255803226,2.52215133666992
2017-11-10,101223.766150625,1,-1.36725921630859,-4.47906562988281,0.277956437988297,-1.46789225341795,6.83775759310848,324.166307404531,13.796111907959
2017-11-11,100783.08752125,0.981239792785645,-2.93422377807617,-3.22859887084961,3.70921330566408,2.73649783203127,19.1048304899121,295.216107520931,7.02236495971682
2017-11-12,101773.45575125,0.755524579696656,-2.4587573840332,-1.42196309692383,3.31389226074221,2.45407658935549,3.78996299185848,331.94313554116,4.8439796447754
2017-11-13,102339.092948125,1,-3.86061005249023,-2.93422702270508,4.56333848144533,4.00704144287111,7.87033702223298,321.802437955132,1.99454254150391
2017-11-14,102697.559915,0.978952623138428,-3.58936330078124,-2.80835684814453,3.56216496337892,2.08087386230471,7.19933186583429,315.637808895452,6.44706466674805
2017-11-15,102828.344333125,0.998932143554687,-3.74673624633788,-3.39470325439453,2.42248550781252,1.63668893066408,4.3158237845332,318.467631662317,10.6170883178711
2017-11-16,103274.5927225,0.99912188407898,-3.90575713256835,-1.59373419921875,2.02622689697267,1.3395460864258,8.28348579532308,301.602110487872,1.86463729858398
2017-11-17,103723.372974375,0.866920490341187,-2.29744277954101,-0.49913507446289,1.04018050781252,-0.342512973632793,18.1208322585018,271.029092034763,0.0538386535644533
2017-11-18,103795.644386875,0.778405236892701,-0.576203803710935,0.632306748046875,-0.351315773925764,-1.94576622314451,11.6382906588758,292.496237189436,0.326185913085937
2017-11-19,103333.14840375,0.917774694442749,1.04722931762695,0.0256118920898423,-0.500441704101549,-1.82933957031248,14.0601029026939,282.659683614867,0.308181915283203
2017-11-20,103075.039724375,0.999055180664062,-0.307794099121092,-1.38060319824219,-1.93563939453123,-3.33567450195311,13.251535720643,290.515203457131,4.00363296508789
2017-11-21,102379.146978125,0.954591335449219,-0.594446298828124,-1.1428684777832,-0.683959685058581,-1.39287690185546,13.2958919716962,280.258922622899,2.05742950439453
2017-11-22,102315.55487625,0.599570651550293,-0.182952221679684,-3.89563630981445,1.24061896240236,-1.14232936523436,23.6885591282909,229.729497327781,0
2017-11-23,103350.94994875,0.575272898864746,0.627141702880862,-1.5600236352539,-3.18476072753905,-4.80406607421873,15.059657395295,268.270561805766,0.00625473022460935
2017-11-24,102804.898159063,0.998284851913452,0.650707939453127,-0.953622640380859,-2.12332261230467,-3.29470246337889,9.95156793408388,284.389961405809,0.932551269531252
2017-11-25,101485.298703125,0.914905792922974,0.52950835083008,-0.805821446533204,0.242387355957051,-0.760620590820292,16.8693416175452,240.546545253512,0.0723019409179689
2017-11-26,101725.669553125,0.207536967391968,-0.793796206054685,-3.38537741943359,-1.91741286865233,-4.30398641845701,20.3109835468276,209.007903436599,0.00173675537109376
2017-11-27,102223.130743125,0.56963789138794,-0.735528648681639,-2.59459396850586,-7.10853640869139,-9.48142385253905,19.1272949560787,204.414748549687,0.01654052734375
2017-11-28,103058.407375625,0.463984985809327,-0.857186135406492,-2.74131958374023,-9.13230539062499,-11.199173852539,9.73251165563617,263.161126685769,0.760786743164063
2017-11-29,102957.529249375,0.998872296600342,0.871240512695311,1.9655058581543,-4.3727209423828,-6.0733205932617,5.58124935391806,304.575519693083,1.83900360107422
2017-11-30,102036.669915,0.997566603164673,-0.570271398925781,4.77892585571289,1.51245786376955,-0.100913310546854,5.98901928445706,291.724630468449,1.50578643798828
2017-12-01,102149.60088375,0.922578256835937,-3.22792261596679,1.40614060668945,-1.55242230957029,-4.11365100341795,12.694182198313,251.452295251724,2.03566497802734
2017-12-02,102933.184534375,0.89670942276001,-2.30857193359374,-3.52265528198242,-5.07038741455077,-7.43842238769529,8.33063528983756,270.643816792602,1.18255889892578
2017-12-03,103658.9251225,0.980530330810547,-2.0919017980957,-2.8093920727539,-4.22996782226561,-6.54334023193358,11.5815041899758,244.399229408478,0.0647970581054688
2017-12-04,103905.94035375,0.79754623008728,-1.2756891015625,-2.01561828002929,-7.73599041992186,-10.0402314355469,13.5215170182021,226.078846168366,0.143968200683593
2017-12-05,103400.94887125,0.682440057525635,-1.13431291503906,-2.16985909179687,-10.4503784033203,-12.7349005981445,8.96865153932984,263.366973842941,1.56445281982422
