dates,psl,tcc,uas,vas,tas,tdps,rsds,rlds,tp
2017-02-01,101957.516933125,0.971416496582031,-0.280387307128905,3.11000880859375,-0.122528527832012,-1.82701512207029,10.4738281354334,304.875841794777,1.74295864105225
2017-02-02,101278.517418125,0.9996068409729,-1.47841296752929,2.3324969152832,-0.257219401855449,-1.44510567626951,8.79715127377203,307.315752521113,1.62038612365722
2017-02-03,100966.238415625,0.994273375167847,-1.76153170532226,0.412653956298827,-0.0511890161132635,-1.05823802734373,9.36368689657364,313.928528311934,2.64251796722412
2017-02-04,101019.326362187,0.998057766494751,-2.43955779174804,-0.363535939941407,0.701452849121112,-0.0775248632812313,10.4393160290632,306.639105514849,3.97709144592286
2017-02-05,101662.938345937,0.99452805305481,-4.60336178955078,-0.64950611694336,0.162822355957051,-1.61403428222654,21.3478410188906,282.958240902368,0.671558303833009
2017-02-06,103391.6481625,0.928591332778931,-3.31049244262695,-0.18140507446289,-2.28459975341795,-6.71533317382811,32.6779665714258,240.831696501287,0.237101211547852
2017-02-07,103719.246836875,0.668765035705567,-1.72145013305664,1.23417998657226,-5.88587308349608,-10.6695566601562,53.1584481326641,199.570492654866,0.0237551879882813
2017-02-08,102900.390909375,0.338195904312134,-0.28157811401367,-1.48366515136719,-9.55985558349608,-12.9155514675903,22.1366933634368,243.649290768753,1.89805610656738
2017-02-09,101737.317710937,0.8572923412323,-0.962087952880858,0.681620451660152,-8.79520083251952,-12.4999672166824,47.6955736111522,220.687824421562,0.18233024597168
2017-02-10,102166.076761875,0.371591884307862,-2.72704749023437,0.880233725585936,-7.02956678955077,-10.293887890625,27.3880602853253,263.416468462556,0.786898880004885
2017-02-11,102363.8639225,0.955280478439331,-4.10234997314453,-0.0757812719726577,-4.6587462939453,-8.10024162597654,49.0495372234457,234.355695877136,0.230081329345703
2017-02-12,103256.43835,0.73014703414917,-2.59413704589843,-2.63134507202148,-7.00221831542967,-10.6203305981445,40.2732904756486,249.032221436923,0.158804397583008
