dates,psl,tcc,uas,vas,tas,tdps,rsds,rlds,tp
1993-05-01,100281.26378886,0.76006765682175,-1.34698528026241,-1.47843122867675,2.60092765867906,-1.75488659972306,190.987667814065,279.911829916569,0
1993-05-02,100039.953122792,0.590175683242953,-0.645856857751497,0.159933848793937,6.74464039208542,0.496925176113881,162.658506707621,295.054275202418,0
1993-05-03,99780.9769640025,0.897941793587453,-1.42053181109016,-1.94056320302176,8.06712680578084,0.834348771432417,232.331809212867,266.36758169561,0
1993-05-04,100821.456231175,0.460544820346204,-1.91228186039235,-2.90872977516086,6.88202108783549,-2.77593121583488,260.233668528896,252.773372484083,0
1993-05-05,101384.239772423,0.151868069305719,-1.84985467897416,-2.80234691086133,7.35401527560147,-2.50039809828542,284.249699280832,248.481684854367,0
1993-05-06,101419.147227725,0.0822759396108625,-2.03710548800998,-1.77343787562491,8.34313548570143,-1.01516549989736,170.55987629569,295.855977234103,0
1993-05-07,100857.987365817,0.916174062184214,-2.96915738927208,-2.12992921224131,10.0439562565803,0.800179445730861,214.440682103259,305.776950157025,1.31009712856212
1993-05-08,100648.670325966,0.921161347711042,-3.08772958305619,-1.60220495730431,11.8267131407294,4.62159133066078,128.801569638907,327.690932399606,0
1993-05-09,100821.456231175,0.76674402767793,-1.22683893659752,-2.40093453647316,11.6214095140436,5.8773755580531,284.52389152264,275.455811485482,0
1993-05-10,101320.16698153,0.0914627612252963,-1.70172982519715,-2.65217950434147,11.6469011592995,1.73045389590288,290.512517604512,268.54488360475,0
1993-05-11,101791.628364226,0.570614857417885,0.654146095330007,1.29686000422935,11.5257884033648,3.18017185833884,279.869372045685,279.573687626126,0
1993-05-12,101420.479353938,0.424470842553761,1.04214586922895,1.7299401641037,12.992370283163,5.75744283384093,285.640048884711,290.577422687389,0
1993-05-13,100862.050555079,0.346099970548757,0.762148589553755,0.502266003514445,14.3550683849453,6.98059706461803,146.678598487939,299.262313886003,0
1993-05-14,100920.560320288,0.599982170855362,-1.98578873146673,-2.44079915414814,9.41232443326668,-0.552864536305774,299.888312001623,248.080055290156,0
1993-05-15,101418.719433009,0.0168380506111171,0.449587078763513,-0.160779839093282,8.50988744095828,-0.985587721332419,301.420796993237,259.33207155016,0
1993-05-16,101503.54277257,0.328875157191033,0.0255097361852664,-1.20804735005738,10.7515059919099,0.20206475621576,280.403380035936,281.767077704766,0
1993-05-17,101794.204357199,0.569589017296796,0.069456645102525,-1.59986102557292,12.3346359620496,2.49714546551027,304.334299150214,280.416952727179,0
1993-05-18,101713.278559347,0.0357701128970909,0.460370516647003,-1.3296840596688,14.6375159466316,5.00452953608288,302.289423313143,289.233920342975,0
1993-05-19,101181.486838918,0.00767197379529562,0.244982353582774,-0.830861044239351,15.7217466955202,6.90897412164785,294.828463376979,297.035881703473,0
1993-05-20,100901.732646894,0.0662353402496137,-0.583592015544499,0.17332317708619,15.7809575976719,8.02090463185614,288.010910618674,300.31815462278,0
1993-05-21,100667.39149603,0.0812559066318153,0.559884812192555,2.17119751432843,15.8063455595283,8.73727127689798,288.507078745311,304.336593346172,0
1993-05-22,100739.899799251,0.166818138584185,-0.0961501620082781,1.3628174604882,17.0808127157279,9.38827872756078,293.475356619329,296.789545802123,0
1993-05-23,100921.229114009,0.250044540150302,-0.875523828611561,1.67725205062875,15.6093997733981,6.79660322756109,235.609253226893,313.819751356157,0
