yday,2011,2012,2013,2014,2015,2016,2017
74,2.7777777,2.3379629,2.3842592,0.3125,1.7361112,2.3495371,2.835648
75,2.7430556,1.8518518,3.5532408,0.3125,1.6666666,2.3611112,2.8703704
76,2.6967592,1.8055556,3.5879629,0.32407406,1.7013888,2.3379629,2.824074
77,2.800926,1.8055556,3.6458333,0.32407406,1.712963,2.3495371,2.8472223
78,2.3958333,1.8055556,3.5879629,0.3125,1.6782408,2.3495371,2.8125
79,2.4189816,1.8287038,3.5648148,0.3125,1.6550926,2.2916667,2.8472223
80,2.4189816,1.8055556,3.5300925,0.32407406,1.7592592,2.3726852,2.3379629
81,2.3958333,1.7824074,3.5185184,0.32407406,1.6898148,1.1111112,2.3495371
82,2.4074075,1.261574,3.5069444,0.32407406,1.7013888,2.3148148,2.3032408
83,0,0.6944444,3.5300925,0.3125,1.6782408,0,2.2685184
84,0,0.6018519,3.5300925,0.3125,2.3263888,2.3263888,2.3379629
85,1.2152778,0.6018519,3.5069444,0.32407406,2.3842592,2.9166667,2.2916667
86,1.3541666,0.5787037,3.4722223,0.32407406,2.3263888,2.8703704,2.3379629
87,1.3310186,0.625,3.4837964,0.32407406,2.9861112,2.9282408,2.3148148
88,1.3078704,0,3.3912036,0.3125,2.8472223,2.3611112,2.3032408
89,1.3194444,2.03125,3.4837964,1.9097222,2.9166667,2.4074075,2.2453704
90,1.3078704,2.476852,1.2152778,2.488426,2.9050925,1.1458334,2.3495371
91,1.3194444,2.4537036,0.6597222,3.2523148,2.9282408,2.3148148,2.3148148
92,1.3078704,2.5578704,0.6712963,4.1319447,4.0509257,2.3148148,2.4074075
93,1.3194444,2.488426,0,4.1435184,4.0046296,2.9629629,2.3263888
94,1.3425926,3.3564816,0,3.0092592,2.800926,3.0208333,2.3032408
95,4.560185,2.5578704,0,2.2800925,4.1550927,2.9166667,1.8055556
96,4.9305553,2.6504629,0,1.550926,3.9930556,3.5300925,2.0949075
97,4.872685,2.5810184,0,0.8101852,2.3611112,3.4722223,2.1875
98,4.8958335,2.1064816,0,0.2777778,2.2800925,3.460648,2.3148148
99,4.814815,2.1041667,0,0.3587963,2.3148148,3.460648,2.3842592
100,5.3240743,2.0949075,0,0.9490741,2.2800925,3.414352,2.3379629
101,4.490741,2.164352,0,0.9375,2.3379629,2.3611112,2.3611112
102,0,2.0833333,0,0.9375,2.2800925,2.1412036,2.3379629
103,0,2.1412036,0,0.9375,2.2800925,1.7708334,2.2685184
104,0,2.1296296,0,0.9375,2.2916667,1.7824074,2.3726852
105,0,2.0717592,0,0.9490741,2.164352,2.3958333,2.3263888
106,1.2268518,2.1064816,0,0.9143519,2.3495371,2.3379629,2.3263888
107,1.261574,2.1527777,0,0.9375,2.2569444,2.9629629,2.3263888
108,1.2962962,2.164352,0,0.625,2.210648,2.9282408,2.3379629
109,1.261574,2.0949075,0,0.6481481,2.2453704,2.9629629,2.3148148
110,1.261574,2.3148148,1.1458334,0.625,2.2916667,3.5300925,2.3263888
111,1.2731482,2.4421296,3.113426,0.05787037,1.2037038,4.039352,2.3032408
112,1.238426,2.4074075,3.0555556,0.625,2.0833333,4.0277777,2.3032408
113,1.261574,2.4189816,2.824074,0.625,2.0949075,4.0509257,2.2685184
114,1.261574,2.4305556,3.113426,0.6365741,2.0833333,2.8935184,2.2916667
115,1.261574,2.4305556,2.8819444,0.6134259,2.0601852,3.0208333,2.2916667
116,1.261574,2.3726852,3.0208333,0.625,2.0717592,2.824074,1.7824074
117,0.6365741,2.4652777,2.8472223,0.6365741,1.550926,3.0092592,1.1342592
118,0.5787037,2.1875,2.9050925,0.6481481,1.5162038,3.0092592,1.1458334
119,0.3472222,2.1064816,2.9976852,0.6134259,1.5162038,3.0092592,1.1342592
120,0.5787037,2.1527777,2.488426,0.6365741,1.5162038,2.9513888,1.1342592
121,0.6134259,2.199074,2.488426,0.6365741,1.5162038,2.2916667,1.1342592
122,0.6134259,2.175926,2.4652777,0.625,1.4814814,2.3148148,1.1342592
123,2.3495371,2.1296296,2.4189816,0.6365741,1.5046296,2.3495371,0.010648148
124,2.4305556,2.1527777,2.3263888,0.6365741,1.5046296,2.3148148,0
125,2.4074075,2.1296296,2.3842592,0.6365741,1.5046296,2.3263888,1.1805556
