yday,2011,2012,2013,2014,2015,2016,2017
341,2.3611112,2.4074075,1.3078704,2.8472223,4.201389,2.8703704,1.7939814
342,2.3611112,2.3958333,1.3541666,3.101852,4.0625,2.3958333,1.7592592
343,2.3379629,2.3263888,1.3541666,2.9976852,4.0740743,2.3148148,1.7476852
344,2.3148148,2.3379629,1.2731482,3.0208333,2.8819444,2.3148148,1.7361112
345,2.3148148,2.4537036,1.261574,2.9976852,4.0625,2.2800925,1.7708334
346,2.3958333,2.3958333,1.2731482,3.0092592,2.9513888,2.3263888,2.3381946
347,2.3495371,2.3495371,1.2731482,2.9629629,2.9282408,2.3032408,2.8935184
348,2.3611112,2.3495371,1.25,2.9976852,2.9398148,2.3148148,2.8819444
349,2.3263888,2.3263888,1.2962962,2.9976852,2.9282408,2.3032408,2.8125
350,2.3263888,2.3148148,1.2847222,2.9976852,3.5069444,2.2916667,2.9745371
351,2.3495371,2.3726852,1.261574,3.0208333,4.0740743,2.2916667,2.835648
352,2.2453704,2.3958333,1.9212962,3.0208333,4.0509257,2.3032408,2.9282408
353,2.3495371,2.3842592,2.476852,3.0324075,4.884259,2.3032408,2.8587964
354,2.511574,2.3263888,3.148148,2.800926,5.0347223,2.3032408,2.3495371
355,2.511574,2.3379629,3.0902777,3.2870371,5.138889,2.2800925,2.3263888
356,2.5,2.3611112,3.0208333,3.0787036,3.5069444,2.835648,2.3032408
357,2.476852,2.3726852,3.136574,2.523148,2.9050925,2.8935184,2.3032408
358,2.3495371,2.4305556,3.125,2.3726852,2.8125,2.8472223,2.3032408
359,2.4421296,2.2685184,1.3078704,1.863426,2.8935184,4.016204,2.3379629
360,2.5578704,2.210648,1.2847222,1.875,2.8472223,4.0509257,2.3495371
361,2.476852,2.4189816,1.3194444,1.8518518,2.8819444,4.039352,2.3611112
362,2.5462964,2.3611112,1.2731482,1.8518518,2.9050925,4.039352,2.3379629
363,2.476852,2.3611112,1.3078704,1.875,2.824074,4.1550927,2.3263888
364,3.148148,2.2569444,1.2962962,1.863426,4.1435184,3.4722223,2.3263888
365,2.9861112,2.3263888,1.2962962,2.8935184,4.039352,2.3379629,2.3611112
366,2.9861112,2.3842592,1.2962962,2.8935184,4.039352,2.3148148,2.3611112
