!Date	Height (m)
1999-07-01 00:00:00	19.06
1999-07-02 00:00:00	19.12
1999-07-03 00:00:00	19.198
1999-07-04 00:00:00	19.26
1999-07-05 00:00:00	19.2605
1999-07-06 00:00:00	19.2605
1999-07-07 00:00:00	19.3855
1999-07-08 00:00:00	19.2
1999-07-09 00:00:00	19.198
1999-07-10 00:00:00	19.38
1999-07-11 00:00:00	19.448
1999-07-12 00:00:00	19.573
1999-07-13 00:00:00	19.448
1999-07-14 00:00:00	19.38
1999-07-15 00:00:00	19.34
1999-07-16 00:00:00	19.2605
1999-07-17 00:00:00	19.448
1999-07-18 00:00:00	19.5105
1999-07-19 00:00:00	19.8855
1999-07-20 00:00:00	22.073
1999-07-21 00:00:00	23.073
1999-07-22 00:00:00	23.573
1999-07-23 00:00:00	23.948
1999-07-24 00:00:00	24.073
1999-07-25 00:00:00	24.2605
1999-07-26 00:00:00	24.2605
1999-07-27 00:00:00	24.198
1999-07-28 00:00:00	24.2
1999-07-29 00:00:00	24.198
1999-07-30 00:00:00	24.2605
1999-07-31 00:00:00	24.073
1999-08-01 00:00:00	24.073
1999-08-02 00:00:00	23.9
1999-08-03 00:00:00	23.7605
1999-08-04 00:00:00	23.7605
1999-08-05 00:00:00	23.573
1999-08-06 00:00:00	23.573
1999-08-07 00:00:00	23.6355
1999-08-08 00:00:00	23.6
1999-08-09 00:00:00	24.72
1999-08-10 00:00:00	25.46
1999-08-11 00:00:00	25.72
1999-08-12 00:00:00	25.88
1999-08-13 00:00:00	25.98
1999-08-14 00:00:00	26.1355
1999-08-15 00:00:00	26.17
1999-08-16 00:00:00	26.24
1999-08-17 00:00:00	26.28
1999-08-18 00:00:00	26.32
1999-08-19 00:00:00	26.36
1999-08-20 00:00:00	26.36
1999-08-21 00:00:00	26.323
1999-08-22 00:00:00	26.448
1999-08-23 00:00:00	26.44
1999-08-24 00:00:00	26.3855
1999-08-25 00:00:00	26.573
1999-08-26 00:00:00	26.573
