yday,2000,2001,2002,2003,2004,2005
1,0.120370370370371,0,0,3.16203703703704,0.768171296296298,1.36655092592593
2,1.79398148148149,0,0,3.1326388888889,0.773379629629631,2.77893518518519
3,2.19907407407408,0,0,3.12523148148149,0.77164351851852,2.36770833333334
4,2.20023148148149,0,0,3.12500000000001,0.766435185185187,1.27280092592593
5,2.20486111111112,0,0,3.12615740740741,0.773495370370372,1.44490740740741
6,2.20023148148149,0,0,1.86527777777778,0.767476851851854,1.13136574074074
7,2.19907407407408,0,0,2.49236111111112,0.770138888888891,1.12627314814815
8,2.20138888888889,0,0,3.12812500000001,0.770138888888891,1.12013888888889
9,2.21875,0,0.00289351851851852,3.12557870370371,0.766550925925928,1.12037037037037
10,2.19791666666667,0,0,3.12511574074075,0.765277777777779,1.12280092592593
11,2.19791666666667,0,0,2.05590277777778,0.772106481481483,1.11793981481482
12,2.20370370370371,0,0,3.12685185185186,0.77627314814815,1.11701388888889
13,1.77546296296297,0,0,3.12789351851853,0.774421296296298,1.11944444444445
14,1.89814814814815,0,0,3.60185185185186,0.77314814814815,1.11886574074074
15,2.19444444444445,0,0,3.40462962962964,0.658101851851853,1.11608796296297
16,2.21412037037038,0,0,3.07280092592593,0.64976851851852,1.12430555555556
17,2.22800925925926,0,0.000231481481481482,2.18125,0.64814814814815,1.12280092592593
18,2.23032407407408,0,0.000462962962962964,3.64525462962964,0.653819444444446,1.12071759259259
19,2.22337962962963,0,0,3.64976851851853,0.655439814814816,1.11828703703704
20,2.22569444444445,0,0.000115740740740741,3.70914351851853,0.627430555555557,1.12395833333334
21,2.20486111111112,0,0,3.64780092592593,0.620833333333335,1.1369212962963
22,2.18518518518519,0,0,3.66793981481482,0.606944444444446,1.14166666666667
23,2.19907407407408,0,0,3.68784722222223,0.594675925925927,1.14328703703704
24,2.23032407407408,1.15740740740741,0,3.64768518518519,0.607060185185187,1.14456018518519
25,1.92013888888889,0.00115740740740741,0.000231481481481482,3.64814814814816,0.623379629629631,1.14409722222222
26,1.7962962962963,0,0,2.08900462962963,0.626041666666668,1.13958333333334
27,0.627314814814816,1.57291666666667,0,3.37002314814816,0.626851851851853,1.14166666666667
28,1.16898148148148,2.34270833333334,0,3.64837962962964,0.674884259259261,1.13449074074074
29,1.79513888888889,2.05092592592593,0,3.64594907407408,0.683564814814816,1.14050925925926
30,1.8113425925926,1.16898148148148,0,3.66400462962964,0.681944444444446,1.14247685185185
31,1.82175925925926,1.1712962962963,0,3.76157407407408,0.681828703703705,0.989120370370372
32,1.81365740740741,1.90393518518519,0,3.45185185185186,0.684837962962965,1.10902777777778
33,1.46643518518519,1.92824074074074,0,2.8494212962963,0.687037037037039,0.974537037037039
34,1.25,2.0925925925926,0,3.81944444444445,0.687037037037039,1.13680555555556
35,1.12615740740741,2.21412037037038,0,4.01516203703705,0.686342592592594,1.13599537037037
36,1.12962962962963,2.21296296296297,0.000231481481481482,4.39814814814816,0.681134259259261,1.13055555555556
37,0.0185185185185186,1.84953703703704,0.00173611111111111,4.51574074074075,0.320486111111112,1.13344907407408
38,1.20949074074074,2.04166666666667,0.000231481481481482,4.64930555555557,0.675925925925927,1.12962962962963
39,1.16203703703704,2.10069444444445,0,4.73032407407408,0.679282407407409,1.128125
40,1.21064814814815,1.53206018518519,0,4.87997685185186,0.681597222222224,1.12777777777778
41,1.2337962962963,0,0,4.72002314814816,0.682754629629631,0.866203703703706
42,1.1875,4.23645833333334,0.000231481481481482,4.73379629629631,0.679166666666668,1.08946759259259
43,1.18865740740741,2.16550925925926,0,4.42476851851853,0.66851851851852,0.783912037037039
44,1.1875,2.14351851851852,0.00127314814814815,4.38310185185186,0.684259259259261,0.654629629629631
45,1.20023148148148,2.07175925925926,0,5.17789351851853,0.675578703703705,0.653472222222224
46,1.19097222222222,2.07280092592593,0,4.2144675925926,0.675810185185187,0.650347222222224
47,1.19097222222222,2.36932870370371,0,4.18958333333334,0.680787037037039,0.650694444444446
48,1.13310185185185,2.25520833333334,0,4.19583333333334,0.681828703703705,0.653819444444446
49,1.15740740740741,1.8337962962963,0,4.00162037037038,0.679282407407409,0.65138888888889
50,1.18865740740741,1.85729166666667,0,3.96296296296297,0.68576388888889,0.652083333333335
51,1.07638888888889,2.07118055555556,0,3.93784722222223,0.675462962962964,0.654629629629631
52,1.19212962962963,1.85659722222223,0,3.58055555555556,0.673611111111113,0.652777777777779
53,1.18055555555556,1.55775462962963,0,3.08101851851853,0.67939814814815,0.651041666666668
54,1.13425925925926,1.88159722222223,0,3.65173611111112,0.676157407407409,0.649537037037038
55,1.39699074074074,0.781250000000002,0,3.0494212962963,0.501273148148149,0.64826388888889
56,1.16898148148148,2.29768518518519,0,2.49074074074075,0,0.649537037037038
57,1.17592592592593,2.34328703703704,0.000115740740740741,2.31828703703704,0.585416666666668,0.0696759259259261
58,1.17245370370371,2.34166666666667,0.000462962962962964,2.31481481481482,0.654282407407409,0
59,1.09606481481482,2.33159722222223,0.279456018518519,2.31481481481482,0.662847222222224,0
