Time,FLOW
2014-09-08,2.3148148
2014-09-09,2.3032408
2014-09-10,2.2800925
2014-09-11,1.5046296
2014-09-12,1.5046296
2014-09-13,1.4699074
2014-09-14,1.4930556
2014-09-15,1.5393518
2014-09-16,1.5046296
2014-09-17,2.6388888
2014-09-18,2.6504629
2014-09-19,2.6504629
2014-09-20,2.6273148
2014-09-21,2.6388888
2014-09-22,2.6620371
2014-09-23,2.6388888
2014-09-24,2.6388888
2014-09-25,2.6273148
2014-09-26,2.6157408
2014-09-27,2.6041667
2014-09-28,2.6273148
2014-09-29,2.6041667
2014-09-30,2.6273148
2014-10-01,2.6041667
2014-10-02,1.5046296
2014-10-03,0.9143519
2014-10-04,0.8796296
2014-10-05,1.5277778
2014-10-06,1.7824074
2014-10-07,1.7708334
2014-10-08,1.7476852
2014-10-09,2.6736112
2014-10-10,2.6504629
2014-10-11,2.6157408
2014-10-12,3.2407408
2014-10-13,3.9351852
2014-10-14,3.8657408
2014-10-15,3.8657408
2014-10-16,0.8912037
2014-10-17,0.8912037
2014-10-18,0.9027778
2014-10-19,0.8796296
2014-10-20,0.8912037
2014-10-21,0.8912037
2014-10-22,0.8680556
2014-10-23,0.8912037
2014-10-24,0.8796296
2014-10-25,0.8564815
2014-10-26,0.8796296
2014-10-27,0.9143519
2014-10-28,0.8912037
2014-10-29,0.8912037
2014-10-30,0.8912037
2014-10-31,0.8796296
2014-11-01,2.6157408
2014-11-02,1.5162038
2014-11-03,2.7314816
2014-11-04,2.6967592
2014-11-05,2.6736112
2014-11-06,2.6851852
2014-11-07,2.6736112
2014-11-08,2.6388888
2014-11-09,2.6504629
2014-11-10,2.6736112
2014-11-11,2.6851852
2014-11-12,2.6620371
2014-11-13,2.6504629
2014-11-14,3.2638888
2014-11-15,3.2638888
2014-11-16,3.2523148
2014-11-17,3.2986112
2014-11-18,3.2986112
2014-11-19,2.6851852
2014-11-20,2.4189816
2014-11-21,2.4305556
2014-11-22,1.8055556
2014-11-23,1.863426
2014-11-24,1.9212962
2014-11-25,1.863426
2014-11-26,1.8518518
2014-11-27,1.875
2014-11-28,1.8518518
2014-11-29,1.8402778
2014-11-30,1.863426
2014-12-01,1.8518518
2014-12-02,1.8171296
2014-12-03,1.8171296
2014-12-04,1.863426
2014-12-05,2.4652777
2014-12-06,2.3611112
2014-12-07,2.8472223
2014-12-08,3.101852
2014-12-09,2.9976852
2014-12-10,3.0208333
2014-12-11,2.9976852
2014-12-12,3.0092592
2014-12-13,2.9629629
2014-12-14,2.9976852
2014-12-15,2.9976852
2014-12-16,2.9976852
2014-12-17,3.0208333
2014-12-18,3.0208333
2014-12-19,3.0324075
2014-12-20,2.800926
2014-12-21,3.2870371
2014-12-22,3.0787036
2014-12-23,2.523148
2014-12-24,2.3726852
2014-12-25,1.863426
2014-12-26,1.875
2014-12-27,1.8518518
2014-12-28,1.8518518
2014-12-29,1.875
2014-12-30,1.863426
2014-12-31,2.8935184
2015-01-01,2.8125
2015-01-02,2.9513888
2015-01-03,3.414352
2015-01-04,3.414352
2015-01-05,3.6805556
2015-01-06,2.824074
2015-01-07,2.8935184
2015-01-08,2.9282408
2015-01-09,2.8935184
2015-01-10,1.7708334
2015-01-11,1.724537
2015-01-12,1.1689814
2015-01-13,1.1574074
2015-01-14,1.1458334
2015-01-15,1.1342592
2015-01-16,1.1805556
2015-01-17,1.1458334
2015-01-18,1.1574074
2015-01-19,1.1921296
2015-01-20,1.1574074
2015-01-21,2.2916667
2015-01-22,2.2685184
2015-01-23,2.2916667
2015-01-24,2.3148148
2015-01-25,2.3032408
2015-01-26,2.3379629
2015-01-27,2.3726852
2015-01-28,2.3379629
2015-01-29,2.2337964
2015-01-30,2.4537036
2015-01-31,2.3032408
2015-02-01,2.3495371
2015-02-02,2.3842592
2015-02-03,2.3611112
2015-02-04,2.3611112
2015-02-05,2.3379629
2015-02-06,2.3611112
2015-02-07,2.3379629
2015-02-08,3.460648
2015-02-09,3.449074
2015-02-10,3.449074
2015-02-11,3.460648
2015-02-12,3.449074
2015-02-13,3.425926
2015-02-14,3.5300925
2015-02-15,3.3680556
2015-02-16,3.425926
2015-02-17,2.3148148
2015-02-18,2.3842592
2015-02-19,1.1458334
2015-02-20,1.1574074
2015-02-21,1.1342592
2015-02-22,3.460648
2015-02-23,3.425926
2015-02-24,3.4375
2015-02-25,3.449074
2015-02-26,2.2222223
2015-02-27,2.3958333
2015-02-28,2.3032408
2015-03-01,2.2569444
2015-03-02,2.3148148
2015-03-03,2.2800925
2015-03-04,2.2916667
2015-03-05,2.2916667
2015-03-06,2.2916667
2015-03-07,2.2453704
2015-03-08,2.3148148
2015-03-09,2.3148148
2015-03-10,2.3379629
2015-03-11,2.3263888
2015-03-12,2.3379629
2015-03-13,1.7013888
2015-03-14,1.7476852
2015-03-15,1.7361112
2015-03-16,1.6666666
2015-03-17,1.7013888
2015-03-18,1.712963
2015-03-19,1.6782408
2015-03-20,1.6550926
2015-03-21,1.7592592
2015-03-22,1.6898148
2015-03-23,1.7013888
2015-03-24,1.6782408
2015-03-25,2.3263888
2015-03-26,2.3842592
2015-03-27,2.3263888
2015-03-28,2.9861112
2015-03-29,2.8472223
2015-03-30,2.9166667
2015-03-31,2.9050925
2015-04-01,2.9282408
2015-04-02,4.0509257
2015-04-03,4.0046296
2015-04-04,2.800926
2015-04-05,4.1550927
2015-04-06,3.9930556
2015-04-07,2.3611112
2015-04-08,2.2800925
2015-04-09,2.3148148
2015-04-10,2.2800925
2015-04-11,2.3379629
2015-04-12,2.2800925
2015-04-13,2.2800925
2015-04-14,2.2916667
2015-04-15,2.164352
2015-04-16,2.3495371
2015-04-17,2.2569444
2015-04-18,2.210648
2015-04-19,2.2453704
2015-04-20,2.2916667
2015-04-21,1.2037038
2015-04-22,2.0833333
2015-04-23,2.0949075
2015-04-24,2.0833333
2015-04-25,2.0601852
2015-04-26,2.0717592
2015-04-27,1.550926
2015-04-28,1.5162038
2015-04-29,1.5162038
2015-04-30,1.5162038
2015-05-01,1.5162038
2015-05-02,1.4814814
2015-05-03,1.5046296
2015-05-04,1.5046296
2015-05-05,1.5046296
2015-05-06,1.5046296
2015-05-07,1.5046296
2015-05-08,1.4930556
2015-05-09,1.4699074
2015-05-10,1.4699074
2015-05-11,1.5277778
2015-05-12,1.4930556
2015-05-13,1.5046296
2015-05-14,1.5046296
2015-05-15,1.5046296
2015-05-16,1.5162038
2015-05-17,1.550926
2015-05-18,1.412037
2015-05-19,1.4930556
2015-05-20,1.4814814
2015-05-21,1.4930556
2015-05-22,1.4930556
2015-05-23,1.4583334
2015-05-24,2.0833333
2015-05-25,2.1296296
2015-05-26,2.0717592
2015-05-27,2.0717592
2015-05-28,2.0833333
2015-05-29,2.0601852
2015-05-30,2.0833333
2015-05-31,2.0601852
2015-06-01,2.0601852
2015-06-02,2.0486112
2015-06-03,2.0601852
2015-06-04,2.0717592
2015-06-05,2.0486112
2015-06-06,2.0486112
2015-06-07,1.4930556
2015-06-08,1.5046296
2015-06-09,1.5393518
2015-06-10,1.5046296
2015-06-11,1.5046296
2015-06-12,1.5046296
2015-06-13,1.5162038
2015-06-14,1.5162038
2015-06-15,1.5046296
2015-06-16,1.4930556
2015-06-17,1.5046296
2015-06-18,1.5046296
2015-06-19,1.4814814
2015-06-20,1.4930556
2015-06-21,1.5046296
2015-06-22,1.5277778
2015-06-23,1.5046296
2015-06-24,0
2015-06-25,2.0833333
2015-06-26,2.0949075
2015-06-27,2.0833333
2015-06-28,2.0949075
2015-06-29,2.0833333
2015-06-30,2.0949075
2015-07-01,2.0833333
2015-07-02,2.0833333
2015-07-03,2.0833333
2015-07-04,2.0833333
2015-07-05,2.2337964
2015-07-06,2.0833333
2015-07-07,2.0717592
2015-07-08,2.0717592
2015-07-09,1.5162038
2015-07-10,1.5277778
2015-07-11,1.4814814
2015-07-12,1.1458334
2015-07-13,0.9606481
2015-07-14,0.9375
2015-07-15,0.9490741
2015-07-16,0.9490741
2015-07-17,0.9606481
2015-07-18,0.9490741
2015-07-19,0.9722222
2015-07-20,0.9606481
2015-07-21,0.9722222
2015-07-22,1.5046296
2015-07-23,1.5277778
2015-07-24,1.2037038
2015-07-25,1.4814814
2015-07-26,1.5162038
2015-07-27,1.5625
2015-07-28,1.5393518
2015-07-29,2.0949075
2015-07-30,2.1180556
2015-07-31,2.0833333
2015-08-01,2.164352
2015-08-02,2.0486112
2015-08-03,2.1296296
2015-08-04,1.7476852
2015-08-05,1.5162038
2015-08-06,1.5162038
2015-08-07,1.5277778
2015-08-08,1.5046296
2015-08-09,1.5393518
2015-08-10,1.5277778
2015-08-11,1.5393518
2015-08-12,1.550926
2015-08-13,1.5393518
2015-08-14,1.5625
2015-08-15,1.550926
2015-08-16,2.1180556
2015-08-17,2.1180556
2015-08-18,2.1180556
2015-08-19,2.1064816
2015-08-20,2.1180556
2015-08-21,2.1180556
2015-08-22,2.0949075
2015-08-23,2.1180556
2015-08-24,2.175926
2015-08-25,2.1180556
2015-08-26,2.1180556
2015-08-27,2.1296296
2015-08-28,2.6851852
2015-08-29,2.6620371
2015-08-30,2.6620371
2015-08-31,2.6851852
2015-09-01,2.6851852
2015-09-02,2.1064816
2015-09-03,2.0833333
2015-09-04,1.5162038
2015-09-05,1.5393518
2015-09-06,1.5162038
2015-09-07,1.5393518
2015-09-08,1.5277778
2015-09-09,1.5393518
2015-09-10,1.550926
2015-09-11,1.5162038
2015-09-12,1.5162038
2015-09-13,1.5162038
2015-09-14,1.6087962
2015-09-15,1.5393518
2015-09-16,1.5625
2015-09-17,1.574074
2015-09-18,1.550926
2015-09-19,1.550926
2015-09-20,1.5625
2015-09-21,1.5625
2015-09-22,1.5625
2015-09-23,1.574074
2015-09-24,1.5856482
2015-09-25,1.574074
2015-09-26,1.550926
2015-09-27,1.5393518
2015-09-28,1.550926
2015-09-29,1.8171296
2015-09-30,1.863426
2015-10-01,1.875
2015-10-02,1.863426
2015-10-03,2.6041667
2015-10-04,2.5810184
2015-10-05,2.6620371
2015-10-06,2.5578704
2015-10-07,2.488426
2015-10-08,2.488426
2015-10-09,2.5
2015-10-10,2.488426
2015-10-11,2.488426
2015-10-12,2.488426
2015-10-13,2.511574
2015-10-14,2.511574
2015-10-15,2.523148
2015-10-16,2.488426
2015-10-17,2.4652777
2015-10-18,2.5
2015-10-19,2.5810184
2015-10-20,2.511574
2015-10-21,2.511574
2015-10-22,2.5
2015-10-23,2.523148
2015-10-24,2.4537036
2015-10-25,2.5
2015-10-26,2.5578704
2015-10-27,2.5578704
2015-10-28,2.511574
2015-10-29,3.0787036
2015-10-30,3.0787036
2015-10-31,3.6574075
2015-11-01,3.6689816
2015-11-02,3.0671296
2015-11-03,3.0555556
2015-11-04,1.8981482
2015-11-05,1.9212962
2015-11-06,1.9328704
2015-11-07,0.6365741
2015-11-08,0.6365741
2015-11-09,0.6134259
2015-11-10,1.7824074
2015-11-11,1.2037038
2015-11-12,0.6365741
2015-11-13,1.2152778
2015-11-14,1.7939814
2015-11-15,3.460648
2015-11-16,3.5763888
2015-11-17,3.4837964
2015-11-18,2.2916667
2015-11-19,2.3032408
2015-11-20,2.2800925
2015-11-21,2.2916667
2015-11-22,2.2685184
2015-11-23,2.3495371
2015-11-24,2.3032408
2015-11-25,1.1921296
2015-11-26,1.2037038
2015-11-27,1.2152778
2015-11-28,2.8472223
2015-11-29,2.9861112
2015-11-30,2.9398148
2015-12-01,2.9513888
2015-12-02,3.4837964
2015-12-03,3.4722223
2015-12-04,3.460648
2015-12-05,3.8541667
2015-12-06,4.039352
2015-12-07,4.201389
2015-12-08,4.0625
2015-12-09,4.0740743
2015-12-10,2.8819444
2015-12-11,4.0625
2015-12-12,2.9513888
2015-12-13,2.9282408
2015-12-14,2.9398148
2015-12-15,2.9282408
2015-12-16,3.5069444
2015-12-17,4.0740743
2015-12-18,4.0509257
2015-12-19,4.884259
2015-12-20,5.034722
2015-12-21,5.138889
2015-12-22,3.506944
2015-12-23,2.905092
2015-12-24,2.8125
2015-12-25,2.893518
2015-12-26,2.847222
2015-12-27,2.881944
2015-12-28,2.905092
2015-12-29,2.824074
2015-12-30,4.143518
2015-12-31,4.039352
2016-01-01,3.935185
2016-01-02,4.050926
2016-01-03,3.483796
2016-01-04,3.564815
2016-01-05,3.460648
2016-01-06,3.541667
2016-01-07,4.0625
2016-01-08,3.969908
2016-01-09,3.553241
2016-01-10,3.49537
2016-01-11,3.483796
2016-01-12,3.483796
2016-01-13,3.49537
2016-01-14,3.49537
2016-01-15,2.928241
2016-01-16,2.847222
2016-01-17,2.916667
2016-01-18,2.986111
2016-01-19,2.916667
2016-01-20,3.634259
2016-01-21,4.085648
2016-01-22,4.050926
2016-01-23,4.050926
2016-01-24,4.00463
2016-01-25,4.166666
2016-01-26,2.326389
2016-01-27,2.349537
2016-01-28,2.349537
2016-01-29,1.747685
2016-01-30,1.736111
2016-01-31,1.747685
2016-02-01,1.793981
2016-02-02,1.770833
2016-02-03,1.770833
2016-02-04,1.770833
2016-02-05,1.770833
2016-02-06,2.349537
2016-02-07,2.326389
2016-02-08,2.905092
2016-02-09,3.506944
2016-02-10,3.449074
2016-02-11,3.449074
2016-02-12,3.518518
2016-02-13,3.506944
2016-02-14,3.472222
2016-02-15,3.611111
2016-02-16,2.916667
2016-02-17,2.893518
2016-02-18,2.893518
2016-02-19,2.928241
2016-02-20,2.87037
2016-02-21,2.916667
2016-02-22,2.893518
2016-02-23,2.893518
2016-02-24,2.916667
2016-02-25,2.893518
2016-02-26,2.881944
2016-02-27,2.905092
2016-02-28,2.986111
2016-02-29,2.847222
2016-03-01,2.916667
2016-03-02,3.472222
2016-03-03,3.518518
2016-03-04,1.5625
2016-03-05,3.553241
2016-03-06,4.050926
2016-03-07,4.016204
2016-03-08,4.027778
2016-03-09,3.506944
2016-03-10,2.962963
2016-03-11,2.939815
2016-03-12,2.291667
2016-03-13,2.337963
2016-03-14,2.349537
2016-03-15,2.361111
2016-03-16,2.337963
2016-03-17,2.349537
2016-03-18,2.349537
2016-03-19,2.291667
2016-03-20,2.372685
2016-03-21,1.111111
2016-03-22,2.314815
2016-03-23,0
2016-03-24,2.326389
2016-03-25,2.916667
2016-03-26,2.87037
2016-03-27,2.928241
2016-03-28,2.361111
2016-03-29,2.407408
2016-03-30,1.145833
2016-03-31,2.314815
2016-04-01,2.314815
2016-04-02,2.962963
2016-04-03,3.020833
2016-04-04,2.916667
2016-04-05,3.530092
2016-04-06,3.472222
2016-04-07,3.460648
2016-04-08,3.460648
2016-04-09,3.414352
2016-04-10,2.361111
2016-04-11,2.141204
2016-04-12,1.770833
2016-04-13,1.782407
2016-04-14,2.395833
2016-04-15,2.337963
2016-04-16,2.962963
2016-04-17,2.928241
2016-04-18,2.962963
2016-04-19,3.530092
2016-04-20,4.039352
2016-04-21,4.027778
2016-04-22,4.050926
2016-04-23,2.893518
2016-04-24,3.020833
2016-04-25,2.824074
2016-04-26,3.009259
2016-04-27,3.009259
2016-04-28,3.009259
2016-04-29,2.951389
