season,quantile,tas,pr,wind
winter,0.05,-4.833878952884159,1.039551231449308,2.806733753990885
winter,0.33,-1.487420985440043,2.353131277498665,3.164222591534804
winter,0.67,0.11494234448827999,2.8901043482186104,3.6190290658222413
winter,0.95,1.372469451745094,4.3456628334900005,4.017648817421749
spring,0.05,-1.3587709692684355,0.9502607076844385,2.6257639579204177
spring,0.33,0.33673381893800847,1.736816638751054,2.9444073086795504
spring,0.67,2.0998601398832712,2.378150050303713,3.228665488959672
spring,0.95,3.446889958983021,3.2290932629652374,3.931997908871068
early_summer,0.05,12.503530142945682,1.6049489856555499,2.2640063052776256
early_summer,0.33,13.480365932978643,1.9651185562779834,2.6490715178175632
early_summer,0.67,14.14754167395022,2.555495750778119,2.772651781969067
early_summer,0.95,15.254818455307692,3.4235186022978827,2.962956887152149
late_summer,0.05,9.6169054105729,2.257071554063205,2.570698879875274
late_summer,0.33,10.94415829303803,2.7417571893747077,2.9321309328539336
late_summer,0.67,11.865396730418613,3.472448052245853,3.1682952968921647
late_summer,0.95,12.394687154417642,4.153098306092898,3.527739767112614
