Date,Pptn,Temp,Wind_speed,PET,Q,TP_catch,chl-a_lake,TP_lake,colour_lake,CyanoBiovol,Rain_day,Pptn_intense,Wind_under_Q0.2,Wind_under_Q0.4,Wind_over_Q0.6,Wind_over_Q0.8,Temp_subzero,Season,Pptn_lag1,Temp_lag1,Wind_speed_lag1,PET_lag1,Q_lag1,Rain_day_lag1,Pptn_intense_lag1,Wind_under_Q0.2_lag1,Wind_under_Q0.4_lag1,Wind_over_Q0.6_lag1,Wind_over_Q0.8_lag1,TP_lake_prevSummer,colour_lake_prevSummer,chl-a_lake_prevSummer,Temp_prevSummer,CyanoBiovol_prevSummer
1983-04-30,433.2176994231247,1.1933278040985316,2.762169907075638,60.945000081,124.07178240000002,,1.9,38.0,34.0,,66.0,14.0,42.0,75.0,82.0,47.0,62.0,wint,557.4527044053053,13.058739992360316,2.6844040579169506,523.4133245720001,39.51512639999999,77.0,21.0,29.0,66.0,76.0,39.0,26.988095237142858,26.666666666666668,5.974999999999999,13.058739992360316,
1983-10-31,466.4650264776756,13.247097545534007,2.7286899370964615,524.3061095990001,47.97783360000001,,6.05,29.781250000000004,17.625,,66.0,13.0,28.0,75.0,77.0,40.0,0.0,summ,433.2176994231247,1.1933278040985316,2.762169907075638,60.945000081,124.07178240000002,66.0,14.0,42.0,75.0,82.0,47.0,26.988095237142858,26.666666666666668,5.974999999999999,13.058739992360316,
1984-04-30,297.5305176168465,-0.4325447845218224,2.9401446158627578,46.183876075000015,73.56631679999998,87.88235294117646,,26.25,28.0,,59.0,6.0,26.0,62.0,89.0,50.0,95.0,wint,466.4650264776756,13.247097545534007,2.7286899370964615,524.3061095990001,47.97783360000001,66.0,13.0,28.0,75.0,77.0,40.0,29.781250000000004,17.625,6.05,13.247097545534007,
1984-10-31,594.0057482319194,13.231028778595748,2.4032123535777483,525.907513579,51.51090239999998,137.6642857142857,11.61111111111111,27.158333333333335,,,74.0,19.0,36.0,82.0,65.0,20.0,0.0,summ,297.5305176168465,-0.4325447845218224,2.9401446158627578,46.183876075000015,73.56631679999998,59.0,6.0,26.0,62.0,89.0,50.0,29.781250000000004,17.625,6.05,13.247097545534007,
1985-04-30,434.80016419839444,-2.2603962301316,2.486445981023376,40.35311993499999,106.74581759999998,172.79999999999998,6.4,20.85,,,66.0,11.0,42.0,80.0,72.0,31.0,95.0,wint,594.0057482319194,13.231028778595748,2.4032123535777483,525.907513579,51.51090239999998,74.0,19.0,36.0,82.0,65.0,20.0,27.158333333333335,,11.61111111111111,13.231028778595748,
1985-10-31,533.8978724539653,12.506049166676966,2.398986898558491,507.7582794560002,95.43052800000002,107.29411764705883,11.895238094714287,30.957142858571427,34.404761904285714,,76.0,15.0,55.0,83.0,60.0,30.0,0.0,summ,434.80016419839444,-2.2603962301316,2.486445981023376,40.35311993499999,106.74581759999998,66.0,11.0,42.0,80.0,72.0,31.0,27.158333333333335,,11.61111111111111,13.231028778595748,
1986-04-30,378.9350093506568,-3.638453182050174,2.6711544881202314,28.433074550000004,27.737337599999996,236.07333333333332,,,,,66.0,11.0,25.0,67.0,70.0,37.0,109.0,wint,533.8978724539653,12.506049166676966,2.398986898558491,507.7582794560002,95.43052800000002,76.0,15.0,55.0,83.0,60.0,30.0,30.957142858571427,34.404761904285714,11.895238094714287,12.506049166676966,
1986-10-31,451.91925621821116,12.284043856724567,2.739544119075839,503.504316194,,106.97142857142856,12.677777776666666,33.78888889,27.472222223333333,,71.0,14.0,30.0,69.0,79.0,40.0,0.0,summ,378.9350093506568,-3.638453182050174,2.6711544881202314,28.433074550000004,27.737337599999996,66.0,11.0,25.0,67.0,70.0,37.0,30.957142858571427,34.404761904285714,11.895238094714287,12.506049166676966,
1987-04-30,404.07806410531634,-2.609469662946104,2.726546679477021,57.20747432100003,,106.33333333333331,,,,,58.0,16.0,33.0,66.0,74.0,41.0,100.0,wint,451.91925621821116,12.284043856724567,2.739544119075839,503.504316194,,71.0,14.0,30.0,69.0,79.0,40.0,33.78888889,27.472222223333333,12.677777776666666,12.284043856724567,
1987-10-31,653.416719693524,11.633136844661275,2.612712232359059,487.42528928899947,,112.41923076923078,8.511111111166667,23.433333333333334,29.02777777833333,,90.0,15.0,34.0,67.0,68.0,32.0,0.0,summ,404.07806410531634,-2.609469662946104,2.726546679477021,57.20747432100003,,58.0,16.0,33.0,66.0,74.0,41.0,33.78888889,27.472222223333333,12.677777776666666,12.284043856724567,
