season,par,terc,roc,sig
winter,uas,Below normal,0.35,False
winter,uas,Near normal,0.6,True
winter,uas,Above normal,-0.12,False
winter,vas,Below normal,-0.02,False
winter,vas,Near normal,0.06,False
winter,vas,Above normal,-0.06,False
winter,tas,Below normal,0.45,False
winter,tas,Near normal,0.22,False
winter,tas,Above normal,0.27,False
winter,tp,Below normal,0.05,False
winter,tp,Near normal,0.14,False
winter,tp,Above normal,0.15,False
spring,uas,Below normal,-0.09,False
spring,uas,Near normal,-0.15,False
spring,uas,Above normal,0.01,False
spring,vas,Below normal,0.27,False
spring,vas,Near normal,0.19,False
spring,vas,Above normal,0.13,False
spring,tas,Below normal,0.25,False
spring,tas,Near normal,0.24,False
spring,tas,Above normal,0.41,False
spring,tp,Below normal,0.01,False
spring,tp,Near normal,0.07,False
spring,tp,Above normal,-0.12,False
early_summer,uas,Below normal,-0.28,False
early_summer,uas,Near normal,-0.39,False
early_summer,uas,Above normal,0.16,False
early_summer,vas,Below normal,0.06,False
early_summer,vas,Near normal,-0.05,False
early_summer,vas,Above normal,-0.07,False
early_summer,tas,Below normal,0.24,False
early_summer,tas,Near normal,0.23,False
early_summer,tas,Above normal,-0.22,False
early_summer,tp,Below normal,-0.33,False
early_summer,tp,Near normal,-0.54,False
early_summer,tp,Above normal,-0.34,False
late_summer,uas,Below normal,-0.04,False
late_summer,uas,Near normal,0.32,False
late_summer,uas,Above normal,-0.11,False
late_summer,vas,Below normal,-0.01,False
late_summer,vas,Near normal,0.16,False
late_summer,vas,Above normal,-0.01,False
late_summer,tas,Below normal,-0.04,False
late_summer,tas,Near normal,0.27,False
late_summer,tas,Above normal,-0.4,False
late_summer,tp,Below normal,-0.44,False
late_summer,tp,Near normal,0.15,False
late_summer,tp,Above normal,-0.09,False
