year,cyano,chla,colour,colour_prevSummer,rain
1996,4.8,21.3,17.666666666666668,25.833333333333332,459.88040242121775
1997,2.82,23.066666666666666,19.0,17.666666666666668,434.06466311806616
1998,2.28,21.099999999999998,34.71153846153846,19.0,531.4233936926786
1999,5.96,21.633333333333333,50.42307692307692,34.71153846153846,532.7890649178661
2000,4.67,22.166666666666668,42.56,50.42307692307692,610.7659853117253
2001,0.58,21.03333333333333,68.70370370370371,42.56,470.42652397752124
2002,0.982,25.5,54.57692307692308,68.70370370370371,509.90273192630013
2003,1.291,16.821428571428573,42.875,54.57692307692308,481.39102778518054
2004,5.26,25.599999999999998,38.666666666666664,42.875,529.1307245373021
2005,3.0625999999999998,20.2,46.5,38.666666666666664,456.1052773493404
2006,4.5602,29.15416666666667,48.333333333333336,46.5,558.2892704394657
2007,3.588,17.944000000000003,65.71428571428571,48.333333333333336,586.6460768859316
2008,0.739,15.887500000000003,69.0,65.71428571428571,437.44737511858136
2009,1.586,16.343478260869567,58.285714285714285,69.0,510.4845312851325
2010,0.224,11.695652173913041,61.714285714285715,58.285714285714285,571.5281016948574
2011,0.079,12.188000000000002,72.23076923076923,61.714285714285715,722.8304752045906
2012,0.211,13.52083333333333,64.0,72.23076923076923,628.2122391193773
2013,0.534,14.13846153846154,60.22307692307693,64.0,514.0362266206557
2014,0.283,12.6,41.86363636363637,60.22307692307693,587.1069061141897
2015,0.233,14.924999999999997,52.833333333333336,41.86363636363637,637.2366718591518
2016,0.166,9.590909090909092,52.0,52.833333333333336,425.7032482829829
2017,0.258,12.866666666666665,42.0,52.0,563.5581294265962
2018,0.614,10.741666666666667,36.333333333333336,42.0,336.6991495192346
2019,0.592,14.983333333333334,47.0,36.333333333333336,692.5498762302741
