2014-08-01 00:00:00	33 2
-0.1	10.188
-0.2	10.195
-0.3	10.193
-0.4	10.195
-0.5	10.197
-0.6	10.195
-0.8	10.193
-1	10.191
-2	10.17
-2.5	10.206
-3	10.177
-3.5	10.207
-4	10.188
-4.5	10.197
-5	10.207
-6	10.177
-7	10.212
-8	10.213
-9	10.212
-10	10.194
-11.5	10.192
-14	10.188
-16.5	10.186
-19	10.158
-21.5	10.162
-24	10.153
-26.5	10.153
-27.5	10.145
-28.5	10.132
-29.5	10.107
-30.5	10.092
-31.5	10.085
-32.5	10.078
