43 2
0.0	23800000
-0.5	22700000
-1.5	20400000
-2.5	18200000
-3.5	16100000
-4.5	14200000
-5.5	12900000
-6.5	11600000
-7.5	10500000
-8.5	9430000
-9.5	8430000
-10.5	7480000
-11.5	6790000
-12.5	6030000
-13.5	5340000
-14.5	4750000
-15.5	4160000
-16.5	3630000
-17.5	3220000
-18.5	2840000
-19.5	2460000
-20.5	2170000
-21.5	1900000
-22.5	1650000
-23.5	1480000
-24.5	1270000
-25.5	1110000
-26.5	958000
-27.5	818000
-28.5	685000
-29.5	573000
-30.5	475000
-31.5	405000
-32.5	328000
-33.5	268000
-34.5	203000
-35.5	150000
-36.5	103000
-37.5	67500
-38.5	27500
-39.5	17500
-40.5	2500
-41.0	0
