datetime,Depth_meter,Water_Temperature_celsius
2013-11-06 00:00:00,0,19.36
2013-11-06 00:00:00,1,19.24
2013-11-06 00:00:00,2,18.41
2013-11-06 00:00:00,3,18.17
2013-11-06 00:00:00,4,17.88
2013-11-06 00:00:00,5,17.53
2013-11-06 00:00:00,6,17.16
2013-11-06 00:00:00,7,16.18
2013-11-06 00:00:00,8,15.41
2013-11-06 00:00:00,9,15.13
2013-11-06 00:00:00,10,14.46
2013-11-06 00:00:00,13,13.46
2013-11-06 00:00:00,15,12.94
2013-11-06 00:00:00,18,12.63
2013-11-06 00:00:00,20,12.38
2013-11-06 00:00:00,23,12.19
2013-11-06 00:00:00,25,12.05
2013-11-06 00:00:00,26,12.01
2013-11-06 00:00:00,27,11.97
2013-11-06 00:00:00,28,11.94
2013-11-06 00:00:00,29,11.92
2013-11-06 00:00:00,30,11.9
2013-11-06 00:00:00,31,11.88
2013-11-07 00:00:00,0,19.38
2013-11-07 00:00:00,1,19.14
2013-11-07 00:00:00,2,18.48
2013-11-07 00:00:00,3,18.25
2013-11-07 00:00:00,4,17.84
2013-11-07 00:00:00,5,17.37
2013-11-07 00:00:00,6,16.6
2013-11-07 00:00:00,7,15.95
2013-11-07 00:00:00,8,15.49
2013-11-07 00:00:00,9,15.19
2013-11-07 00:00:00,10,14.57
2013-11-07 00:00:00,13,13.51
2013-11-07 00:00:00,15,13.01
2013-11-07 00:00:00,18,12.68
2013-11-07 00:00:00,20,12.4
2013-11-07 00:00:00,23,12.21
2013-11-07 00:00:00,25,12.08
2013-11-07 00:00:00,26,12.05
2013-11-07 00:00:00,27,12.01
2013-11-07 00:00:00,28,11.97
2013-11-07 00:00:00,29,11.95
2013-11-07 00:00:00,30,11.91
2013-11-07 00:00:00,31,11.89
2013-11-08 00:00:00,0,18.68
2013-11-08 00:00:00,1,18.68
2013-11-08 00:00:00,2,18.68
2013-11-08 00:00:00,3,18.66
2013-11-08 00:00:00,4,18.64
2013-11-08 00:00:00,5,18.23
2013-11-08 00:00:00,6,16.7
2013-11-08 00:00:00,7,15.88
2013-11-08 00:00:00,8,15.46
2013-11-08 00:00:00,9,15.08
2013-11-08 00:00:00,10,14.54
2013-11-08 00:00:00,13,13.53
2013-11-08 00:00:00,15,13.04
2013-11-08 00:00:00,18,12.68
2013-11-08 00:00:00,20,12.43
2013-11-08 00:00:00,23,12.24
2013-11-08 00:00:00,25,12.11
2013-11-08 00:00:00,26,12.06
2013-11-08 00:00:00,27,12.02
2013-11-08 00:00:00,28,11.99
2013-11-08 00:00:00,29,11.97
2013-11-08 00:00:00,30,11.93
2013-11-08 00:00:00,31,11.91
2013-11-09 00:00:00,0,18.4
2013-11-09 00:00:00,1,18.38
2013-11-09 00:00:00,2,18.34
2013-11-09 00:00:00,3,18.32
2013-11-09 00:00:00,4,17.56
2013-11-09 00:00:00,5,16.7
2013-11-09 00:00:00,6,16.3
2013-11-09 00:00:00,7,15.8
2013-11-09 00:00:00,8,15.52
2013-11-09 00:00:00,9,15.22
2013-11-09 00:00:00,10,14.67
2013-11-09 00:00:00,13,13.54
2013-11-09 00:00:00,15,13.03
2013-11-09 00:00:00,18,12.7
2013-11-09 00:00:00,20,12.45
2013-11-09 00:00:00,23,12.26
2013-11-09 00:00:00,25,12.13
2013-11-09 00:00:00,26,12.1
2013-11-09 00:00:00,27,12.06
2013-11-09 00:00:00,28,12.02
2013-11-09 00:00:00,29,11.99
2013-11-09 00:00:00,30,11.96
2013-11-09 00:00:00,31,11.94
2013-11-10 00:00:00,0,18.47
2013-11-10 00:00:00,1,18.44
2013-11-10 00:00:00,2,18.33
2013-11-10 00:00:00,3,18.2
2013-11-10 00:00:00,4,17.68
2013-11-10 00:00:00,5,17.13
2013-11-10 00:00:00,6,16.58
2013-11-10 00:00:00,7,16.17
2013-11-10 00:00:00,8,15.7
2013-11-10 00:00:00,9,15.32
2013-11-10 00:00:00,10,14.67
2013-11-10 00:00:00,13,13.59
2013-11-10 00:00:00,15,13.07
2013-11-10 00:00:00,18,12.72
2013-11-10 00:00:00,20,12.48
2013-11-10 00:00:00,23,12.29
2013-11-10 00:00:00,25,12.15
2013-11-10 00:00:00,26,12.12
2013-11-10 00:00:00,27,12.09
2013-11-10 00:00:00,28,12.06
2013-11-10 00:00:00,29,12.04
2013-11-10 00:00:00,30,12
2013-11-10 00:00:00,31,11.98
2013-11-11 00:00:00,0,18.13
2013-11-11 00:00:00,1,18.1
2013-11-11 00:00:00,2,18
2013-11-11 00:00:00,3,17.95
2013-11-11 00:00:00,4,17.88
2013-11-11 00:00:00,5,17.78
2013-11-11 00:00:00,6,17.46
2013-11-11 00:00:00,7,16.57
2013-11-11 00:00:00,8,15.77
2013-11-11 00:00:00,9,15.32
2013-11-11 00:00:00,10,14.64
2013-11-11 00:00:00,13,13.61
2013-11-11 00:00:00,15,13.11
2013-11-11 00:00:00,18,12.74
2013-11-11 00:00:00,20,12.5
2013-11-11 00:00:00,23,12.31
2013-11-11 00:00:00,25,12.19
2013-11-11 00:00:00,26,12.15
2013-11-11 00:00:00,27,12.1
2013-11-11 00:00:00,28,12.06
2013-11-11 00:00:00,29,12.05
2013-11-11 00:00:00,30,12.02
2013-11-11 00:00:00,31,12
2013-11-12 00:00:00,0,18.14
2013-11-12 00:00:00,1,18.11
2013-11-12 00:00:00,2,18.06
2013-11-12 00:00:00,3,18.02
2013-11-12 00:00:00,4,17.9
2013-11-12 00:00:00,5,17.74
2013-11-12 00:00:00,6,17.58
