datetime,Depth_meter,Water_Temperature_celsius
2005-08-01 00:00:00,0,11.4
2005-08-01 00:00:00,-5,10.9
2005-08-01 00:00:00,-10,10.6
2005-08-01 00:00:00,-15,10.2
2005-08-01 00:00:00,-19,9.9
2005-09-29 00:00:00,0,14
2005-09-29 00:00:00,-10,12
2005-09-29 00:00:00,-15,12
2005-09-29 00:00:00,-20,11
2005-09-29 00:00:00,-25,11
2005-10-07 00:00:00,0,17
2005-10-07 00:00:00,-5,17
2005-10-07 00:00:00,-10,13
2005-10-07 00:00:00,-15,13
2005-10-07 00:00:00,-20,12
2005-10-07 00:00:00,-25,12
2005-10-07 00:00:00,-30,12
2005-10-27 00:00:00,0,15
2005-10-27 00:00:00,-5,15
2005-10-27 00:00:00,-10,15
2005-10-27 00:00:00,-15,14
2005-10-27 00:00:00,-20,14
2005-10-27 00:00:00,-25,13
2005-10-27 00:00:00,-30,13
2005-11-24 00:00:00,0,21
2005-11-24 00:00:00,-5,19
2005-11-24 00:00:00,-10,16
2005-11-24 00:00:00,-15,16
2005-11-24 00:00:00,-20,15
2005-11-24 00:00:00,-25,14
2005-11-24 00:00:00,-30,14
2005-12-01 00:00:00,0,20
2005-12-01 00:00:00,-10,15
2005-12-01 00:00:00,-20,14
2005-12-01 00:00:00,-30,13
2005-12-08 00:00:00,0,17.7
2005-12-08 00:00:00,-5,17
2005-12-08 00:00:00,-10,17
2005-12-08 00:00:00,-15,16
2005-12-08 00:00:00,-20,15.2
2005-12-08 00:00:00,-25,14.1
2005-12-08 00:00:00,-30,14.1
2005-12-15 00:00:00,0,19.6
2005-12-15 00:00:00,-5,19.6
2005-12-15 00:00:00,-10,17.3
2005-12-15 00:00:00,-15,15.6
2005-12-15 00:00:00,-20,15.1
2005-12-15 00:00:00,-25,14.7
2005-12-15 00:00:00,-30,14.4
2005-12-22 00:00:00,0,21
2005-12-22 00:00:00,-5,20.3
2005-12-22 00:00:00,-10,18.3
2005-12-22 00:00:00,-15,15.9
2005-12-22 00:00:00,-20,15.4
2005-12-22 00:00:00,-25,14.9
2005-12-22 00:00:00,-30,14.6
2006-01-19 00:00:00,0,25
2006-01-19 00:00:00,-5,20
2006-01-19 00:00:00,-10,18.4
2006-01-19 00:00:00,-15,17.5
2006-01-19 00:00:00,-25,15.8
2006-01-19 00:00:00,-30,15.6
2006-01-27 00:00:00,-1,24
2006-01-27 00:00:00,-5,23
2006-01-27 00:00:00,-10,19
2006-01-27 00:00:00,-15,18
2006-01-27 00:00:00,-20,17
2006-01-27 00:00:00,-25,16
2006-01-27 00:00:00,-30,16
2006-01-27 00:00:00,-35,16
2006-02-02 00:00:00,-1,22
2006-02-02 00:00:00,-5,22
2006-02-02 00:00:00,-10,19
2006-02-02 00:00:00,-15,18
2006-02-02 00:00:00,-20,17.4
2006-02-02 00:00:00,-25,17
2006-02-02 00:00:00,-30,16.8
2006-02-09 00:00:00,-1,20.9
2006-02-09 00:00:00,-5,20.8
2006-02-09 00:00:00,-10,19.3
2006-02-09 00:00:00,-15,18.1
2006-02-09 00:00:00,-20,17.6
2006-02-09 00:00:00,-25,17.25
2006-02-09 00:00:00,-30,17.1
2006-02-16 00:00:00,0,23
2006-02-16 00:00:00,-10,20
2006-02-16 00:00:00,-20,18
2006-02-16 00:00:00,-30,17
2006-03-02 00:00:00,0,21.7
2006-03-02 00:00:00,-5,21.6
2006-03-02 00:00:00,-10,20.3
2006-03-02 00:00:00,-15,19.4
2006-03-02 00:00:00,-20,18.4
2006-03-02 00:00:00,-25,18.1
2006-03-09 00:00:00,0,22
2006-03-09 00:00:00,-5,21
2006-03-09 00:00:00,-10,21
2006-03-09 00:00:00,-15,20
2006-03-09 00:00:00,-20,19
2006-03-09 00:00:00,-25,18
2006-03-16 00:00:00,0,21
2006-03-16 00:00:00,-10,20
2006-03-16 00:00:00,-20,20
2006-03-16 00:00:00,-27,19
2006-10-06 00:00:00,-0.25,16.6461553571429
2006-10-06 00:00:00,-0.5,16.1888767857143
2006-10-06 00:00:00,-1,15.5395285714286
2006-10-06 00:00:00,-1.5,15.2355357142857
2006-10-06 00:00:00,-2,15.132
2006-10-06 00:00:00,-2.5,15.0875214285714
2006-10-06 00:00:00,-3,15.0476660714286
2006-10-06 00:00:00,-3.5,14.9981535714286
2006-10-06 00:00:00,-4,14.9618982142857
2006-10-06 00:00:00,-4.5,14.93595
2006-10-06 00:00:00,-5,14.9076035714286
2006-10-06 00:00:00,-6,14.7674678571429
2006-10-06 00:00:00,-7,14.5299017857143
2006-10-06 00:00:00,-8,14.3601107142857
2006-10-06 00:00:00,-9,14.0893767857143
2006-10-06 00:00:00,-10,13.9452964285714
2006-10-06 00:00:00,-11,13.6959053571429
2006-10-06 00:00:00,-12,13.4706660714286
2006-10-06 00:00:00,-14,13.2092714285714
2006-10-06 00:00:00,-16,13.08475
2006-10-06 00:00:00,-18,12.9978017857143
2006-10-06 00:00:00,-20,12.9500214285714
2006-10-06 00:00:00,-22,12.9090910714286
2006-10-06 00:00:00,-24,12.8693357142857
2006-10-06 00:00:00,-26,12.8395678571429
2006-10-06 00:00:00,-28,12.7845910714286
2006-10-06 00:00:00,-30,12.674875
2006-10-06 00:00:00,-32,12.6931232142857
2006-10-06 00:00:00,-34,12.6982196428571
2006-10-06 00:00:00,-36,12.6980928571429
2006-10-07 00:00:00,-0.25,15.2924916666667
2006-10-07 00:00:00,-0.5,15.2855395833333
2006-10-07 00:00:00,-1,15.2142569444444
2006-10-07 00:00:00,-1.5,15.1060097222222
2006-10-07 00:00:00,-2,15.00224375
2006-10-07 00:00:00,-2.5,14.966425
2006-10-07 00:00:00,-3,14.9321013888889
2006-10-07 00:00:00,-3.5,14.9034152777778
2006-10-07 00:00:00,-4,14.8763673611111
2006-10-07 00:00:00,-4.5,14.8558229166667
2006-10-07 00:00:00,-5,14.8391520833333
2006-10-07 00:00:00,-6,14.7711409722222
2006-10-07 00:00:00,-7,14.64136875
2006-10-07 00:00:00,-8,14.4632326388889
2006-10-07 00:00:00,-9,14.2728638888889
2006-10-07 00:00:00,-10,14.0470555555556
2006-10-07 00:00:00,-11,13.8176625
2006-10-07 00:00:00,-12,13.6317958333333
2006-10-07 00:00:00,-14,13.3191979166667
2006-10-07 00:00:00,-16,13.1242194444444
2006-10-07 00:00:00,-18,13.0344458333333
2006-10-07 00:00:00,-20,12.9862131944444
2006-10-07 00:00:00,-22,12.9417625
2006-10-07 00:00:00,-24,12.9026340277778
2006-10-07 00:00:00,-26,12.8628631944444
2006-10-07 00:00:00,-28,12.8038965277778
2006-10-07 00:00:00,-30,12.6699569444444
2006-10-07 00:00:00,-32,12.7063027777778
2006-10-07 00:00:00,-34,12.7125645833333
2006-10-07 00:00:00,-36,12.71533125
2006-10-08 00:00:00,-0.25,15.3862173611111
2006-10-08 00:00:00,-0.5,15.3750958333333
2006-10-08 00:00:00,-1,15.3260888888889
2006-10-08 00:00:00,-1.5,15.3055229166667
2006-10-08 00:00:00,-2,15.2873611111111
2006-10-08 00:00:00,-2.5,15.2746236111111
2006-10-08 00:00:00,-3,15.26055625
2006-10-08 00:00:00,-3.5,15.2438847222222
