"","score","sd","sig"
"uas",0.0181322254335262,0.00730242580689792,FALSE
"vas",0.00916184971098277,0.00815505052568955,FALSE
"dp",0.0269039017341042,0.00883151403141431,FALSE
"tas",0.041098265895954,0.00993634881583098,FALSE
"cc",-0.0159934971098263,0.0074559210887682,FALSE
"pr",-0.323547687861272,0.0218697756891991,FALSE
"rsds",0.292492774566474,0.0164706306777608,FALSE
"rlds",0.00184971098265918,0.00797522082986553,FALSE
"pet",-0.86789739884393,0.0204067981401565,FALSE
"ps",0.0101047687861273,0.00699690659725209,FALSE
"tasmin",0.0262644508670521,0.00920733743442069,FALSE
"tasmax",0.0292341040462428,0.0094149376205098,FALSE
"Q",0.0138403179190753,0.0130948538998606,FALSE
"temp5",0.116238819320215,0.027068425573822,FALSE
"temp50",-0.395818425760286,0.0351066929628412,FALSE
