basin,season,variable,frpss,sd,sig
store,winter,streamflow,0.00943522747891656,0.00814025174415792,FALSE
store,spring,streamflow,0.0896938241074434,0.0114678757959565,FALSE
store,summer,streamflow,-0.104019267725889,0.0111067540788776,FALSE
store,autumn,streamflow,0.101185710666763,0.0122212446643872,FALSE
vanem,winter,0m,0.0757747611968022,0.0102189139075997,FALSE
vanem,winter,6m,0.0711621964802212,0.0098814469662096,FALSE
vanem,winter,15m,0.0993839060378713,0.0105551122226574,FALSE
vanem,spring,0m,0.663696488079979,0.0139800454859675,TRUE
vanem,spring,6m,0.699078198484384,0.0141249139747348,TRUE
vanem,spring,15m,0.737434383340622,0.0124885345542894,TRUE
vanem,summer,0m,0.188191826128042,0.020960459067387,FALSE
vanem,summer,6m,0.286069407375015,0.0167031536847348,FALSE
vanem,summer,15m,0.133729517988516,0.0154511571214528,FALSE
vanem,autumn,0m,0.73613682205174,0.01178942763419,TRUE
vanem,autumn,6m,0.73353233166617,0.0118565613838207,TRUE
vanem,autumn,15m,0.735291347868804,0.0118324717918913,TRUE
