year,rain,wind_speed,colour_prevSummer,TP_prevSummer,chla_prevSummer
1981,513.9391218179625,2.5161223950686216,26.66666666666667,43.57301587333334,16.080129870272728
1982,513.9391218179625,2.5161223950686216,26.66666666666667,28.833333335,8.33125
1983,513.9391218179625,2.5161223950686216,26.66666666666667,26.988095237142854,5.974999999999999
1984,513.9391218179625,2.5161223950686216,17.625,29.781250000000004,6.05
1985,513.9391218179625,2.5161223950686216,26.014880952142857,26.527500000000003,11.09
1986,513.9391218179625,2.5161223950686216,34.404761904285714,30.95714285857143,11.895238094714287
1987,513.9391218179625,2.5161223950686216,27.47222222333333,33.78888889,12.677777776666666
1988,513.9391218179625,2.5161223950686216,29.02777777833333,23.43333333333333,8.511111111166668
1989,513.9391218179625,2.5161223950686216,32.27777777666667,29.53333333333333,14.055555556666668
1990,513.9391218179625,2.5161223950686216,23.857142857142854,27.057142857142853,14.271428571428574
1991,513.9391218179625,2.5161223950686216,19.857142857142858,28.90000000000001,12.242857142857142
1992,513.9391218179625,2.5161223950686216,20.625,27.225,9.425
1993,513.9391218179625,2.5161223950686216,21.285714285714285,31.342857142857145,16.757142857142856
1994,513.9391218179625,2.5161223950686216,24.42857142857143,27.3,12.614285714285714
1995,513.9391218179625,2.5161223950686216,27.714285714285715,30.442857142857147,18.257142857142856
1996,513.9391218179625,2.5161223950686216,25.83333333333333,29.45,21.883333333333336
1997,513.9391218179625,2.5161223950686216,17.666666666666668,31.28333333333333,21.3
1998,513.9391218179625,2.5161223950686216,19.0,29.41666666666667,23.066666666666666
1999,513.9391218179625,2.5161223950686216,34.71153846153847,32.36666666666667,21.1
2000,513.9391218179625,2.5161223950686216,50.42307692307693,32.516666666666666,21.633333333333336
2001,513.9391218179625,2.5161223950686216,42.56,32.666666666666664,22.16666666666667
2002,513.9391218179625,2.5161223950686216,68.42307692307692,38.333333333333336,21.033333333333328
2003,513.9391218179625,2.5161223950686216,54.57692307692307,36.66666666666666,25.5
2004,513.9391218179625,2.5161223950686216,42.875,33.57142857142857,16.821428571428573
2005,513.9391218179625,2.5161223950686216,38.66666666666666,36.833333333333336,25.6
2006,513.9391218179625,2.5161223950686216,46.5,32.01086956521739,20.2
2007,513.9391218179625,2.5161223950686216,48.33333333333334,34.5,29.15416666666667
2008,513.9391218179625,2.5161223950686216,64.66666666666667,32.16,17.944000000000006
2009,513.9391218179625,2.5161223950686216,69.0,32.75,15.887500000000005
2010,513.9391218179625,2.5161223950686216,58.28571428571429,28.956521739130434,16.343478260869567
2011,513.9391218179625,2.5161223950686216,61.714285714285715,26.347826086956523,11.69565217391304
2012,513.9391218179625,2.5161223950686216,72.8888888888889,26.56,12.188000000000002
2013,513.9391218179625,2.5161223950686216,64.15384615384616,26.39130434782609,13.8
2014,513.9391218179625,2.5161223950686216,60.223076923076924,22.99230769230769,14.13846153846154
2015,513.9391218179625,2.5161223950686216,41.86363636363637,20.3,12.6
2016,513.9391218179625,2.5161223950686216,52.83333333333334,24.25,14.924999999999995
2017,513.9391218179625,2.5161223950686216,52.0,18.75,9.590909090909092
2018,513.9391218179625,2.5161223950686216,42.0,19.666666666666668,12.866666666666665
2019,513.9391218179625,2.5161223950686216,36.333333333333336,18.666666666666668,10.741666666666667
