skillscore,skillscore.sd,var,sig
-0.00164062499999984,0.00759776530447108,uas,FALSE
0.000468750000000018,0.00737657788502833,vas,FALSE
-0.0103023097826085,0.00795681929429746,psl,FALSE
0.0187126358695654,0.010995445531362,tas,FALSE
-0.190743885869565,0.0158553470467014,tp,FALSE
0.0187839673913044,0.00939410867065373,tdps,FALSE
-0.639334239130435,0.0276139634417782,cc,FALSE
-0.0153260869565215,0.00770678561395285,wss,FALSE
0.333250679347826,0.0125481573174542,petH,FALSE
0.277775135869565,0.0147844890587097,rsds,FALSE
0.0171671195652177,0.00898486936341616,rlds,FALSE
0.0109171195652173,0.0134956246865673,ech_q,FALSE
-0.0169327445652174,0.00945423623043802,onk_q,FALSE
0.407319972826087,0.0154919839278656,surftemp,FALSE
0.494065896739131,0.0149981527195661,bottemp,FALSE
-0.486246603260869,0.0308777981001668,wlev,FALSE
