var,model,pearsons_cc,spearman_cc,mae,rmse,bias,mape,mathews_cc,roc_auc_score,classification_error
TP,sim_era5_av,1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000
TP,s5_0.5_summer,1.000,1.000,0.007,0.038,-0.007,-0.027,1.000,1.000,0.000
TP,s5_0.5_late_summer,1.000,1.000,0.007,0.038,-0.007,-0.027,1.000,1.000,0.000
chla,sim_era5_av,0.966,0.963,0.826,1.013,-0.137,-0.021,1.000,1.000,0.000
chla,s5_0.5_summer,0.955,0.938,0.926,1.127,0.030,1.086,0.742,0.800,0.074
chla,s5_0.5_late_summer,0.972,0.974,0.685,0.888,-0.026,0.456,0.742,0.800,0.074
colour,sim_era5_av,0.985,0.974,2.133,2.648,-0.222,0.765,1.000,1.000,0.000
colour,s5_0.5_summer,0.977,0.965,2.404,3.228,-0.730,-0.437,0.775,0.883,0.111
colour,s5_0.5_late_summer,0.983,0.972,2.252,2.659,-0.452,-0.355,0.850,0.925,0.074
cyano,sim_era5_av,0.944,0.959,0.187,0.275,-0.072,0.615,1.000,1.000,0.000
cyano,s5_0.5_summer,0.933,0.952,0.205,0.284,-0.031,5.829,1.000,1.000,0.000
cyano,s5_0.5_late_summer,0.966,0.967,0.156,0.209,-0.035,3.387,0.929,0.964,0.037
