year,rain,wind_speed,colour_prevSummer,TP_prevSummer,chla_prevSummer
1981,508.55600489083207,2.4714872642633425,26.66666666666667,43.57301587333334,16.080129870272728
1982,557.7706164299219,2.673500006761243,26.66666666666667,28.833333335,8.33125
1983,459.49958212746697,2.7359130586904583,26.66666666666667,26.988095237142854,5.974999999999999
1984,599.9176314160943,2.4156821714518597,17.625,29.781250000000004,6.05
1985,533.9175867536284,2.390616797783228,26.014880952142857,26.527500000000003,11.09
1986,450.4580277276646,2.756236444735092,34.404761904285714,30.95714285857143,11.895238094714287
1987,656.1103780171528,2.617738164031569,27.47222222333333,33.78888889,12.677777776666666
1988,643.4055734761807,2.4057401098171813,29.02777777833333,23.43333333333333,8.511111111166668
1989,383.85325889841283,2.6312205597533445,32.27777777666667,29.53333333333333,14.055555556666668
1990,415.93015916189074,2.6308395974234093,23.857142857142854,27.057142857142853,14.271428571428574
1991,378.8303424516269,2.4852844753021417,19.857142857142858,28.90000000000001,12.242857142857142
1992,364.0997794580574,2.483644208457025,20.625,27.225,9.425
1993,411.85812192641447,2.342468746139625,21.285714285714285,31.342857142857145,16.757142857142856
1994,407.90949330790045,2.469311086160371,24.42857142857143,27.3,12.614285714285714
1995,471.86740185035563,2.7503218544676917,27.714285714285715,30.442857142857147,18.257142857142856
1996,462.0696325668921,2.6940128913539723,25.83333333333333,29.45,21.883333333333336
1997,434.0852193625812,2.2425583430063423,17.666666666666668,31.28333333333333,21.3
1998,530.4147105635002,2.3801366675318207,19.0,29.41666666666667,23.066666666666666
1999,534.7226148027852,2.485552957636462,34.71153846153847,32.36666666666667,21.1
2000,616.279385401145,2.531338795177557,50.42307692307693,32.516666666666666,21.633333333333336
2001,474.74413904518735,2.423030052207032,42.56,32.666666666666664,22.16666666666667
2002,499.78186853484567,2.245185685144953,68.42307692307692,38.333333333333336,21.033333333333328
2003,486.9480526555603,2.3574383645133024,54.57692307692307,36.66666666666666,25.5
2004,529.1400030505799,2.482617204158326,42.875,33.57142857142857,16.821428571428573
2005,456.0761093031777,2.5399223252602288,38.66666666666666,36.833333333333336,25.6
2006,563.487425315257,2.333381611092733,46.5,32.01086956521739,20.2
2007,586.7197632817644,2.607558341803156,48.33333333333334,34.5,29.15416666666667
2008,436.4379032124591,2.3397294345605317,64.66666666666667,32.16,17.944000000000006
2009,510.4815188543001,2.5830731018112507,69.0,32.75,15.887500000000005
2010,571.2176801050542,2.533714472760789,58.28571428571429,28.956521739130434,16.343478260869567
2011,723.2166944820235,2.6126852926487336,61.714285714285715,26.347826086956523,11.69565217391304
2012,642.4037385771737,2.470279354860001,72.8888888888889,26.56,12.188000000000002
2013,515.9512987838082,2.473511253095937,64.15384615384616,26.39130434782609,13.8
2014,590.4880310332318,2.4458315404151056,60.223076923076924,22.99230769230769,14.13846153846154
2015,631.2545640910536,2.67178928083891,41.86363636363637,20.3,12.6
2016,408.30869424361964,2.684492071705362,52.83333333333334,24.25,14.924999999999995
2017,563.5581294265962,2.569478210990664,52.0,18.75,9.590909090909092
2018,339.6103322669187,2.6618008767712307,42.0,19.666666666666668,12.866666666666665
2019,692.2442840474199,2.499650733094271,36.333333333333336,18.666666666666668,10.741666666666667
