year,colour_prevSummer,TP_prevSummer,chla_prevSummer,rain,wind_speed
1993,21.285714285714285,31.342857142857145,16.757142857142856,511.93962331026233,2.36933163291009
1994,24.42857142857143,27.3,12.614285714285714,328.0287255569784,2.585112471694787
1995,27.714285714285715,30.442857142857147,18.257142857142856,519.2859777622294,2.7281574590830435
1996,25.83333333333333,29.45,21.883333333333336,547.3512206485306,2.41190916955965
1997,17.666666666666668,31.28333333333333,21.3,530.1669620509283,2.4220159537131387
1998,19.0,29.41666666666667,23.066666666666666,420.83144794828945,2.47608870872116
1999,34.71153846153847,32.36666666666667,21.1,534.5450610709034,2.580919686977355
2000,50.42307692307693,32.516666666666666,21.633333333333336,353.78686376048324,2.5829800918031465
2001,42.56,32.666666666666664,22.16666666666667,734.9974177449963,2.6215982106051383
2002,68.70370370370371,38.333333333333336,21.033333333333328,623.5816225619063,2.515275791968718
2003,54.57692307692307,36.66666666666666,25.5,749.8790198681068,2.5051850355370364
2004,42.875,33.57142857142857,16.821428571428573,413.4454131558292,2.2350116070338464
2005,38.66666666666666,36.833333333333336,25.6,571.9501923286881,2.546285585921787
2006,46.5,32.01086956521739,20.2,537.4240383208394,2.3800901336016107
2007,48.33333333333334,34.5,29.15416666666667,632.4730239449337,2.5009489896189936
2008,65.71428571428571,32.16,17.944000000000006,484.3203044957397,2.342577550511238
2009,69.0,32.75,15.887500000000005,450.8762230506781,2.519334331922877
2010,58.28571428571429,28.956521739130434,16.343478260869567,478.92480583062513,2.3904804990411774
2011,61.714285714285715,26.347826086956523,11.69565217391304,568.5780127366021,2.4026993288786307
2012,72.23076923076924,26.56,12.188000000000002,565.7996568146247,2.4290325262072794
2013,64.0,26.04166666666667,13.52083333333333,660.1153740040871,2.6616208156306116
2014,60.223076923076924,22.99230769230769,14.13846153846154,574.7507980860798,2.4475932321251124
2015,41.86363636363637,20.3,12.6,639.9818656675253,2.5536575468547205
2016,52.83333333333334,24.25,14.924999999999995,479.03730971926143,2.5721347944145494
2017,52.0,18.75,9.590909090909092,429.39875990330404,2.6435582826961035
2018,42.0,19.666666666666668,12.866666666666665,268.8742435668764,2.598796413631951
2019,36.333333333333336,18.666666666666668,10.741666666666667,554.1210845938833,2.6024238921108407
