year,cyano,chla,colour,colour_prevSummer,rain
1996,1.6983368811009338,21.3,17.666666666666668,25.833333333333332,449.609512642
1997,1.0923843858945121,23.066666666666666,19.0,17.666666666666668,420.42937626300005
1998,0.8590913034630471,21.099999999999998,34.71153846153846,19.0,519.2802700179999
1999,1.954313087724298,21.633333333333333,50.42307692307692,34.71153846153846,630.476421443
2000,1.6662609926961491,22.166666666666668,42.56,50.42307692307692,617.6580098779999
2001,-0.5301565543605243,21.03333333333333,68.70370370370371,42.56,511.777686395
2002,-0.01814748411974865,25.5,54.57692307692308,68.70370370370371,549.788892476
2003,0.2587069566190108,16.821428571428573,42.875,54.57692307692308,415.38032154800004
2004,1.8058857049023747,25.599999999999998,38.666666666666664,42.875,558.396489496
2005,1.184305666727358,20.2,46.5,38.666666666666664,471.9703400909999
2006,1.6385369312936098,29.15416666666667,48.333333333333336,46.5,535.903365983
2007,1.3627968822569902,17.944000000000003,65.71428571428571,48.333333333333336,555.647754243
2008,-0.29792910366024683,15.887500000000003,69.0,65.71428571428571,591.631903338
2009,0.47201651129618205,16.343478260869567,58.285714285714285,69.0,489.80945449599994
2010,-1.389570764944003,11.695652173913041,61.714285714285715,58.285714285714285,564.4885336280003
2011,-2.241768953042097,12.188000000000002,72.23076923076923,61.714285714285715,732.3459662370001
2012,-1.4408971412231413,13.52083333333333,64.0,72.23076923076923,630.3895457469999
2013,-0.608085599179727,14.13846153846154,60.22307692307693,64.0,500.99999929600006
2014,-1.1858864005546046,12.6,41.86363636363637,60.22307692307693,626.7322040829996
2015,-1.3555853217473475,14.924999999999997,52.833333333333336,41.86363636363637,686.8927072789998
2016,-1.6437618486245638,9.590909090909092,52.0,52.833333333333336,408.03595516199994
2017,-1.2670299527728108,12.866666666666665,42.0,52.0,570.2212947520002
2018,-0.4760559125166805,10.741666666666667,36.333333333333336,42.0,312.8090027700001
