year,chla_ES,chla_LS,cyano_ES,cyano_LS,cyano_prevSummer,windDays_under_Q0.4_LS
1997,H,H,H,H,H,L
1998,H,H,L,H,H,L
1999,H,H,L,H,H,H
2000,H,H,L,H,H,L
2001,H,H,L,L,H,L
2002,H,H,L,L,L,H
2003,H,L,L,L,H,L
2004,H,L,H,L,H,L
2005,H,H,H,H,H,L
2006,H,H,L,H,H,H
2007,H,L,H,H,H,L
2008,H,L,L,L,H,H
2009,H,L,L,L,L,L
2010,H,L,L,L,L,L
2011,H,L,L,L,L,L
2012,H,L,L,L,L,L
2013,H,L,L,L,L,L
2014,H,L,L,L,L,L
2015,H,L,L,L,L,L
2016,L,L,L,L,L,L
2017,H,L,L,L,L,L
