Date,Pptn,Temp,Q,TP_catch,colour_lake,chl-a_lake,TP_lake,CyanoBiovol,Rain_day,Pptn_intense,Pptn_lag1M,Temp_lag1M,Q_lag1M,TP_catch_lag1M,colour_lake_lag1M,chl-a_lake_lag1M,TP_lake_lag1M,CyanoBiovol_lag1M,Rain_day_lag1M,Pptn_intense_lag1M,Month,season_2,Pptn_winterSum,Rain_day_winterSum,Pptn_intense_winterSum,Pptn_lag2M_sum,Pptn_lag3M_sum,Pptn_lag4M_sum,Pptn_lag5M_sum,Pptn_lag6M_sum,Rain_day_lag2M_sum,Rain_day_lag3M_sum,Rain_day_lag4M_sum,Rain_day_lag5M_sum,Rain_day_lag6M_sum,Pptn_intense_lag2M_sum,Pptn_intense_lag3M_sum,Pptn_intense_lag4M_sum,Pptn_intense_lag5M_sum,Pptn_intense_lag6M_sum,TP_catch_lag2M_av,TP_catch_lag3M_av,Temp_lag2M_av,Temp_lag3M_av,Q_lag2M_av,Q_lag3M_av,Season,chl-a_lake_prevSummer,TP_lake_prevSummer,CyanoBiovol_prevSummer
1988-05-31,34.65983129605106,10.902716457788152,,35.13999999999999,,5.6,36.0,0.0,14,1,44.05071440187074,2.0884121500504933,,77.14999999999999,,,,,16.0,2.0,5,1,753.1647910719078,163.0,28.0,150.89114073774758,256.7212246445089,411.4832258252602,447.4468910977875,552.5047431151218,41.0,68.0,99.0,121.0,150.0,6.0,11.0,18.0,18.0,22.0,52.67499999999997,50.24999999999997,-0.4745439345774074,-0.9035262311252236,,,spr,4.9799999999999995,18.12,
1988-06-30,57.414144564658535,16.945240834208906,,45.95555555555555,32.5,9.666666666666666,28.066666666666663,0.024674199819564802,19,3,34.65983129605106,10.902716457788152,,35.13999999999999,,5.6,36.0,0.0,14.0,1.0,6,1,753.1647910719078,163.0,28.0,78.71054569792196,185.55097203379873,291.38105594055946,446.14305712131164,482.1067223938384,30.0,55.0,82.0,113.0,135.0,3.0,7.0,12.0,19.0,19.0,56.14499999999996,46.82999999999996,6.4955643039193305,3.3178761962111096,,,summ,4.9799999999999995,18.12,
1988-07-31,208.04778984225882,15.240216689436322,,54.2625,27.0,9.1,21.8,0.06709999895095829,29,11,57.414144564658535,16.945240834208906,,45.95555555555555,32.5,9.666666666666666,28.066666666666663,0.024674199819564802,19.0,3.0,7,1,753.1647910719078,163.0,28.0,92.07397586070974,136.12469026258057,242.96511659845683,348.7952005052184,503.5572016859701,33.0,49.0,74.0,101.0,132.0,4.0,6.0,10.0,15.0,22.0,40.547777777777746,52.74851851851849,13.923978645998536,9.978789814015853,,,summ,4.9799999999999995,18.12,
1988-08-31,156.5554679153405,13.91104850159718,,57.32000000000001,34.5,8.033333333333333,20.666666666666668,0.0825290009975433,27,7,208.04778984225882,15.240216689436322,,54.2625,27.0,9.1,21.8,0.06709999895095829,29.0,11.0,8,1,753.1647910719078,163.0,28.0,265.4619344069175,300.1217657029687,344.172480104839,451.01290644071605,556.8429903474771,48.0,62.0,78.0,103.0,130.0,14.0,15.0,17.0,21.0,26.0,50.109027777777754,45.11935185185183,16.09272876182262,14.362724660477795,,,summ,4.9799999999999995,18.12,
2000-06-30,56.563375104538956,12.828118619605341,2.1809642857142864,33.25,43.0,8.8,28.5,0.034,25,1,89.95778444078518,11.325841193075677,3.073933333333333,64.8,,,,,26.0,5.0,6,1,457.35567846314547,144.0,19.0,175.82713167338096,207.1185487243664,279.01814611547366,320.62478089292233,471.6097001080968,50.0,67.0,94.0,118.0,140.0,7.0,8.0,11.0,11.0,18.0,91.89999999999992,99.59999999999991,8.4430854743595,5.906179049168795,5.643099999999998,5.159754838709681,summ,,,
2000-07-31,101.84083494541363,15.231101179191873,1.3563548387096778,39.25,34.0,8.4,29.0,0.129,28,4,56.563375104538956,12.828118619605341,2.1809642857142864,33.25,43.0,8.8,28.5,0.034,25.0,1.0,7,1,457.35567846314547,144.0,19.0,146.52115954532437,232.39050677791994,263.6819238289055,335.5815212200123,377.18815599746125,51.0,75.0,92.0,119.0,143.0,6.0,8.0,9.0,12.0,12.0,49.02499999999992,72.34999999999991,12.076979906340508,9.904763189441455,2.627448809523808,4.489054761904765,summ,,,
2000-08-31,86.25857388991328,14.039736709863721,1.4613333333333332,42.8,31.0,11.350000000000001,21.5,0.10200000000000001,29,3,101.84083494541363,15.231101179191873,1.3563548387096778,39.25,34.0,8.4,29.0,0.129,28.0,4.0,8,1,457.35567846314547,144.0,19.0,158.40421004995284,248.36199449073803,334.2313417233337,365.5227587743188,437.42235616542587,53.0,79.0,103.0,120.0,147.0,5.0,10.0,12.0,13.0,16.0,36.24999999999992,45.76666666666657,14.029609899398608,13.12835366395764,1.7686595622119803,2.2037508192524355,summ,,,
2000-09-30,53.006349536712946,9.790873476731008,0.9889666666666665,66.25,31.0,8.3,34.0,0.093,26,3,86.25857388991328,14.039736709863721,1.4613333333333332,42.8,31.0,11.350000000000001,21.5,0.10200000000000001,29.0,3.0,9,1,457.35567846314547,144.0,19.0,188.09940883532718,244.66278393986613,334.62056838065143,420.48991561324664,451.78133266423197,57.0,82.0,108.0,132.0,149.0,7.0,8.0,13.0,15.0,16.0,41.02499999999992,38.433333333333245,14.635418944527796,14.032985502886987,1.4088440860215035,1.666217485919102,aut,,,
2001-06-30,56.56956027777848,13.69701424017591,1.690566666666666,40.0,,8.05,30.5,0.0295,19,3,34.10155132788031,10.91199424271131,4.507096774193549,54.0,,,,,12.0,0.0,6,1,892.0715802445987,152.0,40.0,144.7438202115693,197.40741716364658,232.42857863289063,362.5684322804816,492.5965437059725,38.0,56.0,76.0,103.0,129.0,6.0,9.0,10.0,16.0,26.0,111.49999999999994,106.49999999999993,7.173264556080257,3.8652962949760834,9.533669076751941,7.446919169447533,summ,9.739999999999998,25.8,0.08020000000000001
2001-07-31,95.09657001994077,16.733144353401936,0.9047142857142856,86.0,,11.2,17.0,0.216,23,5,56.56956027777848,13.69701424017591,1.690566666666666,40.0,,8.05,30.5,0.0295,19.0,3.0,7,1,892.0715802445987,152.0,40.0,90.67111160565892,201.31338048934782,253.9769774414254,288.9981389106687,419.13799255825995,31.0,57.0,75.0,95.0,122.0,3.0,9.0,12.0,13.0,19.0,46.99999999999994,87.66666666666659,12.30450424144361,9.34784778411215,3.098831720430103,6.9193016067235185,summ,9.739999999999998,25.8,0.08020000000000001
