DateTime	uas_m.s-1	vas_m.s-1	ps_Pa	tas_degC	tasmax_degC	tasmin_degC	pr_mm	rsds_W.m-2	rlds_W.m-2	hurs_%	cc_frac	petH_mm.day-1
1988-01-01 00:00:00	3.21179870559311	3.93828627326203	99440.8556165	17.7815419672852	21.5245998237305	14.7471035458985	0	328.250341742188	351.874618174316	59.5434286511841	0.744409638303869	3.88154508765869
1988-01-02 00:00:00	0.779144235874174	5.02844117381287	99659.829973875	17.0673614902344	22.4899881606446	12.2020066376953	0	326.988081138184	333.00130654541	61.726821569397	0.760889898613686	4.67648836889022
1988-01-03 00:00:00	-0.667943057897093	5.54862656943512	100104.757374375	16.779022897461	21.538350203125	12.6731743095703	0	361.825053681152	318.328684556641	57.8156463447876	0.744013250257758	4.30462424739888
1988-01-04 00:00:00	-2.23105862294197	4.5159201783371	100298.534767625	18.2020491528321	24.3303146767578	13.4908485869141	0	379.798804197754	323.573228114746	57.8952262127685	0.723365965796887	5.00386868372537
1988-01-05 00:00:00	-1.7454383753891	2.34914362794304	99917.707575625	21.4898948183594	29.8840516557617	14.6505290258789	0	377.954297866699	341.290139936523	49.8363924020996	0.708283449543028	6.46757842128891
1988-01-06 00:00:00	-1.56789767929459	-0.482341144839288	99470.296139375	27.9295435747071	37.1789701767578	20.7828616074219	0	376.86619042334	373.578304878906	26.572892300415	0.676402157046423	7.82403775102779
1988-01-07 00:00:00	0.604637180078505	1.7364531640358	99268.41946925	28.0172937895508	42.0387527265625	15.941968459961	0	358.960752413574	384.376827122559	38.6358660007324	0.683555408986684	9.85839143698649
1988-01-08 00:00:00	0.890861458795307	3.31477304156113	98941.37969125	24.699239069336	34.7583969462891	16.0126998715821	0	346.966039627441	374.48069438916	53.0445413049927	0.705211201030907	7.70372224748806
1988-01-09 00:00:00	2.6905138816719	1.47639062719727	98955.023622125	20.1349632172852	27.4486010625	14.63665165625	0	326.62172052832	355.621111272461	65.2470066634521	0.740679465828576	5.71885137535876
1988-01-10 00:00:00	0.0729375166842919	2.42822455038262	98979.7043165	24.0192547070313	34.5021454980469	15.8470143603516	0	300.903596748047	384.027637695801	54.3539413623047	0.73802415463644	7.62563349886824
1988-01-11 00:00:00	-2.07103514844323	1.47551395215702	99110.939133	25.8763056772461	30.8888419453125	21.9365052993164	0	292.601750103516	398.498801650879	42.3783903041992	0.732250158566593	5.42547893561298
1988-01-12 00:00:00	-1.87177732924461	0.691740149255754	98752.088096	27.3894420664063	35.8345250991211	22.8456750610352	0.215863098021791	161.939017232178	410.733847114746	44.6410979091187	0.822781362578245	6.95490115386692
1988-01-13 00:00:00	-3.79056601815415	-0.149501061853407	98479.3615795	30.8412625878906	40.3693097211914	23.8171403251953	0.0756872944923146	163.256157375732	438.812070008789	37.6610717076416	0.80217877889862	8.29133389043799
1988-01-14 00:00:00	4.42493717868805	-0.459903553190231	98680.94248725	26.4357845922852	44.2841468637695	12.9809370356446	0.984944985579324	234.968022343262	404.156785653809	48.3101909973755	0.774272580876644	10.5975875046666
1988-01-15 00:00:00	5.88959769602204	2.02546531666183	99386.03639825	19.3992960566406	23.9266010649414	15.6720575234375	0	321.458458668457	348.233293383789	54.4927094573975	0.749166809889738	4.39646648747775
1988-01-16 00:00:00	1.70131329104805	5.7224423744812	99614.241459875	19.3265914033203	23.9817556899414	15.2822801381836	0	321.919204619629	358.464184729004	63.0959008398438	0.739578892983707	4.48477949511075
1988-01-17 00:00:00	0.000671145384190344	6.41941235882568	99698.228672	18.6442987226563	23.595781881836	14.8261584013672	0	318.901719551758	344.37347820166	66.8509829848633	0.753661365847519	4.44180716701716
1988-01-18 00:00:00	-1.37774541228772	3.92178420786667	99631.577724625	18.3987040766602	23.9277290839844	14.2826585664063	0	313.692570116699	333.209425719238	63.3602261524658	0.766553888441388	4.63646189361987
1988-01-19 00:00:00	0.921509178805352	-3.3166543720932	98803.623934625	26.1206059736328	35.2664545961914	12.8642161269531	0	318.585645414551	382.705470275879	37.7364987505493	0.719198272081822	7.99704374000533
1988-01-20 00:00:00	5.72314583195496	1.97278365459633	99304.2758355	18.1916874204102	21.6688437626953	15.3152344003906	0	300.794666628418	345.480589705566	58.0721242911987	0.76612119265342	3.68059961100248
1988-01-21 00:00:00	2.42953694114685	2.02132809300613	99599.81692375	18.2842093657227	22.7931862939453	14.3469464389649	0	313.142828791016	339.783765461426	56.1149666661987	0.760231143164241	4.2439866978795
1988-01-22 00:00:00	3.82929549496079	0.9161950818367	99271.99992525	20.2008803740235	26.4676735307617	16.3767755854492	14.6303229540825	273.530428497559	356.627685904297	58.3367359575806	0.777824044516177	4.98899627008183
1988-01-23 00:00:00	6.84193628799439	5.65317613361359	99258.480203125	16.6337194477539	19.9525850385742	14.1903999614258	7.93770094337928	187.591979686279	359.463804501465	71.0742970054932	0.836269321720251	3.34409526212994
1988-01-24 00:00:00	1.45160496244621	5.96740184935761	99981.72978175	17.1632806083985	20.7575425854492	14.3771267163086	0	293.446808740234	337.960302922851	56.813304637085	0.775798571312394	3.55759156282347
1988-01-25 00:00:00	-1.28317893923569	3.15728074817276	100217.927556875	18.0465589873047	23.1505577836914	13.5690901967774	0	342.757961711914	332.854965336914	58.5549863374023	0.738582316370926	4.44699470134192
1988-01-26 00:00:00	-1.43690701966858	2.16794634814644	99947.725141	20.9076455166016	28.5961297158203	15.0030297734375	0	343.358979666992	344.366438432129	56.3061566297607	0.726990524894606	5.78431937813146
