DateTime	uas_m.s-1	vas_m.s-1	ps_millibars	tas_degC	pr_mm	rsds_W.m-2	rlds_W.m-2	hurs_%	cc_frac	petH_mm.day-1	wss_m s**-1
1992-06-03 00:00:00	5.87619260042503	-4.97819351561778	997.317827132561	12.230440412556	1.00963864698129	83.2852938291859	338.392863484183	72.0983407153405	0.641060055591032	1.36969471010423	7.60870861201376
1992-06-04 00:00:00	4.18600081745282	-5.09174207116598	997.208347428441	12.7163108883843	1.00840195876127	95.3716335704847	334.393353876194	70.2104314282005	0.613639341849109	1.36650931418354	6.51269618236308
1992-06-05 00:00:00	3.82111269094468	1.35283179834602	1000.84990429227	10.7784126758477	3.41814796265949	84.7057219322581	320.041033650039	71.2766060672591	0.667274163673501	1.26777634813571	3.96122227484457
1992-06-06 00:00:00	3.58136415190149	1.20994867458088	1004.52759082074	10.8468635531674	0	100.563616093219	317.708797971877	73.4070676941757	0.632209058879274	1.28663997373323	3.63745106101342
1992-06-07 00:00:00	2.15493943972673	2.8871425348268	1004.06291897596	10.3798885440499	1.22455223528585	84.7803683190769	327.367867308611	79.4978187463499	0.641107692530319	1.30627146506601	3.4889737316077
1992-06-08 00:00:00	2.08741716796491	1.70785709341794	1002.00903544323	10.2734447626432	1.40338623162364	68.9763726422037	332.264977188685	77.9385314645625	0.659243394156621	1.28512852261739	2.4647657538824
1992-06-09 00:00:00	6.96284617258755	0.610235744514902	996.635059284616	11.0509085782192	5.58624871013876	54.689897203402	337.766288594197	78.8983301632469	0.678679584005002	1.32493996748526	6.81235873873229
1992-06-10 00:00:00	6.84059182334981	4.7136430048125	1000.10628928833	11.009517345617	2.13415444367533	73.4430162956837	327.408026710663	64.3267239417351	0.654677628935711	1.19640466906315	8.09984363392307
1992-06-11 00:00:00	5.67824911138778	1.34022507502067	999.111748345347	12.2939425674131	0	67.6385082355814	358.145587111891	70.2381759407114	0.574162788293355	1.30562750460465	5.61172108811099
1992-06-12 00:00:00	0.790949396220456	-2.01804042437909	997.919901227602	11.5356350180251	0	54.5295409994169	354.228517053952	75.9138043974788	0.63306348354348	1.3132513280771	2.140626310946
1992-06-13 00:00:00	-3.61561159346121	-1.31013219523644	999.821402138992	11.7959670376053	0	70.2851008967512	343.8796851778	70.9536655129346	0.609602645949237	1.28319200406925	4.02366522581138
1992-06-14 00:00:00	-3.96393502394086	-0.715986546303926	1000.37170629289	10.5677040475196	0	102.555681611979	329.296287197543	73.7505944253767	0.554780550303781	1.24453200200088	4.12675021681312
1992-06-15 00:00:00	-2.86219396834655	-1.34658046337317	998.841944301765	9.07223516982858	0	106.937993005449	314.034620046126	74.855548632893	0.596578604833969	1.17721209644699	3.34242954630124
1992-06-16 00:00:00	-0.109024427467144	-5.85989890565024	989.697262194079	11.1332201619899	0	125.888464253385	297.259607021738	70.5051883354042	0.588066261461467	1.24361422617159	6.01096387320468
1992-06-17 00:00:00	7.71868075535959	1.72687398705293	987.729104700185	12.0746887147373	11.5428352374792	82.928325052845	348.650463566685	81.6712598255686	0.551672480660647	1.36461500356108	7.71364294263357
1992-06-18 00:00:00	5.33841693196229	-0.500785306789524	991.769561595874	11.9146057682747	3.06634454407281	73.4143991839253	337.540948720599	79.4709985404399	0.61618290778459	1.33768241754352	5.10498209763213
1992-06-19 00:00:00	2.85739175270149	3.60170969656333	998.28377783325	11.5046113432285	5.03935273522306	90.474682890695	323.443507972903	75.9208089647916	0.615313371122001	1.29994611855245	4.55585993196633
1992-06-20 00:00:00	-0.2203382504339	-1.02633328775071	1004.45552447871	11.7142744255197	0	92.3624900574007	338.17788037073	75.0921185309574	0.55376185159636	1.30039130154947	1.24550529848
1992-06-21 00:00:00	-0.216175265880548	-7.12514086979206	1000.4609084627	11.3116724733779	0	114.947950132115	317.67735261786	66.125852346317	0.550148217759888	1.21194112700428	7.34080667278405
1992-06-22 00:00:00	5.43284312829621	-0.706740635780246	999.200965737272	10.8310371076391	5.99581484776859	81.3353123521793	303.386455525605	78.6854555542788	0.686483113494442	1.28801968223709	5.23729663389808
1992-06-23 00:00:00	1.44401647232931	4.85519089652287	1004.9772433381	10.2151233847803	4.13935059551617	109.59368217907	309.121449874173	63.6182109156143	0.602401747209312	1.13780575057735	5.00360241499575
1992-06-24 00:00:00	-0.859692826427325	3.33236204296412	1006.93820865741	9.82231153318054	0	89.4082029781851	324.137987374667	69.506354686612	0.616804893265621	1.17334440548196	3.58614625174898
1992-06-25 00:00:00	-1.75464372133206	1.87912533590252	1005.62136627511	9.56054686407199	0	80.7790149379343	336.636016027792	78.0788600659691	0.60412270241531	1.22604014571933	2.75101823021312
1992-06-26 00:00:00	-0.777827760431061	1.42308385967673	1002.33004977726	9.16757724532363	0	106.25333844646	309.065833673766	73.0483726467635	0.615817001313752	1.1697168097199	1.72792494994458
1992-06-27 00:00:00	0.685014616588598	0.26288464215065	1001.68838377098	9.39180275164396	0	111.341153522647	322.711043901099	77.3368865422863	0.55334012235432	1.21671896876632	0.670050732665723
1992-06-28 00:00:00	-0.253599098608944	-3.98464996311775	1001.17803867046	9.61928451437137	0	125.909446047827	299.178630344401	74.343367014653	0.585673098358314	1.20951240659003	4.10066691993348
1992-06-29 00:00:00	-0.918826910197592	-6.61685290461997	995.110503000412	11.7633609749199	0	131.795563815871	283.567592714332	60.9472836915556	0.615937433061019	1.19093858741802	6.92175767755126
1992-06-30 00:00:00	3.37168612288127	-6.35981260494064	994.105511109427	11.1097839074043	2.49019947888079	94.0603758004377	321.761857430814	73.763023707733	0.622729638064231	1.28060205526678	7.30159582942654
1992-07-01 00:00:00	6.25757281530326	-6.43294859454878	993.824283072683	12.244635782178	0	113.709425075994	306.888557742169	64.7149710053551	0.611652422979767	1.25867096360651	9.12830565487935
1992-07-02 00:00:00	7.30690187549172	-7.08859695521966	991.287519471195	13.2433101444544	0	123.643518484471	306.431756646672	61.7061247987397	0.58446214311466	1.27849706207265	10.2471413076428
1992-07-03 00:00:00	9.92030593264514	-4.71843057645176	988.293597117845	13.2624265956772	5.40760580706849	104.394723644007	315.131603361374	66.3187476493322	0.619304369384256	1.32886125962973	10.9971764993151
1992-07-04 00:00:00	6.95985181481225	-2.07631707248695	995.387522934954	11.4135219148707	6.31292208664577	96.3363160079363	317.917589615851	69.8454548317944	0.6382508331606	1.2798066456313	7.09560616824554
1992-07-05 00:00:00	8.47954964779034	-7.36999190977869	990.283074372153	11.9477748481917	1.01573797120685	116.645088436361	306.23084564208	63.7247442175076	0.617714226595256	1.25096480548805	11.2610631692485
1992-07-06 00:00:00	5.94746042590414	7.24593675392624	997.10238581322	11.1003888628476	13.5570034678493	89.4358225703023	320.988770877469	71.9877134484179	0.656018116537207	1.29700344593776	9.26349389710194
1992-07-07 00:00:00	2.33658627095055	2.16049530936962	1006.3541133081	9.89723301189083	0	106.271539326638	320.296920008399	68.1788603963594	0.618624978775755	1.21547518714866	3.04939615605062
1992-07-08 00:00:00	3.73589050558225	0.163762105448748	1006.33185520047	10.5297140249508	0.99961319630215	43.6644721172571	344.359591743783	77.9358309716934	0.685025486682547	1.32516588404393	3.60408209555039
1992-07-09 00:00:00	-0.498439137167505	1.79059796163215	1007.85569472573	9.69703446869664	0	106.619064115406	323.716893469986	70.368343645977	0.614779722340324	1.22974467656636	1.79932030077407
1992-07-10 00:00:00	-0.657982826226053	-5.84990735671778	1002.99102640079	10.4375147592114	0	129.026184822065	302.293918770533	64.7360265522648	0.621623596518471	1.2314134590492	6.11979160312568
1992-07-11 00:00:00	6.97988142292205	-2.33359994614208	997.514411059475	11.6445006966788	10.8034471607605	70.9735268878292	338.244407765967	79.6288364093095	0.662378932107036	1.40887758224719	7.25515954671074
1992-07-12 00:00:00	4.07521792409449	0.78276843499715	1003.07008754263	11.4461907869833	1.04864284355013	99.5500526031041	321.725498557894	81.0709921844074	0.652505573084642	1.4224238004628	4.02351532240916
1992-07-13 00:00:00	-0.0562791820782315	-4.03683799550626	1004.55755069558	10.7686624622842	0	100.974751026756	325.125168837337	77.6991223715486	0.643814874328558	1.37130930233544	4.15804881235769
1992-07-14 00:00:00	0.951002342301705	-6.0570042292703	1004.20721425929	11.8680147220939	0	141.343585478863	296.417424699561	60.1509216851131	0.627029476397274	1.28133228795385	6.3251675081457
1992-07-15 00:00:00	-1.44510642701054	-1.73648827126875	1009.52132652955	11.3062383203019	0	142.127152600317	293.257787765654	64.8721499316372	0.639267648316982	1.30984883287706	2.39880502046075
1992-07-16 00:00:00	-2.55111802537307	-2.37307632368293	1007.92598155508	10.4903491155596	0	142.561083023799	289.551132051737	69.1982571091461	0.64909393203313	1.31357922666914	3.61756183008882
1992-07-17 00:00:00	3.48597897574127	-3.32162183773597	998.67693316415	11.2080698526218	0	142.7855126503	294.264139542893	65.8047672916676	0.645365032375987	1.33308854843927	4.8191474946508
