"","score","sd","sig"
"uas",0.00143453748242861,0.00721697108916686,FALSE
"vas",0.000498588429646785,0.00735267223488109,FALSE
"dp",0.185362707400315,0.0121328537128852,FALSE
"tas",0.10008498575026,0.0157747601785873,FALSE
"cc",0.0092837465841672,0.0114272229243285,FALSE
"pr",-0.134650327635113,0.015341165927952,FALSE
"rsds",0.104115948148036,0.0139705978548747,FALSE
"rlds",0.168912693745361,0.0134477273688905,FALSE
"pet",-0.284863060083471,0.0163047667183106,FALSE
"ps",0.0199762554598871,0.00805938682203929,FALSE
"tasmin",0.146226565000092,0.0157542783536628,FALSE
"tasmax",0.0538618654844659,0.0154920182650751,FALSE
"Q",0.180519880104481,0.0168028649160332,FALSE
"temp5",0.485508540372671,0.0159225842501477,FALSE
"temp50",0.0853881987577639,0.0288907149005559,FALSE
