basin,season,par,frpss,sig
store,winter,streamflow,0.009435227478916564,0.008140251744157915
store,spring,streamflow,0.08969382410744342,0.01146787579595651
store,summer,streamflow,-0.10401926772588888,0.0111067540788776
store,autumn,streamflow,0.10118571066676252,0.012221244664387195
vanem,winter,temp0m,0.07577476119680215,0.010218913907599674
vanem,winter,temp6m,0.07116219648022115,0.009881446966209595
vanem,winter,temp15m,0.09938390603787127,0.010555112222657394
vanem,spring,temp0m,0.6636964880799795,0.01398004548596753
vanem,spring,temp6m,0.6990781984843839,0.014124913974734837
vanem,spring,temp15m,0.7374343833406216,0.012488534554289443
vanem,summer,temp0m,0.18819182612804164,0.020960459067387
vanem,summer,temp6m,0.2860694073750153,0.016703153684734767
vanem,summer,temp15m,0.1337295179885164,0.015451157121452844
vanem,autumn,temp0m,0.7361368220517402,0.01178942763418999
vanem,autumn,temp6m,0.7335323316661703,0.01185656138382067
vanem,autumn,temp15m,0.7352913478688041,0.01183247179189132
Morsa,autumn,psl,-0.0009661997240795189,0.00737837599168889
Morsa,autumn,tcc,0.0262895951224354,0.009110385080304529
Morsa,autumn,uas,-0.0132542355184466,0.007931232164429541
Morsa,autumn,vas,-0.00557690003526035,0.00804839128261727
Morsa,autumn,tas,0.433267191121244,0.0164672579264537
Morsa,autumn,tdps,0.26379260765525697,0.0168500908258915
Morsa,autumn,rsds,0.483884584047954,0.0144982123267411
Morsa,autumn,rlds,0.07101374639266299,0.0122000030320585
Morsa,autumn,tp,-0.16762134174103901,0.015333673405156
Morsa,spring,psl,0.0113754509066721,0.0077208230896289405
Morsa,spring,tcc,0.011106011027841003,0.007134152270352871
Morsa,spring,uas,0.00829816386949545,0.007882201307692979
Morsa,spring,vas,0.00022560328925203,0.007501811571247359
Morsa,spring,tas,0.529664329407744,0.0153426168955918
Morsa,spring,tdps,0.281740643005899,0.0172938470389738
Morsa,spring,rsds,0.28453430911799105,0.0177126992375814
Morsa,spring,rlds,0.19431803810988602,0.0135057347436029
Morsa,spring,tp,-0.21988196088484102,0.018744913473864
Morsa,winter,psl,-0.0126661849710981,0.00728311879255545
Morsa,winter,tcc,0.00506502890173433,0.00748114931963774
Morsa,winter,uas,-0.0146098265895953,0.007254964431337959
Morsa,winter,vas,-0.0172940751445085,0.00707876211152362
Morsa,winter,tas,0.012431358381503001,0.00798520397197625
Morsa,winter,tdps,0.0224385838150291,0.00796994995206881
Morsa,winter,rsds,0.45664017341040497,0.0147319611045327
Morsa,winter,rlds,0.0260910404624277,0.00806100635423187
Morsa,winter,tp,-0.170083092485549,0.0162865014992204
Morsa,summer,psl,-0.0104669055864677,0.0081387845623539
Morsa,summer,tcc,-0.0152990970976103,0.007038449448888279
Morsa,summer,uas,-0.0136753673014964,0.00755208343461628
Morsa,summer,vas,-0.0041421589570631604,0.00725354364828683
Morsa,summer,tas,0.0904312385126655,0.0126331322632914
Morsa,summer,tdps,0.14904150268156502,0.0107321283296026
Morsa,summer,rsds,0.127046699941192,0.0126649358812099
Morsa,summer,rlds,0.0830925470760806,0.00937223025925844
Morsa,summer,tp,-0.138734468956343,0.0139862157278806
