skillscore,skillscore.sd,var,sig
0.0113612698604179,0.00753378345731166,uas,FALSE
0.0130842669803117,0.00753307564021021,vas,FALSE
0.252453237229267,0.0158599428451196,tdps,FALSE
0.330789336737857,0.0160296452554489,tas,FALSE
-0.270646561213565,0.0198357461973282,cc,FALSE
-0.0643442455680043,0.0113845193031205,tp,FALSE
0.172447319524238,0.0173631671365747,rsds,FALSE
0.164318034758977,0.0135043145062487,rlds,FALSE
0.560462016610455,0.0135489719259457,petH,TRUE
0.125217344974391,0.0136822913340232,wupper_q,FALSE
0.644307452588828,0.0136951925742359,surftemp,TRUE
0.341354216197288,0.018480418252545,bottemp,FALSE
