Variable,met_data,mean_CC,mean_rmse,mean_class_error,mean_mcc,mean_ROC_AUC
TP,era5,0.5744377189528973,3.925967367744106,0.3269230769230769,0.3393603900032766,0.6678571428571429
TP,metno,0.5749234164486747,3.958972843413806,0.3302631578947368,0.33597093030986114,0.66625
TP,nomet,0.5749234164486747,3.958972843413806,0.3302631578947368,0.33597093030986114,0.66625
chla,era5,0.5693595824458418,4.5771326640872,0.16025641025641024,0.6749510571315844,0.8379010695187166
chla,metno,0.5461705313111309,4.76412651938377,0.15921052631578952,0.685709697173132,0.844747899159664
chla,nomet,0.5414349032403399,4.758442909060708,0.16315789473684214,0.6787399049951724,0.8411764705882353
colour,era5,0.8322295789092339,9.040341843444748,0.23589743589743586,0.4577059130353633,0.723076923076923
colour,metno,0.846321773850371,8.780195517003026,0.24473684210526314,0.4362956872655718,0.7060000000000001
colour,nomet,0.8233661536015877,9.352746644503437,0.2368421052631578,0.46477497683578245,0.7276923076923077
cyano,era5,0.6247640919743377,0.9931683756510198,0.18333333333333335,0.6414485144137847,0.820979020979021
cyano,metno,0.6324969407162989,1.002511947234011,0.15217391304347827,0.7334276861794196,0.8541666666666666
cyano,nomet,0.6795792484619065,0.9578090075762233,0.13913043478260873,0.7539607586190107,0.8666666666666666
