,Variable,met_data,nodes_used,wind_yn,mean_CC,mean_rmse,mean_class_error,mean_mcc,mean_ROC_AUC
0,TP,era5,All,Wind,0.7232169807873521,3.3063570670480678,0.3153846153846154,0.36241788704800654,0.6777777777777778
1,TP,era5,Predictable,Wind,0.5771812150148461,3.9158413008020134,0.3256410256410256,0.34213446667466263,0.6694444444444445
2,TP,metno,All,Wind,0.7517793009509454,3.1943400977054432,0.2657894736842105,0.46639614032842064,0.731111111111111
3,TP,metno,Predictable,Wind,0.5759801439422972,3.959413036488031,0.3289473684210526,0.3386551360098927,0.6675
4,chla,era5,All,Wind,0.7070075276734287,3.9177388079276634,0.1948717948717949,0.4808525321413574,0.7097402597402598
5,chla,era5,All,noWind,0.6975021298775916,3.9700290940473586,0.20000000000000004,0.4644707689032274,0.7006493506493507
6,chla,era5,Predictable,Wind,0.5678923623029201,4.592084198201294,0.27692307692307694,0.21938703633281115,0.5891233766233767
7,chla,metno,All,Wind,0.7123435737234363,3.9459642516661773,0.24210526315789474,0.36472307742947535,0.6626262626262627
8,chla,metno,All,noWind,0.7040832781420607,3.982103934129583,0.21578947368421048,0.4260225574940707,0.6811447811447813
9,chla,metno,Predictable,Wind,0.5453616639249492,4.770737870456051,0.3368421052631579,0.05247395849954771,0.5205387205387206
10,chla,metno,Predictable,noWind,0.537419293196414,4.783631135983859,0.3157894736842105,0.09300614109868081,0.5353535353535352
11,colour,era5,Predictable,Wind,0.8338296061442051,9.002310019628307,0.2346153846153846,0.4611305649742804,0.725
12,colour,metno,Predictable,Wind,0.8435284118976305,8.857123458650497,0.2473684210526316,0.4327587512841305,0.7067692307692306
13,cyano,era5,All,Wind,0.7864411148058723,0.7894348195095795,0.1875,0.6219367641913223,0.8094405594405595
14,cyano,era5,Predictable,Wind,0.6215853300924781,0.9958301060475258,0.18541666666666667,0.6368009008479489,0.8187062937062937
15,cyano,metno,All,Wind,0.7867419156501787,0.8026035740422767,0.1869565217391304,0.6255311926539134,0.8121212121212122
16,cyano,metno,Predictable,Wind,0.6350343032600331,0.9997682671875303,0.16086956521739132,0.7197389712196922,0.8458333333333334
