Date,Pptn,Temp,Wind_speed,PET,Q,colour_lake,Rain_day,Pptn_intense,Wind_under_Q0.2,Wind_under_Q0.4,Wind_over_Q0.6,Wind_over_Q0.8,Pptn_lag1,Temp_lag1,Wind_speed_lag1,PET_lag1,Q_lag1,colour_lake_lag1,Rain_day_lag1,Pptn_intense_lag1,Wind_under_Q0.2_lag1,Wind_under_Q0.4_lag1,Wind_over_Q0.6_lag1,Wind_over_Q0.8_lag1,Temp_subzero_lag1,Pptn_winterSum,Rain_day_winterSum,Pptn_intense_winterSum,PET_winterSum,Q_winterSum,Temp_subzero_winterSum,Wind_under_Q0.2_winterSum,Wind_under_Q0.4_winterSum,Wind_over_Q0.6_winterSum,Wind_over_Q0.8_winterSum,colour_lake_prevSummer
1986-10-31,260.52630725899996,8.234217844891301,3.633695652173912,171.551400919,,23.5,77,12,11.0,36.0,35.0,20.0,163.43724397199998,13.49947344940217,4.641304347826088,331.101941137,,31.444444444444446,52.0,7.0,5.0,11.0,66.0,36.0,0.0,348.342450257,123,14,29.506436545,27737337.599999994,134.0,53.0,78.0,74.0,46.0,34.36805555555556
1987-07-31,251.6964492850001,11.593673148445653,3.46304347826087,300.9537944369997,,27.88888888888889,65,8,8.0,33.0,35.0,12.0,159.49626074000003,-3.014689782955056,2.6022471910112377,40.43242064600001,,,45.0,6.0,29.0,56.0,15.0,5.0,55.0,384.6747121540001,114,17,58.27880830100001,,109.0,50.0,83.0,68.0,42.0,27.47222222222222
1987-10-31,451.1648577099998,9.05069452652174,3.4695652173913056,185.28924179599997,,30.166666666666668,85,19,18.0,35.0,38.0,13.0,251.6964492850001,11.593673148445653,3.46304347826087,300.9537944369997,,27.88888888888889,65.0,8.0,8.0,33.0,35.0,12.0,0.0,384.6747121540001,114,17,58.27880830100001,,109.0,50.0,83.0,68.0,42.0,27.47222222222222
1988-07-31,300.1217657060001,14.33465383294565,3.540217391304349,335.303126663,,27.777777777777775,62,15,7.0,30.0,37.0,14.0,256.72122465599995,-0.9177041111111118,3.676666666666667,27.527391566999995,,,68.0,11.0,14.0,31.0,43.0,19.0,48.0,552.504743134,150,22,35.29414770299999,,98.0,51.0,82.0,71.0,34.0,29.02777777777778
1988-10-31,359.9826502690001,9.694650756086952,3.3999999999999995,187.387840455,,36.77777777777778,71,15,20.0,38.0,34.0,21.0,300.1217657060001,14.33465383294565,3.540217391304349,335.303126663,,27.777777777777775,62.0,15.0,7.0,30.0,37.0,14.0,0.0,552.504743134,150,22,35.29414770299999,,98.0,51.0,82.0,71.0,34.0,29.02777777777778
1989-07-31,184.135274939,13.236733817184783,4.216304347826087,317.807594187,,24.75,43,9,1.0,15.0,52.0,26.0,256.249386817,2.999121279056181,3.924719101123597,67.32037066600002,,,68.0,13.0,9.0,23.0,47.0,21.0,9.0,342.13562439200007,134,15,81.45088788300001,,56.0,36.0,64.0,81.0,42.0,32.27777777777778
1989-10-31,212.76265266899992,9.659623756141304,3.3032608695652157,184.73245673999992,,22.666666666666668,75,6,21.0,43.0,36.0,18.0,184.135274939,13.236733817184783,4.216304347826087,317.807594187,,24.75,43.0,9.0,1.0,15.0,52.0,26.0,0.0,342.13562439200007,134,15,81.45088788300001,,56.0,36.0,64.0,81.0,42.0,32.27777777777778
1990-07-31,170.05171463600007,13.590783457793476,3.803260869565217,323.97182534800004,,21.75,59,6,4.0,18.0,45.0,14.0,224.22050718500006,4.277141733719101,4.994382022471912,84.439106507,,,60.0,8.0,7.0,12.0,69.0,44.0,7.0,502.1663112529999,129,18,100.853823962,,49.0,45.0,67.0,101.0,60.0,23.708333333333336
1990-10-31,225.279694272,9.739488104260872,3.5695652173913035,184.7706029059999,,17.333333333333332,74,11,16.0,33.0,39.0,18.0,170.05171463600007,13.590783457793476,3.803260869565217,323.97182534800004,,21.75,59.0,6.0,4.0,18.0,45.0,14.0,0.0,502.1663112529999,129,18,100.853823962,,49.0,45.0,67.0,101.0,60.0,23.708333333333336
1991-07-31,182.15018411200003,12.638071926673918,4.031521739130435,303.99745373,,21.75,57,5,11.0,28.0,44.0,32.0,112.58863632500002,0.30750158170786446,3.6662921348314614,49.73415783699999,,,66.0,5.0,12.0,34.0,43.0,20.0,31.0,340.615487895,137,16,53.15683791699999,,94.0,53.0,87.0,69.0,31.0,19.541666666666664
1991-10-31,233.719178675,10.486401117184782,3.3380434782608686,201.87402087499999,,19.5,73,11,19.0,41.0,34.0,17.0,182.15018411200003,12.638071926673918,4.031521739130435,303.99745373,,21.75,57.0,5.0,11.0,28.0,44.0,32.0,0.0,340.615487895,137,16,53.15683791699999,,94.0,53.0,87.0,69.0,31.0,19.541666666666664
1992-07-31,132.57916957199998,14.998212287923915,4.02608695652174,351.94614318300006,,25.25,47,5,4.0,18.0,53.0,24.0,175.64005505900002,1.625345938822222,3.9422222222222243,48.57623369199999,,,74.0,8.0,13.0,23.0,42.0,22.0,23.0,380.37597779500015,141,18,64.300907062,,59.0,39.0,62.0,79.0,46.0,20.625
1992-10-31,247.07326167000002,8.533317835750005,3.3934782608695646,171.60052762400002,,16.0,80,10,24.0,37.0,35.0,18.0,132.57916957199998,14.998212287923915,4.02608695652174,351.94614318300006,,25.25,47.0,5.0,4.0,18.0,53.0,24.0,0.0,380.37597779500015,141,18,64.300907062,,59.0,39.0,62.0,79.0,46.0,20.625
1993-07-31,217.24269529100005,12.962599144793483,3.697826086956523,324.164458365,,23.0,55,8,2.0,24.0,45.0,11.0,78.836008859,1.1566915795617974,3.498876404494381,51.38145863100001,,,44.0,4.0,19.0,37.0,35.0,18.0,34.0,389.0718605859999,119,21,57.852240647,,74.0,47.0,74.0,80.0,52.0,20.625
1993-10-31,272.94875109,7.744684654260867,3.1749999999999976,166.8008736619999,701222.4,26.333333333333332,75,11,23.0,44.0,33.0,13.0,217.24269529100005,12.962599144793483,3.697826086956523,324.164458365,,23.0,55.0,8.0,2.0,24.0,45.0,11.0,0.0,389.0718605859999,119,21,57.852240647,,74.0,47.0,74.0,80.0,52.0,20.625
1994-07-31,61.71793527200001,14.03948675552174,4.016304347826086,330.1138755150001,4863455.999999999,31.25,41,2,2.0,17.0,53.0,18.0,166.320291902,-1.5256884133595512,3.8123595505617986,44.42000887500001,61439731.2,,63.0,9.0,16.0,30.0,43.0,26.0,41.0,453.542505434,143,23,47.20428956500001,83494713.6,105.0,39.0,73.0,80.0,49.0,24.666666666666664
1994-10-31,333.2526542420001,9.62521552577174,3.276086956521739,188.7014275959999,27472176.000000004,23.0,71,14,17.0,39.0,31.0,16.0,61.71793527200001,14.03948675552174,4.016304347826086,330.1138755150001,4863455.999999999,31.25,41.0,2.0,2.0,17.0,53.0,18.0,0.0,453.542505434,143,23,47.20428956500001,83494713.6,105.0,39.0,73.0,80.0,49.0,24.666666666666664
