date,obs,ERA5,SEAS5_1,SEAS5_2,SEAS5_3,SEAS5_4,SEAS5_5,SEAS5_6,SEAS5_7,SEAS5_8,SEAS5_9,SEAS5_10,SEAS5_11,SEAS5_12,SEAS5_13,SEAS5_14,SEAS5_15,SEAS5_16,SEAS5_17,SEAS5_18,SEAS5_19,SEAS5_20,SEAS5_21,SEAS5_22,SEAS5_23,SEAS5_24,SEAS5_25
1993-12-01,NA,0.7493,2.1673,0.8368,0.3696,0.2995,0.4305,0.7402,0.9193,0.7959,0.5216,1.973,0.2338,0.6418,0.3046,0.4634,4.1114,0.7246,0.8147,3.4729,0.7038,0.3963,1.0322,1.7213,0.6291,2.8175,0.5029
1993-12-02,NA,1.5743,2.6672,1.4446,0.1029,1.5469,0.319,0.3572,0.5734,0.5191,1.3384,1.0159,0.2583,1.1256,0.4632,0.2418,2.7403,1.2424,0.2556,0.8628,0.9589,0.6002,1.4642,0.9444,0.6713,0.4015,1.2018
1993-12-03,NA,2.2501,2.1374,0.6731,0.226,0.7693,0.4439,0.749,0.2523,0.6239,1.6713,0.2567,0.5727,0.2886,0.755,1.4778,0.7432,1.3945,0.4448,0.9248,0.5749,0.5178,1.3066,1.0818,0.4625,1.952,1.6728
1993-12-04,NA,0.8472,1.0038,0.606,0.1402,0.8251,1.2567,0.7292,1.0487,0.6732,0.4238,0.4183,1.7645,0.1238,0.6039,0.6859,0.8715,0.5333,0.5924,0.7933,0.553,0.0602,1.3213,2.1875,0.7276,0.6751,0.3709
1993-12-05,NA,3.4759,0.5614,0.3537,1.5295,0.3009,1.7888,1.8066,0.8691,0.5371,1.2331,0.3667,1.2504,1.8251,0.9116,0.9665,0.3122,0.2133,1.2293,2.3569,1.1474,0.6,0.6359,1.7444,0.3754,1.081,0.4735
1993-12-06,NA,4.2446,0.438,0.2285,3.0438,0.9766,2.8902,1.6676,1.4864,0.4352,1.056,0.8617,1.3103,2.617,1.1882,0.1786,0.4056,0.131,1.1046,3.0398,0.4436,1.8094,0.9851,0.5614,0.3996,0.1612,0.3613
1993-12-07,NA,0.0828,1.0438,1.2627,1.4882,1.3906,0.2875,2.8701,1.8756,0.5361,1.1699,0.1558,0.4846,4.5619,0.9658,0.2086,0.5204,0.3712,0.8253,2.7081,2.2467,0.1633,0.8001,0.9001,0.2814,0.8506,0.6853
1993-12-08,NA,1.0812,1.9611,2.0159,1.1572,0.6238,0.6697,0.6628,2.656,1.2026,0.9369,0.4952,0.4749,1.5745,0.7403,0.963,2.4095,0.8534,0.8274,1.2629,1.4691,0.965,1.434,0.2918,0.433,1.5341,0.0611
1993-12-09,NA,1.2851,0.8443,0.7366,0.2916,1.3485,1.3657,1.0866,1.8252,1.1307,0.5611,0.7038,1.0198,0.9595,0.9009,1.1971,0.4529,0.8453,1.1686,2.5267,0.7156,0.9998,1.4141,0.7891,0.3772,0.907,0.5048
1993-12-10,NA,1.5095,0.6399,0.9382,0.2983,2.6265,0.5821,0.7619,1.1968,2.5783,0.3306,0.6995,0.2129,3.2993,1.8691,0.4828,3.4191,0.4289,2.5226,3.0709,0.3261,0.7494,0.6431,0.4939,0.5072,1.3025,2.1056
1993-12-11,NA,1.325,0.9775,0.7045,0.8404,2.8283,0.6945,0.3887,2.4458,0.6416,0.6637,3.1698,0.5497,1.1915,1.3202,0.5926,2.7854,0.3915,2.4894,2.5647,0.1987,0.3682,0.5121,1.2207,0.3222,1.2269,2.6867
1993-12-12,NA,0.7824,0.3691,0.2978,1.3475,0.6167,0.4118,0.3619,1.5064,0.4879,0.8026,3.056,0.4161,2.894,1.2958,0.3479,2.8284,1.2592,0.6027,0.653,1.3318,0.1986,0.4492,0.8781,0.4573,1.626,0.9662
1993-12-13,NA,0.9204,1.3962,0.3274,2.8595,0.4479,0.4238,0.4159,0.1198,0.5486,1.2016,1.6773,0.8146,2.5389,1.2714,0.9352,3.4943,0.4406,0.4707,0.3527,1.9687,0.1991,0.4827,1.1664,1.3384,1.02,1.6912
1993-12-14,NA,0.3301,1.1308,0.5008,1.0163,0.4123,0.5751,0.9505,1.2518,0.4547,0.4783,1.4726,0.8143,1.382,0.7984,0.4431,2.0377,0.8069,0.4379,0.7346,0.5073,0.4417,0.6417,1.9905,0.8956,1.031,1.7497
1993-12-15,NA,1.951,3.2274,1.2359,1.9158,0.5835,2.1669,0.9637,2.4973,1.4765,0.6997,1.5797,0.6958,1.4733,0.5962,0.6354,0.7868,0.7494,1.8282,1.4656,0.5133,0.6747,0.6955,2.8135,0.3953,1.985,0.7515
1993-12-16,NA,1.6273,0.8243,0.8823,1.7,0.2963,2.9497,0.7802,1.7111,1.4742,0.2893,0.659,3.37,2.3103,0.6002,0.7512,2.1639,1.9532,0.5345,1.5079,0.7895,0.9274,0.7811,1.2379,0.5187,3.2689,2.3078
1993-12-17,NA,0.9583,0.6163,0.6523,3.4257,0.4835,2.4952,2.0808,1.2987,0.6374,0.2435,0.5334,0.833,1.4046,0.4929,1.3514,2.5259,1.1048,1.0421,1.918,1.7255,0.9664,0.6347,1.4522,0.0911,1.615,0.9859
1993-12-18,NA,1.899,0.6622,1.1909,1.9728,0.373,0.9461,3.3494,1.5134,0.6119,0.229,0.6723,1.6202,3.9273,0.6142,0.5228,2.1332,2.1869,0.4329,3.53,0.3805,0.2348,0.4979,0.6561,0.1171,0.5166,1.2128
1993-12-19,NA,1.6339,1.8722,1.067,3.1903,0.306,1.0674,1.5157,1.1385,1.3177,0.4054,0.5231,1.5605,2.3612,1.0899,0.7709,1.3377,0.9511,0.3539,3.5831,2.5047,1.3072,2.8702,0.4442,0.7166,0.4166,4.2656
1993-12-20,NA,2.5071,0.6165,1.766,2.401,0.506,1.4653,1.0035,0.9495,1.3649,0.5132,1.3853,3.2526,3.3567,1.1259,0.1904,1.1472,0.0971,0.4849,1.2911,1.3491,1.5062,2.7792,1.3311,3.4123,1.0583,1.5286
1993-12-21,NA,0.8545,0.5871,0.8203,1.504,0.4674,0.4445,1.9597,0.416,1.5203,0.5281,2.231,1.7632,0.9771,1.183,1.4419,1.4157,1.3983,0.6191,2.9542,0.0959,0.4431,1.4053,1.0812,3.8376,1.0819,1.6363
1993-12-22,NA,0.3733,0.6582,1.5324,1.231,0.5057,0.6658,1.9576,1.603,0.7002,0.9177,0.6091,2.8522,0.3198,0.9073,1.6642,1.2795,0.6237,0.2339,1.214,0.7616,0.145,0.7285,1.5855,4.3593,0.6209,0.8183
1993-12-23,NA,0.4628,0.4743,1.8742,1.0142,1.5076,0.9406,1.8128,0.7647,0.266,0.3825,0.8231,2.1019,0.3293,0.4044,0.3978,0.5823,0.2632,0.7838,0.7379,2.2117,1.2704,1.1036,1.6246,1.872,0.3846,0.9479
1993-12-24,NA,0.6685,0.4926,3.3062,0.981,1.6322,0.9352,1.8472,1.394,0.9648,0.8666,4.0771,2.2591,0.3818,0.7566,3.1084,0.6092,0.6342,0.7338,0.7584,1.7555,2.108,0.7708,0.8819,0.9034,0.4095,1.2984
1993-12-25,NA,0.317,0.5364,2.8451,0.8172,0.7348,0.6603,0.7911,2.5119,2.1473,0.6751,2.2728,0.5289,0.9809,0.639,2.0944,0.5441,0.3655,0.9223,0.2851,1.8965,0.8604,0.9702,0.4622,0.8862,0.7313,0.4491
1993-12-26,NA,0.9286,0.891,2.2352,1.2902,0.9078,0.6728,2.9251,0.8048,2.0565,1.1863,0.9582,0.8607,0.9121,0.274,3.2793,0.837,1.0506,2.4888,0.8214,0.4611,0.6936,1.2262,1.7333,0.816,0.7246,2.2305
1993-12-27,NA,0.4941,1.1264,0.706,0.8009,0.363,0.6347,2.1189,1.2774,1.0641,2.3371,1.2424,0.6655,1.4818,0.7581,1.3054,0.8527,0.664,1.5166,0.792,0.8925,0.6294,0.6182,0.5398,0.8701,0.2699,0.3645
1993-12-28,NA,0.5324,0.841,0.4485,0.3265,2.8026,1.0329,1.9295,0.6775,0.8975,2.2068,0.7197,0.2461,0.7165,1.1786,1.9039,0.5358,0.7794,1.882,0.544,1.9952,2.7956,0.7419,1.2615,0.7426,0.424,0.5284
1993-12-29,NA,0.492,1.4324,0.4562,0.9269,0.9545,0.8994,2.1584,0.3494,0.8119,1.9195,1.2113,0.4486,0.9113,0.6255,1.7552,1.6309,1.3148,0.7689,1.4108,3.9116,3.492,1.2045,3.1703,0.4277,1.1509,0.8011
1993-12-30,NA,0.6652,1.881,0.678,0.7371,3.575,0.5733,1.2542,1.8246,1.0544,0.8402,0.6534,0.5814,0.6026,0.2675,0.7346,0.4355,0.5676,0.8853,0.9545,2.2668,2.1939,0.6825,1.1465,0.6896,0.3847,0.698
1993-12-31,NA,0.4016,1.6542,0.4554,0.7794,3.3096,0.8173,0.9807,0.8307,0.3892,1.1209,0.2595,0.4781,0.6682,0.437,1.3034,0.4171,0.6394,3.1167,1.7475,3.0639,2.3194,1.0302,0.7913,0.3977,0.5044,1.2252
1994-01-01,NA,0.3051,0.1888,0.6949,0.512,0.3022,0.7395,0.942,1.4578,0.6579,1.3171,0.466,0.2741,0.7276,0.2344,1.7399,0.8071,0.2605,1.7135,2.4248,1.4973,0.9289,0.3296,0.7016,0.469,1.6496,1.369
