year,chla,chla_prevSummer,colour,colour_prevSummer,cyano,cyano_prevSummer,rain,rain_lag1,rainy_days_winter,temp,TP,TP_prevSummer,windDays_under_Q0.4,windDays_over_Q0.6
1980,20.773333333999997,,,,,,344.837282288,234.73298576799996,,10.630212214597826,51.061904761666675,,38.0,32.0
1981,9.5875,16.471230158916665,,,,,216.96296987899996,277.5573128609999,54.0,11.016992226282609,34.083333335,43.57301587333334,41.0,26.0
1982,6.229166666666665,8.33125,26.666666666666668,,,,301.496463975,158.725612669,70.0,11.94892721561957,18.8958333325,28.833333335,28.0,45.0
1983,6.166666666666667,5.8479166666666655,14.666666666666666,26.666666666666668,,,274.74780776800003,190.72365721100005,70.0,11.97545487323913,26.149999999999995,28.336805554583336,25.0,48.0
1984,11.95,6.073333333333334,,17.03333333333333,,,314.55216533300006,247.10535462300004,52.0,11.758424591315213,25.695,29.055,35.0,28.0
1985,13.3333333325,11.09,34.625,,,,310.97820960700005,237.12817411500004,66.0,10.603509541184781,26.724999999999998,26.527500000000003,39.0,37.0
1986,14.444444443333333,11.655555555083334,23.5,34.368055555,,,270.460543958,157.605420073,54.0,9.575875434989133,34.24444444666667,31.662500001666665,36.0,32.0
1987,10.755555555666668,12.677777776666666,30.166666666666668,27.472222223333333,,,455.050597092,256.33585837400005,71.0,10.315601004195651,22.399999999999995,33.78888889,35.0,31.0
1988,15.25555555666667,8.511111111166667,36.77777777666667,29.027777778333334,,,360.02784910199995,288.426396308,88.0,11.002239512010869,27.866666666666664,23.43333333333333,38.0,32.0
1989,21.233333333333334,14.055555556666668,22.666666666666668,32.27777777666667,,,212.552162231,179.90925877399997,55.0,10.90545510146739,26.333333333333332,29.53333333333333,43.0,33.0
1990,15.700000000000001,15.141666666666667,17.333333333333332,23.708333333333336,,,228.67891186599994,174.55386065700011,71.0,10.910318850141302,28.899999999999995,26.966666666666665,33.0,38.0
1991,10.275,12.675,19.5,19.541666666666664,,,233.604919823,164.324488292,59.0,11.525077160913042,28.474999999999998,28.9,41.0,29.0
1992,20.833333333333332,9.425,16.0,20.625,,,244.14062012400004,131.654156546,53.0,9.506927560304348,29.86666666666667,27.224999999999998,37.0,31.0
1993,16.966666666666665,17.266666666666666,26.333333333333332,20.625,,,269.893745705,223.58935445400002,49.0,8.719345696804348,30.266666666666666,31.15833333333334,44.0,31.0
1994,27.066666666666666,13.158333333333333,23.0,24.666666666666664,,,328.753108753,57.3509345,66.0,10.559541634054348,32.800000000000004,27.670833333333334,39.0,25.0
1995,23.200000000000003,19.358333333333334,23.333333333333332,27.125,,,226.38727506699996,204.725441187,73.0,12.652466392728266,32.800000000000004,30.737500000000004,34.0,39.0
1996,18.666666666666668,21.883333333333333,15.0,25.833333333333332,4.8,,283.25173560999997,175.53040840700004,37.0,11.933122494934782,31.76666666666667,29.450000000000003,45.0,30.0
1997,25.099999999999998,21.3,17.333333333333332,17.666666666666664,2.82,4.609999999999999,241.99559764400004,178.41863189800006,56.0,12.268907102347825,29.233333333333334,31.283333333333335,43.0,26.0
1998,23.433333333333337,23.066666666666663,,19.0,2.28,2.37,307.1965421980001,212.9506269589999,59.0,10.73930155042391,38.03333333333334,29.416666666666664,37.0,25.0
1999,,21.1,49.15384615384615,,5.96,2.13,340.76828240099974,296.06565662,73.0,12.122159811173912,,32.36666666666667,44.0,22.0
2000,27.233333333333334,,35.416666666666664,50.42307692307692,4.67,3.515,368.338734541,253.31299860700003,61.0,11.925917145369567,30.666666666666668,,37.0,31.0
2001,20.5,22.166666666666664,63.53846153846154,42.28525641025641,0.58,2.5715,331.5844960529999,186.70500976500003,96.0,12.313798600999998,31.666666666666668,32.666666666666664,38.0,23.0
2002,28.0,21.03333333333333,49.46153846153846,68.42307692307692,0.745,0.5355,206.21131229,329.36695427599994,61.0,11.927652423967395,31.333333333333332,38.333333333333336,57.0,20.0
2003,15.125,25.5,37.75,54.57692307692308,1.291,0.8634999999999999,130.191098995,283.21871062499997,45.0,11.106131033684786,35.25,36.666666666666664,35.0,30.0
2004,14.866666666666667,17.104166666666664,38.666666666666664,42.875,0.572,1.205,380.8601611940002,177.53632830200004,62.0,12.092306105347822,33.333333333333336,33.291666666666664,43.0,26.0
2005,22.599999999999998,25.6,39.666666666666664,38.666666666666664,3.062612,2.916,240.43318844799995,231.48663641899995,57.0,12.18578836201087,35.125,36.833333333333336,28.0,31.0
2006,38.8,20.384615384615383,33.5,46.5,4.56023232,3.0283744,341.1204878100001,192.24982046699998,65.0,14.047861858967394,39.9,32.37019230769231,55.0,17.0
2007,18.166666666666668,30.532142857142855,59.0,44.625,2.71881,3.81440016,201.84287694599996,354.28755528000005,80.0,11.986396763380432,31.583333333333332,35.27142857142857,34.0,35.0
2008,15.227272727272727,17.952564102564104,85.0,64.66666666666666,0.738757,3.15333025,359.0207737340001,231.57676713099997,60.0,11.78123822460869,29.545454545454547,32.13782051282051,45.0,22.0
