year,chla_ES,chla_LS,cyano_ES,cyano_LS,cyano_prevSummer,windDays_under_Q0.4_LS
1997,21.033333333333328,25.1,1.3166666666666669,2.0866666666666664,3.1783333333333337,43.0
1998,18.766666666666666,23.433333333333334,0.8933333333333332,1.68,1.7016666666666669,37.0
1999,17.93333333333333,25.333333333333332,0.77,3.3833333333333333,1.2866666666666666,44.0
2000,17.099999999999998,27.23333333333333,0.19666666666666666,1.7787499999999998,2.0766666666666667,37.0
2001,21.566666666666666,20.5,0.2983333333333333,0.4946666666666666,0.9877083333333332,38.0
2002,23.0,28.0,0.5720000000000001,0.5526666666666666,0.3965,57.0
2003,19.08333333333333,15.125,0.648,0.8919999999999999,0.5623333333333334,35.0
2004,36.333333333333336,14.866666666666667,2.5046666666666666,0.428,0.77,43.0
2005,18.16923076923077,22.6,1.117294893333333,1.621729413333333,1.4663333333333333,28.0
2006,22.264285714285712,38.8,0.9441994285714286,3.3992816639999996,1.3695121533333334,55.0
2007,17.73846153846154,18.166666666666668,1.6125406624999998,1.1846367,2.1717405462857142,34.0
2008,16.446153846153848,15.227272727272727,0.19648414714285714,0.26422031666666673,1.39858868125,45.0
2009,16.436363636363634,16.258333333333333,0.4929486618333334,0.5058229768666667,0.23035223190476195,42.0
2010,13.7,9.09,0.06991657142857143,0.0870066,0.49938581935,42.0
2011,15.246153846153845,8.875,0.032806071428571434,0.026155833333333336,0.07846158571428571,36.0
2012,15.623076923076924,11.43,0.015106,0.12353839999999998,0.029480952380952382,28.0
2013,15.1,13.016666666666667,0.13924837271428572,0.29897185600000004,0.06932219999999999,42.0
2014,13.433333333333332,11.766666666666666,0.1156565815,0.10761978133333333,0.2191101143571429,41.0
2015,14.6,15.25,0.05883450783333333,0.116454337,0.11163818141666668,36.0
2016,8.233333333333333,11.22,0.031230039166666668,0.13950312473333332,0.08764442241666666,25.0
2017,13.385714285714286,12.14,0.08411289200000001,0.16451290400000002,0.08536658194999999,31.0
