year,chla_ES,chla_LS,cyano_ES,cyano_LS,cyano_prevSummer,windDays_under_Q0.4_LS
1997,21.033333333333328,25.1,0.2789223217646197,0.7632965931490739,1.2258683367710432,43.0
1998,18.766666666666666,23.433333333333334,-0.11216173803623589,0.5324869130032706,0.545992282235638,37.0
1999,17.93333333333333,25.333333333333332,-0.25797875076291904,1.2962547720112907,0.25525833645189794,44.0
2000,17.099999999999998,27.23333333333333,-1.500897328038924,0.5928175310225371,0.7581273061499806,37.0
2001,21.566666666666666,20.5,-1.1392562299090065,-0.6796705330690772,-0.012360188980045993,38.0
2002,23.0,28.0,-0.5433001963477588,-0.5757602231608087,-0.883580127244796,57.0
2003,19.08333333333333,15.125,-0.4245873118205538,-0.11363852693650563,-0.5594046539882414,35.0
2004,36.333333333333336,14.866666666666667,0.9616263361077856,-0.8136206218448658,-0.25797875076291904,43.0
2005,18.16923076923077,22.6,0.11152782705254789,0.49537207128288424,0.3901847696390424,28.0
2006,22.264285714285712,38.8,-0.0572533504851086,1.301568330467487,0.319450901209398,55.0
2007,17.73846153846154,18.166666666666668,0.4894101557882041,0.17087971725339052,0.8063939040659998,34.0
2008,16.446153846153848,15.227272727272727,-1.5016864299382877,-1.2461999817803702,0.34115388686133147,45.0
2009,16.436363636363634,16.258333333333333,-0.6829126054933171,-0.6588605546075119,-1.3654592700549784,42.0
2010,13.7,9.09,-2.335955595586417,-2.1665113270052947,-0.6708168202657417,42.0
2011,15.246153846153845,8.875,-2.894487257517422,-3.0536468943144484,-2.2470727618367823,36.0
2012,15.623076923076924,11.43,-3.424709453396695,-1.887023888091281,-2.9700190052036635,28.0
2013,15.1,13.016666666666667,-1.7893221470451477,-1.1373615894936653,-2.3424959760388497,42.0
2014,13.433333333333332,11.766666666666666,-1.940334175496432,-1.9981720260857734,-1.4085544393107778,41.0
2015,14.6,15.25,-2.4670824759537866,-1.9347921023672447,-1.9687845753982036,36.0
2016,8.233333333333333,11.22,-2.929383980110475,-1.787821255725058,-2.1607876593769024,25.0
2017,13.385714285714286,12.14,-2.1929626601965517,-1.6512780590337053,-2.181403706686648,31.0
