year,chla,chla_lag1,chla_prevSummer,colour,colour_lag1,colour_prevSummer,cyano,cyano_lag1,cyano_prevSummer,rain,rain_lag1,rainy_days_winter,temp,TP,TP_lag1,TP_prevSummer,windDays_under_Q0.4,windDays_over_Q0.6
1980,20.773333333333333,12.169126984126985,,,,,,,,351.676638885,242.199218085,,9.575228774456523,51.06190476190477,36.08412698412698,,38.0,33.0
1981,9.5875,7.075,16.471230158730158,,,,,,,216.851553917,282.257779432,102.0,9.937925681228256,34.08333333333333,23.583333333333336,43.573015873015876,41.0,29.0
1982,6.229166666666665,5.466666666666666,8.33125,26.666666666666668,,,,,,297.66815889500003,151.00623331399999,105.0,10.870945072184783,18.895833333333332,37.77777777777778,28.833333333333332,28.0,47.0
1983,6.166666666666667,5.98,5.8479166666666655,14.666666666666666,19.4,26.666666666666668,,,,275.60668996699985,182.72881749700005,121.0,10.877161553793483,26.149999999999995,31.96,28.336805555555557,25.0,51.0
1984,11.95,10.23,6.073333333333334,,,17.03333333333333,,,,317.230629423,255.82062942299987,121.0,10.635043035782612,25.695,27.360000000000003,29.055,35.0,31.0
1985,13.333333333333332,9.97777777777778,11.09,34.625,34.11111111111111,,,,,325.8028463649999,236.49391209300006,138.0,9.159237285695653,26.725,36.6,26.527500000000003,39.0,40.0
1986,14.444444444444443,10.911111111111111,11.655555555555555,23.5,31.444444444444446,34.36805555555556,,,,260.52630725899996,163.43724397199998,123.0,8.234217844891301,34.24444444444445,33.333333333333336,31.6625,36.0,35.0
1987,10.755555555555555,6.266666666666667,12.677777777777777,30.166666666666668,27.88888888888889,27.47222222222222,,,,451.1648577099998,251.6964492850001,114.0,9.05069452652174,22.399999999999995,24.46666666666667,33.78888888888889,35.0,38.0
1988,15.255555555555555,12.855555555555556,8.511111111111111,36.77777777777778,27.777777777777775,29.02777777777778,,,,359.9826502690001,300.1217657060001,150.0,9.694650756086952,27.866666666666664,31.2,23.43333333333333,38.0,34.0
1989,21.233333333333334,9.05,14.055555555555555,22.666666666666668,24.75,32.27777777777778,,,,212.76265266899992,184.135274939,134.0,9.659623756141304,26.333333333333332,27.599999999999998,29.53333333333333,43.0,36.0
1990,15.700000000000001,9.649999999999999,15.141666666666667,17.333333333333332,21.75,23.708333333333336,,,,225.279694272,170.05171463600007,129.0,9.739488104260872,28.899999999999995,28.900000000000002,26.966666666666665,33.0,39.0
