year,chla,chla_prevSummer,colour,colour_prevSummer,cyano,cyano_prevSummer,rain,rain_lag1,rainy_days_winter,temp,TP,TP_prevSummer,windDays_under_Q0.4,windDays_over_Q0.6
1980,12.169126984126985,,,,,,242.199218085,80.99274116000001,,14.449402909543476,36.08412698412698,,43.0,27.0
1981,7.075,16.471230158730158,,,,,282.257779432,105.45732291500002,102.0,13.2132639798913,23.583333333333336,43.573015873015876,28.0,43.0
1982,5.466666666666666,8.33125,,,,,151.00623331399999,175.81093839900007,105.0,13.452291391815216,37.77777777777778,28.833333333333332,25.0,41.0
1983,5.98,5.8479166666666655,19.4,26.666666666666668,,,182.72881749700005,122.882006633,121.0,13.517997996869571,31.96,28.336805555555557,23.0,51.0
1984,10.23,6.073333333333334,,17.03333333333333,,,255.82062942299987,74.09328523699999,121.0,13.845605221239135,27.360000000000003,29.055,17.0,51.0
1985,9.97777777777778,11.09,34.11111111111111,,,,236.49391209300006,175.57119917400001,138.0,13.03916138994565,36.6,26.527500000000003,33.0,38.0
1986,10.911111111111111,11.655555555555555,31.444444444444446,34.36805555555556,,,163.43724397199998,124.00984003900001,123.0,13.49947344940217,33.333333333333336,31.6625,11.0,66.0
1987,6.266666666666667,12.677777777777777,27.88888888888889,27.47222222222222,,,251.6964492850001,159.49626074000003,114.0,11.593673148445653,24.46666666666667,33.78888888888889,33.0,35.0
1988,12.855555555555556,8.511111111111111,27.777777777777775,29.02777777777778,,,300.1217657060001,256.72122465599995,150.0,14.33465383294565,31.2,23.43333333333333,30.0,37.0
1989,9.05,14.055555555555555,24.75,32.27777777777778,,,184.135274939,256.249386817,134.0,13.236733817184783,27.599999999999998,29.53333333333333,15.0,52.0
1990,9.649999999999999,15.141666666666667,21.75,23.708333333333336,,,170.05171463600007,224.22050718500006,129.0,13.590783457793476,28.900000000000002,26.966666666666665,18.0,45.0
1991,8.575,12.675,21.75,19.541666666666664,,,182.15018411200003,112.58863632500002,137.0,12.638071926673918,25.974999999999998,28.9,28.0,44.0
1992,13.7,9.425,25.25,20.625,,,132.57916957199998,175.64005505900002,141.0,14.998212287923915,32.45,27.224999999999998,18.0,53.0
1993,9.350000000000001,17.266666666666666,23.0,20.625,,,217.24269529100005,78.836008859,119.0,12.962599144793483,25.075,31.15833333333334,24.0,45.0
1994,11.649999999999999,13.158333333333333,31.25,24.666666666666664,,,61.71793527200001,166.320291902,143.0,14.03948675552174,28.675,27.670833333333334,17.0,53.0
