year,chla,chla_prevSummer,colour,colour_prevSummer,cyano,rain,TP,TP_prevSummer,wind_speed
1996,H,H,L,L,H,L,H,L,L
1997,H,H,L,L,H,L,L,H,L
1998,H,H,L,L,H,H,H,L,L
1999,H,H,L,M,H,H,H,H,L
2000,H,H,L,M,H,H,H,H,H
2001,H,H,H,M,L,H,H,H,H
2002,H,H,H,H,L,H,H,H,L
2003,L,H,L,M,H,L,H,H,L
2004,H,H,L,M,H,H,H,H,L
2005,H,H,L,M,H,L,H,H,L
2006,H,H,L,M,H,H,H,H,L
2007,L,H,H,M,H,H,H,H,L
2008,L,H,H,H,L,H,H,H,L
2009,L,L,H,H,H,L,L,H,L
2010,L,L,H,M,L,H,L,L,L
2011,L,L,H,H,L,H,L,L,L
2012,L,L,H,H,L,H,L,L,H
2013,L,L,H,H,L,H,L,L,H
2014,L,L,L,M,L,H,L,L,L
2015,L,L,H,M,L,H,L,L,H
2016,L,L,H,M,L,L,L,L,H
2017,L,L,L,M,L,H,L,L,H
2018,L,L,L,M,L,L,L,L,H
