"par","score","sig"
"psl",0.0113754509066721,0.00772082308962894
"tcc",0.011106011027841,0.00713415227035287
"uas",0.00829816386949545,0.00788220130769298
"vas",0.00022560328925203,0.00750181157124736
"tas",0.529664329407744,0.0153426168955918
"tdps",0.281740643005899,0.0172938470389738
"rsds",0.284534309117991,0.0177126992375814
"rlds",0.194318038109886,0.0135057347436029
"tp",-0.219881960884841,0.018744913473864
