"par","terc","roc","sig"
"psl","lower",-0.0666666666666667,FALSE
"psl","middle",-0.169642857142857,FALSE
"psl","upper",0.233333333333333,FALSE
"tcc","lower",-0.3,FALSE
"tcc","middle",-0.321428571428571,FALSE
"tcc","upper",-0.608333333333333,FALSE
"uas","lower",0.225,FALSE
"uas","middle",0.0089285714285714,FALSE
"uas","upper",-0.141666666666667,FALSE
"vas","lower",-0.191666666666667,FALSE
"vas","middle",-0.0982142857142857,FALSE
"vas","upper",-0.116666666666667,FALSE
"tas","lower",-0.108333333333333,FALSE
"tas","middle",0.0625,FALSE
"tas","upper",-0.308333333333333,FALSE
"tdps","lower",0.241666666666667,FALSE
"tdps","middle",0.5,FALSE
"tdps","upper",0.333333333333333,FALSE
"rsds","lower",-0.416666666666667,FALSE
"rsds","middle",-0.223214285714286,FALSE
"rsds","upper",-0.308333333333333,FALSE
"rlds","lower",0.591666666666667,TRUE
"rlds","middle",-0.0714285714285714,FALSE
"rlds","upper",0.191666666666667,FALSE
"tp","lower",-0.45,FALSE
"tp","middle",-0.410714285714286,FALSE
"tp","upper",-0.341666666666667,FALSE
