"par","terc","roc","sig"
"psl","lower",0.391666666666667,FALSE
"psl","middle",0.491071428571429,TRUE
"psl","upper",0.591666666666667,TRUE
"tcc","lower",-0.025,FALSE
"tcc","middle",0.535714285714286,TRUE
"tcc","upper",0.216666666666667,FALSE
"uas","lower",0.258333333333333,FALSE
"uas","middle",0.419642857142857,FALSE
"uas","upper",0.516666666666667,TRUE
"vas","lower",0.616666666666667,TRUE
"vas","middle",0.0803571428571428,FALSE
"vas","upper",0.0083333333333333,FALSE
"tas","lower",0.316666666666667,FALSE
"tas","middle",0.0357142857142858,FALSE
"tas","upper",0.633333333333333,TRUE
"tdps","lower",0.466666666666667,TRUE
"tdps","middle",0.107142857142857,FALSE
"tdps","upper",0.208333333333333,FALSE
"rsds","lower",0.166666666666667,FALSE
"rsds","middle",0.142857142857143,FALSE
"rsds","upper",0.333333333333333,FALSE
"rlds","lower",0,FALSE
"rlds","middle",0.357142857142857,FALSE
"rlds","upper",0.558333333333333,TRUE
"tp","lower",0.258333333333333,FALSE
"tp","middle",-0.4375,FALSE
"tp","upper",0.0249999999999999,FALSE
