"par","terc","roc","sig"
"psl","lower",-0.314814814814815,FALSE
"psl","middle",0.333333333333333,FALSE
"psl","upper",-0.0802469135802469,FALSE
"tcc","lower",-0.0925925925925926,FALSE
"tcc","middle",-0.246913580246914,FALSE
"tcc","upper",-0.12962962962963,FALSE
"uas","lower",-0.277777777777778,FALSE
"uas","middle",-0.388888888888889,FALSE
"uas","upper",0.160493827160494,FALSE
"vas","lower",0.0555555555555556,FALSE
"vas","middle",-0.0493827160493827,FALSE
"vas","upper",-0.0679012345679012,FALSE
"tas","lower",0.240740740740741,FALSE
"tas","middle",0.228395061728395,FALSE
"tas","upper",-0.216049382716049,FALSE
"tdps","lower",0.0555555555555556,FALSE
"tdps","middle",-0.203703703703704,FALSE
"tdps","upper",0.0123456790123457,FALSE
"rsds","lower",-0.148148148148148,FALSE
"rsds","middle",0.160493827160494,FALSE
"rsds","upper",0.333333333333333,FALSE
"rlds","lower",0.141975308641975,FALSE
"rlds","middle",-0.320987654320988,FALSE
"rlds","upper",0.117283950617284,FALSE
"tp","lower",-0.327160493827161,FALSE
"tp","middle",-0.54320987654321,FALSE
"tp","upper",-0.339506172839506,FALSE
