"par","terc","roc","sig"
"psl","lower",-0.141666666666667,FALSE
"psl","middle",-0.303571428571429,FALSE
"psl","upper",0.116666666666667,FALSE
"tcc","lower",-0.175,FALSE
"tcc","middle",-0.116071428571429,FALSE
"tcc","upper",-0.375,FALSE
"uas","lower",-0.116666666666667,FALSE
"uas","middle",-0.169642857142857,FALSE
"uas","upper",-0.191666666666667,FALSE
"vas","lower",-0.458333333333333,FALSE
"vas","middle",0.267857142857143,FALSE
"vas","upper",-0.283333333333333,FALSE
"tas","lower",-0.258333333333333,FALSE
"tas","middle",0.330357142857143,FALSE
"tas","upper",-0.391666666666667,FALSE
"tdps","lower",-0.2,FALSE
"tdps","middle",0.116071428571429,FALSE
"tdps","upper",-0.175,FALSE
"rsds","lower",-0.025,FALSE
"rsds","middle",-0.276785714285714,FALSE
"rsds","upper",0.0333333333333334,FALSE
"rlds","lower",-0.383333333333333,FALSE
"rlds","middle",-0.0446428571428571,FALSE
"rlds","upper",-0.316666666666667,FALSE
"tp","lower",0.075,FALSE
"tp","middle",0.25,FALSE
"tp","upper",-0.216666666666667,FALSE
