"Date","Onkaparinga.R.Houlgraves.ML.d","Hahndorf.dissipator.ML.d","Catchment.flow.ML.d"
1999-07-02,126.2,3.2,123
1999-07-03,113.673,3.1,110.573
1999-07-04,90.6,3.1,87.5
1999-07-05,76.677,3.2,73.477
1999-07-06,67.474,3.2,64.274
1999-07-07,60.055,1.6,58.455
1999-07-08,54.574,0,54.574
1999-07-09,119.734,0,119.734
1999-07-10,198.112,0,198.112
1999-07-11,119.355,0,119.355
1999-07-12,89.758,0,89.758
1999-07-13,76.397,0,76.397
1999-07-14,69.211,3.2,66.011
1999-07-15,63.6,3.2,60.4
1999-07-16,58.923,0,58.923
1999-07-17,54.28,0,54.28
1999-07-18,50.804,0,50.804
1999-07-19,384.184,0,384.184
1999-07-20,1854.394,0,1854.394
1999-07-21,936.099,3.1,932.999
1999-07-22,477.029,0,477.029
1999-07-23,315.47,3.2,312.27
1999-07-24,231.138,0,231.138
1999-07-25,179.834,0,179.834
1999-07-26,143.593,3.3,140.293
1999-07-27,121.406,3.4,118.006
1999-07-28,104.099,3.2,100.899
1999-07-29,91.3,3.2,88.1
1999-07-30,81.202,3.1,78.102
1999-07-31,71.701,3.2,68.501
1999-08-01,64.132,3.2,60.932
1999-08-02,59.889,3.2,56.689
1999-08-03,57.667,3,54.667
1999-08-04,55.418,3.1,52.318
1999-08-05,54.755,3.3,51.455
1999-08-06,61.823,34.9,26.923
1999-08-07,101.245,58.4,42.845
1999-08-08,175.59,56.7,118.89
1999-08-09,1508.578,56.8,1451.778
1999-08-10,909.498,55.2,854.298
1999-08-11,399.125,56.7,342.425
1999-08-12,276.6,56.6,220
1999-08-13,235.118,56.5,178.618
1999-08-14,225.565,56.5,169.065
1999-08-15,214.738,56.7,158.038
1999-08-16,186.714,57,129.714
1999-08-17,169.33,54.7,114.63
1999-08-18,155.031,55,100.031
1999-08-19,140.754,55.6,85.154
1999-08-20,156.538,102.6,53.938
1999-08-21,183.95,117.5,66.45
1999-08-22,179.091,118.9,60.191
1999-08-23,176.672,119.5,57.172
1999-08-24,174.134,118.4,55.734
1999-08-25,169.753,119.1,50.653
1999-08-26,167.647,118.7,48.947
1999-08-27,172.238,118.3,53.938
1999-08-28,173.523,118,55.523
1999-08-29,166.916,118.8,48.116
1999-08-30,162.728,119.6,43.128
1999-08-31,159.595,119.6,39.995
1999-09-01,156.669,119.3,37.369
1999-09-02,135.362,83.1,52.262
1999-09-03,99.243,65.3,33.943
1999-09-04,131.477,110.1,21.377
1999-09-05,806.241,118.6,687.641
1999-09-06,721.465,119.3,602.165
1999-09-07,351.397,119.4,231.997
1999-09-08,261.708,118.9,142.808
1999-09-09,336.549,263.5,73.049
1999-09-10,380.916,292.6,88.316
1999-09-11,412.7,290.1,122.6
1999-09-12,377.17,294,83.17
1999-09-13,362.883,296.6,66.283
1999-09-14,355.975,290,65.975
1999-09-15,351.367,270,81.367
1999-09-16,248.138,100,148.138
1999-09-17,2212.313,170,2042.313
1999-09-18,1263.294,274.6,988.694
1999-09-19,661.945,275.7,386.245
1999-09-20,510.299,277.1,233.199
1999-09-21,444.182,277.3,166.882
1999-09-22,239.688,51,188.688
1999-09-23,204.37,119.9,84.47
1999-09-24,333.091,253.2,79.891
1999-09-25,354.757,276.2,78.557
1999-09-26,343.801,270.2,73.601
1999-09-27,337.796,279.6,58.196
1999-09-28,332.895,279.7,53.195
1999-09-29,330.576,278.7,51.876
1999-09-30,373.24,277.3,95.94
1999-10-01,335.7,276.8,58.9
1999-10-02,323.132,272.7,50.432
1999-10-03,361.286,277,84.286
1999-10-04,378.456,277.3,101.156
1999-10-05,345.368,277.7,67.668
1999-10-06,329.529,277.9,51.629
1999-10-07,325.641,277.1,48.541
1999-10-08,312.65,277.3,35.35
1999-10-09,306.494,276.2,30.294
1999-10-10,305.056,276.6,28.456
1999-10-11,298.828,277.7,21.128
1999-10-12,290.421,275.2,15.221
1999-10-13,282.157,279.1,3.05699999999996
1999-10-14,274.069,63.96,210.109
1999-10-15,268.461,105.4,163.061
1999-10-16,262.423,183.3,79.123
1999-10-17,240.184,183.9,56.284
1999-10-18,232.625,185,47.625
1999-10-19,225.552,184.6,40.952
1999-10-20,221.488,184.1,37.388
1999-10-21,218.21,183.3,34.91
1999-10-22,216.339,182.6,33.739
1999-10-23,214.777,182,32.777
1999-10-24,179.708,148.6,31.108
1999-10-25,214.42,185.5,28.92
1999-10-26,214.336,185.2,29.136
1999-10-27,211.047,182.3,28.747
1999-10-28,213.066,185.1,27.966
1999-10-29,158.87,85.3,73.57
1999-10-30,76.229,45.74,30.489
1999-10-31,76.95,45,31.95
1999-11-01,77.15,46.9,30.25
1999-11-02,75.039,46.7,28.339
1999-11-03,72.467,46.5,25.967
1999-11-04,152.553,167.3,0
1999-11-05,195.58,45.9,149.68
1999-11-06,238.243,19.5,218.743
1999-11-07,283.086,268.1,14.986
1999-11-08,287.115,245,42.115
1999-11-09,229.092,181.1,47.992
1999-11-10,217.211,161.6,55.611
1999-11-11,191.427,148.5,42.927
1999-11-12,183.452,148.7,34.752
1999-11-13,148.245,134.7,13.545
1999-11-14,262.45,251.3,11.15
1999-11-15,270.424,240.9,29.524
1999-11-16,205.395,180.7,24.695
1999-11-17,198.092,179.9,18.192
1999-11-18,195.73,179.6,16.13
1999-11-19,193.418,179.3,14.118
1999-11-20,191.883,171.1,20.783
1999-11-21,191.373,179.6,11.773
1999-11-22,218.039,181.1,36.939
1999-11-23,227.552,178.9,48.652
1999-11-24,210.852,181.7,29.152
1999-11-25,203.805,181.9,21.905
1999-11-26,197.987,181.3,16.687
1999-11-27,193.916,182.2,11.716
1999-11-28,191.683,180,11.683
1999-11-29,191.944,183.2,8.744
1999-11-30,192.3,182,10.3
1999-12-01,162.616,119.5,43.116
1999-12-02,89.205,76,13.205
1999-12-03,76.121,24.4,51.721
1999-12-04,84.036,111.7,0
1999-12-05,183.108,157.5,25.608
1999-12-06,181.189,168,13.189
1999-12-07,191.8,177.7,14.1
1999-12-08,177.496,161.3,16.196
1999-12-09,171.207,155.5,15.707
1999-12-10,170.573,155,15.573
1999-12-11,167.286,166.2,1.08600000000001
1999-12-12,165.818,160,5.81800000000001
1999-12-13,165.078,155.3,9.77799999999999
1999-12-14,164.891,155.2,9.691
1999-12-15,164.03,154.7,9.33000000000001
1999-12-16,161.994,154.1,7.89400000000001
1999-12-17,161.412,153.5,7.91200000000001
1999-12-18,189.884,189,0.883999999999986
1999-12-19,257.057,253.7,3.35700000000003
1999-12-20,257.82,255.7,2.12
1999-12-21,184.055,86.9,97.155
1999-12-22,19.108,2.2,16.908
1999-12-23,8.332,192.5,0
1999-12-24,183.281,193.9,0
1999-12-25,193.649,195.3,0
1999-12-26,213.737,190,23.737
1999-12-27,236.964,191.8,45.164
1999-12-28,206.526,191.7,14.826
1999-12-29,201.527,191.3,10.227
1999-12-30,198.056,190.2,7.85600000000002
1999-12-31,196.535,189.6,6.935
2000-01-01,91.129,10.4,80.729
2000-01-02,82.015,155,0
2000-01-03,191.419,190,1.41900000000001
2000-01-04,191.441,190.1,1.34100000000001
2000-01-05,192.103,190.5,1.60300000000001
2000-01-06,193.045,190.1,2.94499999999999
2000-01-07,191.36,190,1.36000000000001
2000-01-08,190.849,190.2,0.649000000000001
