,0
Wind_over_Q0.8,-0.4692046531177287
Wind_speed,-0.4589432830197153
Wind_over_Q0.6,-0.4468425219238656
Wind_over_Q0.6_lag1,-0.2663389182064282
Wind_over_Q0.8_lag1,-0.2554102652590217
Wind_under_Q0.2_lag1,-0.16783991762646117
Wind_speed_lag1,-0.1527687134901144
TP_lake,0.036209038879356864
TP_catch,0.05077175521773153
Rain_day_lag1,0.1371854987713535
Wind_under_Q0.4_lag1,0.1413188584327405
Wind_under_Q0.2,0.15122889608440532
Temp_lag1,0.1656077661175732
Pptn_lag1,0.22341652765725792
Pptn_intense_lag1,0.2591671220125848
PET_lag1,0.27839381001729696
Wind_under_Q0.4,0.29736364586561037
Q_lag1,0.32128397126386693
Temp,0.35054232920469924
Rain_day,0.383784711800208
PET,0.3926163187858786
Temp_prevSummer,0.42752427547819566
Q,0.44564307180905854
Pptn_intense,0.4591509817656689
Pptn,0.5264323010954903
colour_lake_prevSummer,0.8549377772985438
