,0
Wind_speed,-0.42398169746325093
Wind_over_Q0.8,-0.3820388737634793
Wind_over_Q0.6,-0.28404176481183446
TP_catch,-0.27707285821788413
Q,-0.118536218217203
Wind_over_Q0.8_lag1,-0.09770074710208916
Wind_over_Q0.6_lag1,-0.09628659102495155
Pptn_intense,-0.07059307322657737
Wind_speed_lag1,-0.06588243131272305
Q_lag1,-0.04529902366998077
Rain_day,-0.04510821646164595
Pptn,-0.03157204776754844
Wind_under_Q0.4_lag1,0.008047152680785756
Rain_day_lag1,0.02356654619315292
Pptn_lag1,0.036012244887630614
colour_lake_prevSummer,0.05772464710622254
PET_lag1,0.058592524507133384
Pptn_intense_lag1,0.08080085757387502
Wind_under_Q0.2_lag1,0.15000222999940865
colour_lake,0.15454291563632885
Temp_prevSummer,0.19118779825662624
Temp_lag1,0.21263907966812007
TP_lake_prevSummer,0.3004812025362529
Temp,0.3035349327221791
Wind_under_Q0.4,0.3447138617902455
PET,0.35968688057845194
Wind_under_Q0.2,0.4175359617122781
TP_lake,0.5762815114873552
chl-a_lake_prevSummer,0.6447624085732018
