,0
Wind_over_Q0.6,-0.5111711387055409
Wind_speed,-0.5090729051162456
Wind_over_Q0.8,-0.4884070738280522
Wind_over_Q0.6_lag1,-0.2926968273722425
TP_catch,-0.27707285821788413
Wind_over_Q0.8_lag1,-0.2355612606179028
Wind_speed_lag1,-0.22453033984795234
Q,-0.118536218217203
Rain_day,-0.056025884956347895
Q_lag1,-0.04529902366998077
Pptn,0.004496721033067033
Pptn_intense_lag1,0.023695526717840334
colour_lake_prevSummer,0.05616169308773416
PET_lag1,0.058592524507133384
Pptn_lag1,0.06146216405976355
Pptn_intense,0.06582139320842859
Rain_day_lag1,0.06989884152527773
Temp_prevSummer,0.11510949106434852
Temp_lag1,0.15462170657574065
colour_lake,0.15612134131191804
Wind_under_Q0.4_lag1,0.15664299463581405
Wind_under_Q0.2_lag1,0.162137692938941
Temp,0.2195969003044145
Wind_under_Q0.2,0.2942414272814585
TP_lake_prevSummer,0.3146490157105116
PET,0.35968688057845194
Wind_under_Q0.4,0.4110668496425954
TP_lake,0.5778680309324405
chl-a_lake_prevSummer,0.649868095679448
