,0
colour_lake_prevSummer,-0.4591917123195272
colour_lake,-0.42896642497615434
Wind_over_Q0.6_lag1,-0.2416069748321082
PET,-0.19777363431801648
Pptn_intense_lag1,-0.18272357908087722
Q_lag1,-0.1763465198311459
PET_lag1,-0.17439824167651677
Pptn_intense,-0.17076799103927162
Wind_over_Q0.6,-0.16844733575368587
Q,-0.16292242710566124
Wind_speed_lag1,-0.15444248254440385
Temp_prevSummer,-0.1432597448883841
Pptn_lag1,-0.13879915305196738
Rain_day_lag1,-0.13162558828469761
Wind_over_Q0.8_lag1,-0.12656896217950706
Pptn,-0.10232955249446823
Wind_speed,-0.09233730949207332
Wind_under_Q0.4,-0.08701784472066312
Rain_day,-0.08192064696244795
Wind_over_Q0.8,-0.06768794428260122
Temp,-0.052019091450017096
Temp_lag1,-0.049513076631565914
Wind_under_Q0.2,0.0521036640534115
TP_catch,0.16673511799600613
Wind_under_Q0.4_lag1,0.22152755614271538
Wind_under_Q0.2_lag1,0.2278253439813199
TP_lake_prevSummer,0.5029944854579386
CyanoBiovol_prevSummer,0.5632035372487086
chl-a_lake_prevSummer,0.5685063758586689
TP_lake,0.5829481869833119
chl-a_lake,0.7705735558975088
