,0
Wind_speed,-0.21631585052184538
Wind_over_Q0.6,-0.2130175153965976
Wind_over_Q0.8_lag1,-0.2013366071995841
Wind_over_Q0.6_lag1,-0.1908626900579879
Wind_over_Q0.8,-0.16948645408796553
Wind_speed_lag1,-0.14440199206026763
Wind_under_Q0.2_lag1,-0.009988189002801897
Wind_under_Q0.4_lag1,0.014752503638130379
TP_lake,0.029696224570430495
TP_catch,0.05077175521773153
Pptn_intense_lag1,0.13407557521065172
Temp_lag1,0.1420386150731218
Pptn_lag1,0.18150581906490515
Temp,0.18797508013634792
Wind_under_Q0.4,0.2084662423434074
Wind_under_Q0.2,0.21499090708439075
Temp_prevSummer,0.2603577859997777
Rain_day_lag1,0.27175180614764444
PET_lag1,0.27839381001729696
Q_lag1,0.32128397126386693
PET,0.3926163187858786
Pptn_intense,0.41270327661098555
Q,0.44564307180905854
Pptn,0.4676227508833625
Rain_day,0.4741490522353925
colour_lake_prevSummer,0.8479995134318373
