12.60341 0.5552846
29.1378
-4.573125 0.4430223 0.4587636
15.48113
-1.972857 0.1750225 -0.02351612
41.19619
4.005431 0.8881937
10.89062 0.6061798
29.51101
-5.340233 0.47108 0.4588082
15.62268
-1.789773 0.1687034 -0.02436988
41.16852
3.30724 0.8940889
