year,cyano,chla,colour,colour_prevSummer,rain
1996,1.6983368811009338,21.3,17.666666666666668,25.833333333333332,459.88040242121775
1997,1.0923843858945121,23.066666666666666,19.0,17.666666666666668,434.06466311806616
1998,0.8590913034630471,21.099999999999998,34.71153846153846,19.0,531.4233936926786
1999,1.954313087724298,21.633333333333333,50.42307692307692,34.71153846153846,532.7890649178661
2000,1.6662609926961491,22.166666666666668,42.56,50.42307692307692,610.7659853117253
2001,-0.5301565543605243,21.03333333333333,68.70370370370371,42.56,470.42652397752124
2002,-0.01814748411974865,25.5,54.57692307692308,68.70370370370371,509.90273192630013
2003,0.2587069566190108,16.821428571428573,42.875,54.57692307692308,481.39102778518054
2004,1.8058857049023747,25.599999999999998,38.666666666666664,42.875,529.1307245373021
2005,1.184305666727358,20.2,46.5,38.666666666666664,456.1052773493404
2006,1.6385369312936098,29.15416666666667,48.333333333333336,46.5,558.2892704394657
2007,1.3627968822569902,17.944000000000003,65.71428571428571,48.333333333333336,586.6460768859316
2008,-0.29792910366024683,15.887500000000003,69.0,65.71428571428571,437.44737511858136
2009,0.47201651129618205,16.343478260869567,58.285714285714285,69.0,510.4845312851325
2010,-1.389570764944003,11.695652173913041,61.714285714285715,58.285714285714285,571.5281016948574
2011,-2.241768953042097,12.188000000000002,72.23076923076923,61.714285714285715,722.8304752045906
2012,-1.4408971412231413,13.52083333333333,64.0,72.23076923076923,628.2122391193773
2013,-0.608085599179727,14.13846153846154,60.22307692307693,64.0,514.0362266206557
2014,-1.1858864005546046,12.6,41.86363636363637,60.22307692307693,587.1069061141897
2015,-1.3555853217473475,14.924999999999997,52.833333333333336,41.86363636363637,637.2366718591518
2016,-1.6437618486245638,9.590909090909092,52.0,52.833333333333336,425.7032482829829
2017,-1.2670299527728108,12.866666666666665,42.0,52.0,563.5581294265962
2018,-0.4760559125166805,10.741666666666667,36.333333333333336,42.0,336.6991495192346
2019,-0.510743835364071,14.983333333333334,47.0,36.333333333333336,692.5498762302741
