dates,uas,vas,tas,tp
2001-05-01,-0.329651695816741,-3.64142532041987,6.12509657132582,0
2001-05-02,1.42766210901087,0.496401533366214,8.67718668077522,0
2001-05-03,1.11222444615888,3.89396307597568,9.30215828428261,1.86505659726975
2001-05-04,0.59692890587856,4.81119098355189,9.81087782657607,6.38830216146159
2001-05-05,1.00350865800205,4.60811261049217,9.30215828428261,0
2001-05-06,-0.120741391659182,0.899699211049148,9.9730629074381,0
2001-05-07,-1.41747728290165,0.560628458781322,11.3648235680369,0
2001-05-08,-0.590970403052407,1.77905718735943,13.8945153824411,0
2001-05-09,1.34860598098451,4.00852727573194,9.9730629074381,0
2001-05-10,2.04202226266542,2.96009211535475,9.81087782657607,0
2001-05-11,1.11222444615888,3.89396307597568,9.9730629074381,3.52289121545937
2001-05-12,1.08643135629105,4.05727210750728,10.8063899306765,0
2001-05-13,2.90552262856414,0.655623506196784,11.1038747298774,0
2001-05-14,2.26358854506693,3.58383219289673,10.8063899306765,0
2001-05-15,2.38186794115185,2.82959255262653,12.8156121046843,0
2001-05-16,2.19839109978821,3.83906483883531,12.5883184947994,0
2001-05-17,-0.329651695816741,-0.695126510513127,11.8893848891416,0
2001-05-18,-0.577683174746112,-2.09989940110931,11.3575668256998,0
2001-05-19,-2.37771710077166,-1.52899421001981,11.8893848891416,1.86505659726975
2001-05-20,-0.160179177496715,-2.69112565140191,9.9730629074381,2.20205559433595
2001-05-21,-0.577683174746112,-3.79464501133423,9.85963143983616,0
2001-05-22,-2.27365190395142,-3.76496424855096,9.85963143983616,0
2001-05-23,-1.68328352620154,-0.653031837330649,10.8063899306765,0
2001-05-24,0.503746012144877,0.215758596800254,12.1909300087643,0
2001-05-25,-0.107846950882572,-1.12484513763479,12.5883184947994,0
2001-05-26,0.460095234333273,1.94212378286795,13.5619507963877,0
2001-05-27,0.904847359461487,2.62250027567967,11.81083872661,0
2001-05-28,0.394225373609111,-1.12484513763479,12.1013132664941,0
2001-05-29,0.488139815429923,2.84045353186617,12.593513145668,0
2001-05-30,0.666699230701574,1.2799225186405,15.0372318384575,0
2001-05-31,0.394225373609111,-0.292465656853317,14.3921135824694,0
2001-06-01,-1.43089952906586,-3.00223207754061,12.4702239578915,0
2001-06-02,-0.702629206534095,-2.84611520138694,13.458676262889,0
2001-06-03,-0.152906692977187,-0.456800560825018,13.0584992972659,0
2001-06-04,0.803897151692831,2.91495706303047,14.4042266684293,0
2001-06-05,0.807557300151021,0.653271924782993,14.3921135824694,0
2001-06-06,1.15893553759085,-0.27170464586616,18.7727097921005,0
2001-06-07,0.902953226701656,-0.489629768915029,19.5605067548,0
2001-06-08,0.7283196737391,0.536843064321236,19.6379295944596,0
2001-06-09,1.28220390058994,2.82959255262653,19.6057973671722,0
2001-06-10,1.42603877718847,-3.64142532041987,13.5702731925259,0
2001-06-11,1.11222444615888,-1.90698404143267,12.593513145668,0
2001-06-12,1.13155139418886,3.83906483883531,13.2770125710067,15.8887234850617
2001-06-13,-0.702629206534095,2.91495706303047,11.0996918954507,8.98800362132015
2001-06-14,-1.68328352620154,-3.79464501133423,10.8502369483151,0
2001-06-15,-0.463127810999086,-2.92032346008589,14.392218201602,0
2001-06-16,0.627329279476763,1.63030795753822,17.8002243947689,0
2001-06-17,0.488139815429923,-0.27170464586616,18.0529859836985,0
2001-06-18,-0.687636557419944,-0.292465656853317,15.1743016697582,0
2001-06-19,0.503746012144877,2.23289972451568,17.9040031177907,0
2001-06-20,-0.152906692977187,1.01862233954095,18.7727097921005,0
2001-06-21,1.84987338894128,3.59253302930444,19.9431706931651,0
2001-06-22,0.282471380958536,1.94212378286795,20.4472805583502,0
2001-06-23,-0.590970403052407,0.783170235187602,19.6379295944596,1.35667153708906
2001-06-24,0.0663100281442527,3.3516692498544,19.5303206345775,1.9428237594613
2001-06-25,0.803897151692831,2.96009211535475,19.6800356897382,3.78320417724426
2001-06-26,1.08643135629105,0.434182463904483,18.1661599079536,0
2001-06-27,2.04202226266542,-1.05808977725168,18.0970503223566,0
2001-06-28,2.90266809742327,3.69892468513357,18.3017189216,0
2001-06-29,3.45646230128122,1.01862233954095,16.9542120404918,0
2001-06-30,2.38186794115185,0.379530186809237,14.2181192884169,0
2001-07-01,0.803897151692831,0.199631271736696,19.9431706931651,0
2001-07-02,0.472568321778922,0.560628458781322,21.0561136115516,0
2001-07-03,0.6404033504713,3.2643454154194,21.0561136115516,0
2001-07-04,3.45646230128122,1.77905718735943,20.6233564249482,0
2001-07-05,1.11222444615888,-2.23492487945438,16.0738936887621,0
2001-07-06,0.896307512996289,0.204358278005388,14.9915044779552,0
2001-07-07,2.38186794115185,3.01723908777957,17.8020728302596,0
2001-07-08,2.96987142186343,0.17332317708619,19.6800356897382,0
2001-07-09,0.294418885024955,0.580025501169519,18.1286024522336,0
2001-07-10,1.11516730174041,3.83906483883531,19.6057973671722,0
2001-07-11,2.19839109978821,3.89396307597568,19.9051677371846,0
2001-07-12,1.40920347392703,1.36700154034727,19.9431706931651,0
2001-07-13,1.42603877718847,-2.09989940110931,19.9431706931651,0
2001-07-14,1.45539054070872,2.84148069017363,18.7727097921005,0
2001-07-15,4.65873611405998,-1.99414441070647,14.3926218181124,0
2001-07-16,3.42419875566734,-1.84374298804142,13.4983014150031,0
2001-07-17,0.904847359461487,-0.489629768915029,13.2770125710067,0
2001-07-18,0.324385101944879,-1.12484513763479,14.9915044779552,0
2001-07-19,0.708994855569808,1.06820248829251,18.1286024522336,0
2001-07-20,0.666699230701574,0.434182463904483,20.047151635039,0
