season,quantile,tas,tp,wind
winter,0.05,-3.4796135012370515,116.2725389192964,2.3904286985543712
winter,0.33,-1.2439040795356244,185.0124522576152,2.720712310692638
winter,0.67,0.5010652587968506,243.03767611589112,2.9799377145632895
winter,0.95,2.7096347694132854,344.16268983850074,3.336737613854785
spring,0.05,-0.9779872239507179,72.98585706087917,2.115602390098946
spring,0.33,1.2081206698289404,123.69267316420967,2.4377444991356745
spring,0.67,2.770397743878404,173.32008213586266,2.711722519795873
spring,0.95,4.7058523569944875,249.3992202977169,3.152043563589044
early_summer,0.05,13.07784641781245,134.58207527818985,2.043116551356583
early_summer,0.33,14.259779409793682,209.4232471364637,2.2636450200721803
early_summer,0.67,15.14633141843404,265.48544017941447,2.4276302646346646
early_summer,0.95,16.551143044283638,362.931916375486,2.657443916608323
late_summer,0.05,10.526702735632844,143.85356609331754,2.2905719214973974
late_summer,0.33,11.564460723291646,218.82750664614565,2.5371956006362986
late_summer,0.67,12.400899495561085,294.18865821946713,2.7136519706570263
late_summer,0.95,13.523762441745921,401.2055779193887,2.9871145117193763
